,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2018-06-04,94.220001,94.379997,93.860001,94.25,87.853401,1031400,515707.93390717794,1031400,,,,,,-71582.45592803272,1000.0,,0.0,,,,,,0.0,0.0,,94.68332866666667,93.64333666666666,,0.583334615394481,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,94.119999,100.87279378517762,99.17737794319684,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-6.981833315880859,,0.0
1,2018-06-05,94.169998,94.349998,93.269997,93.699997,87.340714,2179900,71652.62293985026,-1148500,,,,-15.3585912198494,,-84731.60006349653,1000.0,,0.0,,,,,,0.0,0.0,,94.76833016666666,93.16833316666666,,0.33229051887806005,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,93.824997,100.87279378517762,99.17737794319684,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-0.5835575596817022,-0.5852669100820052,-0.5835575596817022
2,2018-06-06,94.080002,94.389999,91.019997,93.010002,86.697563,4230200,837366.0680950675,-5378700,,,,-88.03012919008542,,-43871.632315560826,1000.0,,0.0,,,,,,0.0,0.0,,95.2377761111111,91.92444344444444,,0.32763343279009655,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,92.704998,100.87279378517762,99.17737794319684,,,,,94.379997,0.0,1.0,,,,,,,,,,,,,,,,,-0.73638743019383,-0.7391121469860096,-1.315647745358095
3,2018-06-07,93.150002,93.339996,92.279999,93.199997,86.874641,2140300,2412306.2421710175,-3238400,,,,5.200166098280501,,-26778.59043711854,1002.0427372961458,,0.0,,,,,,0.0,0.0,,94.92833066666667,91.91333266666666,,0.4267546225016839,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,92.704998,100.87279378517762,99.17737794319684,,,,,94.349998,0.0,0.0,,,,,,,,,,,,,,,,,0.20427372961457912,0.2040653745264187,-1.1140615384615415
4,2018-06-08,93.389999,93.93,93.199997,93.709999,87.350037,1476800,2998979.826800092,-1761600,,,,37.3207607667259,,12453.304302791741,1007.5260400488971,,0.0,,,,,,0.0,0.0,,94.81133153333333,92.10733193333333,,0.5927024052321114,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,92.704998,100.87279378517762,99.17737794319684,,,,,94.389999,0.0,0.0,,,,,,,,,,,,,,,,,0.5472124639660736,0.5457206961808403,-0.5729453580901933
5,2018-06-11,93.620003,93.989998,93.400002,93.620003,87.266159,1290900,2670795.814366095,-3052500,,,,5.941619412347911,,6841.495778194089,1006.5584451874327,,0.0,,,,,,0.0,0.0,,94.71944244444444,92.26944411111111,,0.5512489010763495,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,92.704998,100.87279378517762,99.17737794319684,,,,,94.32259896000001,0.0,0.0,,,,,,,,,,,,,,,,,-0.09603671002066383,-0.09608285481537138,-0.6684318302387249
6,2018-06-12,94.07,94.709999,92.940002,93.5,87.154297,2089400,1903499.5481012284,-5141900,,,,11.012754618479033,,-3917.950452841528,1006.5584451874327,,0.0,,,,,,0.0,0.0,,94.82904552380953,92.22333352380952,,0.48994918708993146,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,92.864998,100.87279378517762,99.17737794319684,,,,91.019997,,1.0,0.0,,,,,,,,,,,,,,,,,-0.12818094013519188,-0.12826316217173783,-0.7957559681697646
7,2018-06-13,93.610001,94.919998,93.239998,93.269997,86.939911,2174300,-193149.46892257198,-7316200,,,,19.702699719450155,,-8026.827781366481,1006.5584451874327,,0.0,,,,,,0.0,0.0,,94.91166454166667,92.21166654166666,,0.39197453417867023,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,92.9699975,100.87279378517762,99.17737794319684,,,,91.09379704,,0.0,0.0,,,,,,,,,,,,,,,,,-0.24599251336897554,-0.2462955720552884,-1.0397909814323536
8,2018-06-14,93.589996,93.720001,92.400002,92.800003,86.501808,2131100,-1032669.5039377357,-9447300,,,,-63.17837548700211,,-16087.37629480104,1001.4863271955406,,0.0,,,,,,0.0,0.0,,94.84296118518517,92.14962985185186,,0.24147535808126278,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,92.9699975,,,92.9699975,100.87279378517762,99.17737794319684,,,,91.2468450784,,0.0,0.0,,,,,,,,,,,,,,,,,-0.5039069530580087,-0.5051808454347828,-1.5384583554376663
9,2018-06-15,92.400002,93.870003,92.370003,93.809998,87.443245,4038500,2682723.5727289105,-5408800,,,,2.2286059180388196,,33214.52206605427,1001.4863271955406,,1.3619990999999998,,,,,,0.0,0.0,93.48166610000001,94.8436652,92.119667,2.9139384369615944,0.6205330825842647,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,92.9699975,,,92.9699975,100.87279378517762,99.17737794319684,,,,91.393771195264,,0.0,0.0,,,,,,,,,,,,93.809998,,,,,1.088356645850519,1.0824766698429578,-0.4668456233421825
