,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2018-06-04,76.330002,76.5,75.339996,75.370003,65.102509,3234500,-3067159.8158282344,3234500,,,,,,-474395.49230452353,1000.0,,0.0,,,,,,0.0,0.0,,76.89667033333333,74.57666233333333,,0.34195600474940824,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,75.91999799999999,88.4158025590847,87.09840789365919,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-14.718265350780534,,0.0
1,2018-06-05,75.440002,75.510002,74.580002,74.75,64.566986,2497300,-4651479.159054011,737200,,,,-32.585043046490554,,-496605.392549034,991.7738758747297,,0.0,,,,,,0.0,0.0,,76.38666916666668,74.29666516666666,,0.21690620368828906,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,75.54000099999999,88.4158025590847,87.09840789365919,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-0.8226124125270351,-0.8260145388216955,-0.8226124125270351
2,2018-06-06,74.720001,74.860001,73.0,73.139999,63.176308,3949500,-8006435.338378632,-3212300,,,,-52.51054323335848,,-105609.30646031168,991.7738758747297,,0.0,,,,,,0.0,0.0,,76.100002,73.46666533333332,,-0.12405034930335015,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,74.75,88.4158025590847,87.09840789365919,,,,,76.5,0.0,1.0,,,,,,,,,,,,,,,,,-2.153847491638794,-2.177381322197025,-2.958742087352706
3,2018-06-07,73.139999,74.279999,72.830002,73.480003,63.469982,3289800,-8346748.836268635,77500,,,,-16.528326190042065,,-69772.99948384389,996.3843091465828,,0.0,,,,,,0.0,0.0,,75.82000108333334,73.12000008333334,,0.13333436419714612,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,74.66500099999999,88.4158025590847,87.09840789365919,,,,,76.43,0.0,0.0,,,,,,,,,,,,,,,,,0.46486738398778815,0.46379021255340547,-2.507628930305339
4,2018-06-08,73.540001,73.760002,72.870003,73.120003,63.159023,3268500,-9779010.818023676,-3191000,,,,-6.535046045647871,,-720.129110225067,991.5027313478888,,0.0,,,,,,0.0,0.0,,75.4840012,72.9680008,,0.06041421933001225,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,74.66500099999999,88.4158025590847,87.09840789365919,,,,,76.28600008000001,0.0,0.0,,,,,,,,,,,,,,,,,-0.4899292124416532,-0.49113330000194466,-2.9852725360777765
5,2018-06-11,73.019997,73.239998,71.959999,72.120003,62.295265,4922400,-13470779.091592638,-8113400,,,,-18.592645965301543,,-83332.80838252814,991.5027313478888,,0.0,,,,,,0.0,0.0,,75.19000083333333,72.6666675,,-0.2166437912813767,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,74.22999949999999,88.4158025590847,87.09840789365919,,,,,76.1477601568,0.0,0.0,,,,,,,,,,,,,,,,,-1.3676148235387764,-1.3770528241886737,-4.312060329890133
6,2018-06-12,72.129997,72.849998,71.980003,72.480003,62.606228,4694200,-12769315.898126027,-3419200,,,,-3.4286424739039822,,-43887.52629317181,996.4519960239488,,0.0,,,,,,0.0,0.0,,74.92095257142857,72.50952542857142,,-0.012242720522937392,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,74.22999949999999,88.4158025590847,87.09840789365919,,,,,75.896494487392,0.0,0.0,,,,,,,,,,,,,,,,,0.49916803248053476,0.4979263192997685,-3.834416724117684
7,2018-06-13,72.540001,72.879997,72.010002,72.25,62.407555,5618200,-15287827.362904571,-9037400,,,,0.4645434481685108,,5603.540688058056,996.4519960239488,,0.0,,,,,,0.0,0.0,,74.71208283333334,72.38458533333333,,-0.057824050652399574,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,74.22999949999999,88.4158025590847,87.09840789365919,,,,,75.66030475814848,0.0,0.0,,,,,,,,,,,,,,,,,-0.3173330442604927,-0.31783761329098326,-4.139581897057898
8,2018-06-14,72.5,73.68,72.370003,73.459999,63.452702,5079900,-11914164.980090022,-3957500,,,,14.957004665328178,,67246.66646583425,1013.1399672175402,,0.0,,,,,,0.0,0.0,,74.68629559259259,72.32629848148147,,0.4803821636818718,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,74.22999949999999,,,74.22999949999999,88.4158025590847,87.09840789365919,,,,,75.43828641265958,0.0,0.0,,,,,,,,,,,,,,,,,1.6747391003460121,1.6608699786129222,-2.5341699933327577
9,2018-06-15,73.290001,74.400002,73.099998,74.300003,64.178284,6493000,-6420074.994213023,2535500,,,,14.515646850361904,,159321.54645973677,1013.1399672175402,,1.2039994000000036,,,,,,0.0,0.0,73.54900076666667,74.74099986666667,72.35700166666666,3.241374016165378,0.8150179531735116,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,73.7350005,,,74.22999949999999,88.4158025590847,87.09840789365919,,,,,75.2295891679,0.0,0.0,,,,,,,,,,,,74.300003,,,,,1.1434849053020057,1.1369965321892828,-1.419662939379207
