,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2018-06-04,61.419998,61.509998,60.849998,61.009998,55.785618,572000,-294666.66666666185,572000,,,,,,-184125.51203474798,1000.0,,0.0,,,,,,0.0,0.0,,61.78333133333334,60.463331333333336,,0.4141414141414142,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,61.179998,90.68805293681694,87.57248287384411,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-32.73152820155526,,0.0
1,2018-06-05,61.0,61.759998,60.810001,61.689999,56.407375,744400,340033.5014391281,1316400,,,,13.400202847326778,,-178927.45947395556,1000.0,,0.0,,,,,,0.0,0.0,,62.07666383333334,60.466666833333335,,0.7598350597340617,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,61.2849995,90.68805293681694,87.57248287384411,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1.1145730573536516,1.1084074629215124,1.1145730573536516
2,2018-06-06,61.799999,61.939999,61.34,61.889999,56.590267,662000,891699.9842166051,1978400,,,,32.17517296072494,,10443.096819427104,1003.2420165868376,,0.0,,,,,,0.0,0.0,,62.15888644444445,60.68555577777778,,0.8174968793307015,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,61.375,90.68805293681694,87.57248287384411,,,,,61.509998,0.0,1.0,,,,,,,,,,,,,,,,,0.3242016586837648,0.32367725821060844,1.442388180376608
3,2018-06-07,62.0,62.060001,61.34,61.43,56.169655,715900,354774.73564055504,1262500,,,,6.034471295013213,,-3174.7300739801785,1003.2420165868376,,0.0,,,,,,0.0,0.0,,62.20166516666667,60.73666666666667,,0.47326555851990837,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,61.435001,90.68805293681694,87.57248287384411,,,,61.34,,1.0,0.0,,,,,,,,,,,,,,,,,-0.743252556846874,-0.7460284417734719,0.6884150364994124
4,2018-06-08,61.43,61.889999,61.080002,61.849998,56.553684,640700,932193.9069461221,1903200,,,,-27.181107382550408,,-940.4677860311403,1010.1012000555407,,0.0,,,,,,0.0,0.0,,62.244664799999995,60.7486672,,0.7361848708848215,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,61.435001,90.68805293681694,87.57248287384411,,,,,62.060001,0.0,1.0,,,,,,,,,,,,,,,,,0.6837017743773321,0.6813751326363082,1.3768235166963905
5,2018-06-11,61.810001,62.490002,61.610001,62.259998,56.928581,566300,1202468.6406112053,2469500,,,,87.79824209800385,,8134.4466703425005,1016.7971015173772,,0.0,,,,,,0.0,0.0,,62.37055422222222,60.83055588888889,,0.9282101676156262,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,61.6500015,90.68805293681694,87.57248287384411,,,,61.080002,,1.0,0.0,,,,,,,,,,,,,,,,,0.6628941200612637,0.66070663879092,2.0488445188934445
6,2018-06-12,62.25,62.549999,62.060001,62.369999,57.029144,561800,1351515.9354981238,3031300,,,,22.24078942737653,,4746.5579625425335,1018.5935792166539,,0.0,,,,,,0.0,0.0,,62.43428423809524,60.974286238095246,,0.9559689546867612,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,61.68,90.68805293681694,87.57248287384411,,,,61.080002,,0.0,0.0,,,,,,,,,,,,,,,,,0.1766800570729199,0.17652416145734762,2.2291444756316725
7,2018-06-13,62.57,62.779999,62.139999,62.240002,56.91029,734800,846347.824248112,2296500,,,,13.500185084376572,,-538.9457849076681,1018.5935792166539,,0.0,,,,,,0.0,0.0,,62.50833204166667,61.07083379166667,,0.8133353959445355,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,61.795,90.68805293681694,87.57248287384411,,,,61.13880188,,0.0,0.0,,,,,,,,,,,,,,,,,-0.2084287351038827,-0.20864625008698567,2.0160695628935965
8,2018-06-14,62.349998,62.5,61.66,61.939999,56.635975,1039400,499878.68281954684,1257100,,,,-30.709944198576352,,-6541.545723756261,1018.5935792166539,,0.0,,,,,,0.0,0.0,,62.5488877037037,61.084444814814816,,0.5842181977026903,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,61.795,,,61.795,90.68805293681694,87.57248287384411,,,,61.2372737072,,0.0,0.0,,,,,,,,,,,,,,,,,-0.48200994595083424,-0.48317536034110375,1.524341961132336
9,2018-06-15,61.200001,61.43,60.650002,61.240002,56.479191,1542200,1290756.4599420405,-285100,,,,-52.59999610958355,,-22438.73903124383,1018.5935792166539,,0.7879989999999999,,,,,,0.0,0.0,61.74566643333334,62.48266553333333,61.008667333333335,2.387209151902943,0.15694365615009725,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,61.7150005,,,61.7150005,90.68805293681694,87.57248287384411,,,,,62.779999,0.0,1.0,,,,,,,,,,,,61.240002,,,,,-1.130121103166315,-1.1365554952525336,0.37699394777883644
