,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2018-06-04,109.059998,109.300003,106.519997,106.739998,102.783287,1212300,-1020424.7218171504,1212300,,,,,,-355257.71510513994,1000.0,,0.0,,,,,,0.0,0.0,,110.30000533333333,104.73999333333335,,0.35971229318689596,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,107.91,151.02648220423498,145.115918001321,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-29.676562193964816,,0.0
1,2018-06-05,106.32,106.370003,104.459999,105.75,101.829994,1320700,-557144.8760157758,-108400,,,,-360.8282024680862,,-372018.2644245837,1000.0,,0.0,,,,,,0.0,0.0,,108.86833833333333,104.17832833333334,,0.3351105150450989,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,106.880001,151.02648220423498,145.115918001321,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-0.9274854961117796,-0.9318134242292331,-0.9274854961117796
2,2018-06-06,106.480003,107.5,105.57,107.459999,103.476616,1432600,816071.2560049442,1324200,,,,150.88636534971434,,10916.132314317443,1000.0,,0.0,,,,,,0.0,0.0,,108.83666988888888,104.42332988888889,,0.6880659797593468,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,106.880001,151.02648220423498,145.115918001321,,,,,109.300003,0.0,1.0,,,,,,,,,,,,,,,,,1.6170203309692655,1.6040858068499197,0.6745372058185595
3,2018-06-07,107.5,108.0,106.830002,107.870003,103.871407,787000,1428186.1040645104,2111200,,,,130.82584625133492,,26168.161262607755,1003.815410420765,,0.0,,,,,,0.0,0.0,,108.811669,104.916665,,0.758237475494249,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,106.880001,151.02648220423498,145.115918001321,,,,,109.22540294000001,0.0,0.0,,,,,,,,,,,,,,,,,0.3815410420765053,0.3808150203704841,1.0586518841793513
4,2018-06-08,107.519997,110.610001,107.150002,109.25,105.552513,820200,1603603.9407170652,2931400,,,,618.0078352840163,,13495.668651194746,1003.815410420765,,0.0,,,,,,0.0,0.0,,109.54200186666667,105.04199906666665,,0.9351107366718383,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,107.535,151.02648220423498,145.115918001321,,,,105.57,,1.0,0.0,,,,,,,,,,,,,,,,,1.2793148805233745,1.271200777710746,2.351510255789968
5,2018-06-11,109.110001,110.370003,108.290001,110.07,106.344757,705000,2105236.7179932375,3636400,,,,132.76623262425537,,15784.473830830648,1011.34976865001,,0.0,,,,,,0.0,0.0,,109.89444655555555,105.45111022222221,,1.0395093756750906,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,107.535,151.02648220423498,145.115918001321,,,,105.67080001999999,,0.0,0.0,,,,,,,,,,,,,,,,,0.7505720823798523,0.7477693059601442,3.1197321176640758
6,2018-06-12,110.349998,111.0,109.709999,110.370003,106.63459,697000,2121449.7899210877,4333400,,,,189.70556671413212,,7191.252368567601,1014.1062687376298,,0.0,,,,,,0.0,0.0,,110.14524014285715,105.96809442857143,,1.053807760733404,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,107.72999949999999,151.02648220423498,145.115918001321,,,,105.76958403959999,,0.0,0.0,,,,,,,,,,,,,,,,,0.27255655491960074,0.27218579307906055,3.4007917069662996
7,2018-06-13,110.790001,110.790001,108.349998,108.849998,105.166054,824900,1634623.1447489294,3508500,,,,-232.198127651836,,-9460.723780577418,1014.1062687376298,,0.0,,,,,,0.0,0.0,,110.348335375,106.083332125,,0.6486902149488389,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,107.72999949999999,151.02648220423498,145.115918001321,,,,105.97880067801599,,0.0,0.0,,,,,,,,,,,,,,,,,-1.3771903222653648,-1.3867615659443722,1.976766010432196
8,2018-06-14,109.160004,109.989998,108.529999,108.660004,104.982483,694100,1064134.8328391244,2814400,,,,-65.20690822633605,,-12571.971106383158,1012.3361804513394,,0.0,,,,,,0.0,0.0,,110.36740914814816,106.25185092592592,,0.5851340071125939,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,107.72999949999999,,,107.72999949999999,151.02648220423498,145.115918001321,,,,106.17964865089534,,0.0,0.0,,,,,,,,,,,,,,,,,-0.17454662700131518,-0.17469913711964935,1.7987690050359495
9,2018-06-15,108.449997,110.360001,108.099998,110.099998,106.373741,1315700,2077104.3080566376,4130100,,,,-5.152985482785453,,16224.511214605269,1012.3361804513394,,2.115001000000001,,,,,,0.0,0.0,108.43066693333333,110.50866843333333,106.35266543333333,3.8328667687299602,0.9016674354341594,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,107.72999949999999,,,107.72999949999999,151.02648220423498,145.115918001321,,,,106.37246270485953,,0.0,0.0,,,,,,,,,,,,110.099998,,,,,1.3252291063784671,1.3165247627878962,3.147835921825659
