,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2018-06-04,58.16,58.330002,57.32,57.77,49.819843,1641000,-178725.66786995548,1641000,,,,,,-278057.5077698515,1000.0,,0.0,,,,,,0.0,0.0,,58.81666933333333,56.79666533333333,,0.48184789073025264,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,57.825001,69.47720311304644,68.42433968956408,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-16.91353083764571,,0.0
1,2018-06-05,57.98,58.200001,57.389999,57.41,49.509384,2038200,-2116269.031960447,-397200,,,,-1.1922711216759294,,-290252.304677409,1000.0,,0.0,,,,,,0.0,0.0,,58.646668999999996,56.826665,,0.3205130318394899,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,57.825001,69.47720311304644,68.42433968956408,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-0.6231608101090691,-0.6251105613628738,-0.6231608101090691
2,2018-06-06,57.5,57.810001,56.860001,57.529999,49.612873,1377400,-1550815.8841709802,980200,,,,-31.72637215042867,,-9822.207324379408,1002.0902107646752,,0.0,,,,,,0.0,0.0,,58.547779444444444,56.70111011111111,,0.4488561508695752,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,57.595001499999995,69.47720311304644,68.42433968956408,,,,,58.330002,0.0,1.0,,,,,,,,,,,,,,,,,0.20902107646751933,0.20880293134215577,-0.4154422710749617
3,2018-06-07,57.52,57.950001,57.150002,57.59,49.664619,1603500,-1390471.6968657342,2583700,,,,10.72654724038052,,4551.4290722971555,1002.0902107646752,,0.0,,,,,,0.0,0.0,,58.50166791666666,56.71666641666667,,0.48926210052671537,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,57.595001499999995,69.47720311304644,68.42433968956408,,,,,58.30060198,0.0,0.0,,,,,,,,,,,,,,,,,0.10429515216923146,0.10424080256141721,-0.31158040505452345
4,2018-06-08,57.779999,58.060001,57.509998,57.990002,50.009571,977800,-661561.3291041153,3561500,,,,13.218409183268534,,8463.863572465349,1009.0504137250205,,0.0,,,,,,0.0,0.0,,58.48200166666667,56.83399926666667,,0.7014569477164152,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,57.595001499999995,69.47720311304644,68.42433968956408,,,,,58.2717899604,0.0,0.0,,,,,,,,,,,,,,,,,0.694568501475934,0.6921674858472393,0.38082395707113026
5,2018-06-11,58.0,58.400002,57.68,58.299999,50.276909,1308400,283384.3327134878,4869900,,,,14.032527514750793,,13785.801219768047,1009.0504137250205,,0.0,,,,,,0.0,0.0,,58.54277955555555,56.92944355555556,,0.8495164333061745,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,57.6300015,69.47720311304644,68.42433968956408,,,,56.860001,,1.0,0.0,,,,,,,,,,,,,,,,,0.5345697349691481,0.5331459826733997,0.9174294616582923
6,2018-06-12,58.009998,58.599998,57.91,58.310001,50.28553,2353700,658626.6012418129,7223600,,,,6.302765433317716,,7398.113290617668,1009.0504137250205,,0.0,,,,,,0.0,0.0,,58.60285833333334,57.022856619047616,,0.8146474584897961,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,57.7299995,69.47720311304644,68.42433968956408,,,,56.89080102,,0.0,0.0,,,,,,,,,,,,,,,,,0.017156089488090664,0.017154617999448618,0.934742946165823
7,2018-06-13,58.25,58.639999,56.799999,56.830002,49.009205,2362500,-1626827.6514755767,4861100,,,,-41.66772486772467,,-59560.141171385156,1009.0504137250205,,0.0,,,,,,0.0,0.0,,58.68541770833333,56.842916208333335,,-0.007009062588733261,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,57.719999,69.47720311304644,68.42433968956408,,,,,58.599998,0.0,1.0,,,,,,,,,,,,,,,,,-2.538156361890642,-2.5709231882072636,-1.6271386532802579
8,2018-06-14,57.0,57.939999,57.0,57.639999,49.707733,1636400,-1034939.4009561511,6497500,,,,-14.360747983408778,,-36640.36417718992,1023.4323911876647,,0.0,,,,,,0.0,0.0,,58.66111185185186,56.814444074074075,,0.4470511349471714,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,57.719999,,,57.719999,69.47720311304644,68.42433968956408,,,,,58.599998,0.0,0.0,,,,,,,,,,,,,,,,,1.4252982078022836,1.4152363280548919,-0.225032023541627
9,2018-06-15,57.75,58.060001,57.400002,57.5,49.587002,2888000,-3047804.06287231,3609500,,,,5.941864958379496,,16309.056641828913,1023.4323911876647,,0.9140002000000003,,,,,,0.0,0.0,57.7293336,58.626334,56.83233320000001,3.1076069792012846,0.372166389223458,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,57.719999,,,57.719999,69.47720311304644,68.42433968956408,,,,,58.639999,0.0,0.0,,,,,,,,,,,,57.5,,,,,-0.24288515341577277,-0.24318059789534274,-0.46737060758179627
10,2018-06-18,57.400002,57.759998,56.599998,57.0,49.155811,1370300,-3473064.8549412773,2239200,,,,-46.55944391739042,,-18930.175404560723,1014.5329790903808,,0.9386001800000006,,,,,,0.0,0.0,57.660666733333336,58.57266693333334,56.748666533333335,3.1633356035155895,0.1377924405425924,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,57.6199985,,,57.6199985,69.47720311304644,68.42433968956408,,,,,58.603199000000004,0.0,0.0,,,,,,,,,,,,57.48465703999368,,,,,-0.8695652173912993,-0.8733679968754515,-1.332871732733254
11,2018-06-19,56.950001,57.919998,56.91,57.209999,49.336906,1861100,-4228562.39057994,4100300,,,,12.753239481919167,,-5059.000614263811,1014.5329790903808,,0.9457399620000008,,,,,,0.0,0.0,57.62866663333333,58.56066643333334,56.69666683333334,3.234500655480779,0.2753928523732863,0.0,0.0,,,,,,,,,,57.59000008333334,,57.51818512058735,,0.0,0.0,0.0,,,,,,,,,,,57.6199985,,,57.6199985,69.47720311304644,68.42433968956408,,,,,58.523070960000005,0.0,0.0,,,,,,,,,,,,57.48221331220251,,,,,0.3684192982456258,0.3677422966425148,-0.9693629911718848
12,2018-06-20,57.139999,58.5,57.029999,58.380001,50.345901,1403500,-3054203.1823208975,5503800,,,,36.658431421482106,,35559.63767576497,1035.281198551138,,0.998166065800001,,,,,,0.0,0.0,57.685666600000005,58.669666500000005,56.7016667,3.411592369463939,0.8528122309768507,0.0,0.0,,,,,,,,,,57.64083350000001,,57.650772178958526,,0.0,0.0,0.0,,,,,,,,,,,57.6199985,,,57.6199985,69.47720311304644,68.42433968956408,,,,56.599998,,1.0,0.0,,,,,,,,,,,,57.50667691687979,1.0559131036870295,,,,2.0451005426516344,2.0244691754147226,1.0559131036870228
13,2018-06-21,58.48,58.98,58.029999,58.799999,50.708099,1576700,-2074992.1885429868,7080500,,57259.15695253312,68.75090207226145,44.586842138643924,,40046.097374370074,1035.281198551138,57.73324781681524,0.9933495592200009,,,,,,0.0,0.0,57.789666433333345,58.788666533333334,56.790666333333334,3.4573658636789504,1.0056719046708131,1.0,0.0,,,,,,1.1636228977980485,,,,57.75666675,,57.82757630527259,,0.0,0.0,0.0,,,,,,,,,,,57.789998999999995,,,57.789998999999995,69.47720311304644,68.42433968956408,,,,56.63799804,,0.0,0.0,,62.86950970063139,,,,,,92.4369391286227,,-7.563060871377309,,57.55748516169962,2.4211792370667187,,,,0.7194210222778219,0.7168455342656088,1.7829305868097611
14,2018-06-22,58.799999,59.209999,58.380001,59.049999,50.923695,2000200,-845955.4925509631,9080700,,120514.99167359981,71.32178675701074,12.033788371113143,1.481989693044781,19847.36310356474,1035.281198551138,57.82102865362425,0.9770144032980012,,,,,,0.0,0.0,57.892333033333344,58.91933263333334,56.86533343333333,3.547964112652623,1.0636155879061,1.0,0.0,,,,,,1.1636228977980485,,,,57.883333416666666,,58.015641335230654,,0.0,0.0,0.0,1.0656828879236735,0.9225095826582409,0.1431733052654326,,,,,-159.1041435633164,-159.1041435633164,0.0,57.904998500000005,,,57.904998500000005,69.47720311304644,68.42433968956408,,,,56.7316781184,,0.0,0.0,,65.051551961435,,,,,,93.86973414952702,,-6.130265850472987,,57.60853666198215,2.642099819956547,,,,0.42517007525799677,0.4242687810791068,2.2156811493854844
15,2018-06-25,59.07,59.59,58.330002,59.299999,51.13929,1716500,80405.60802220413,10797200,,164602.13572022843,79.29904647746451,12.111909699854397,2.43228832315409,15771.398454406877,1039.6642688986547,57.92187176038085,1.0053127629682013,,,,,,0.0,0.0,57.9869997,59.067998900000006,56.906000500000005,3.72841914771459,1.1073081737710784,1.0,0.0,,,,,,1.151642494150457,,,,58.02583333333334,,58.213234822118245,,0.0,18.576822349700198,16.368258340915176,1.0550003807144486,0.8885715951021121,0.16642878561233643,,,,,-152.53928380278364,-155.82171368305,3.2824298802663634,58.094999,,,58.094999,69.47720311304644,68.42433968956408,,,,56.880377371296,,0.0,0.0,,67.13170070063491,,,,,,90.30097638730665,92.20254988848546,-9.699023612693347,,57.66299377120375,2.9692637610696235,,,,0.4233700325718903,0.42247634317034155,2.64843171196123
16,2018-06-26,59.580002,59.889999,59.25,59.439999,51.260025,2174400,-802949.1697196406,12971600,,184575.54490305312,85.40446660960052,17.9543060155216,5.980908192150538,12400.637420791109,1039.6642688986547,58.088649008359425,0.9687813866713814,,,,,,0.0,0.0,58.11233299999999,59.1883323,57.0363337,3.703170203130546,1.1169455686448873,1.0,0.0,,,,,,1.1462776340357164,,,,58.14666641666667,,58.40196777256159,,0.0,19.9190143672746,15.591904103485788,1.1621623181253635,0.8356466654146573,0.32651565271070626,,,,,-145.53111367211847,-152.3915136794062,6.860400007287723,58.2449985,,,58.2449985,69.47720311304644,68.42433968956408,,,,57.09714718159232,,0.0,0.0,,68.2706398459258,,,,,,86.32219260723622,90.16430104802329,-13.677807392763782,,57.7279739055292,2.500425849269678,,,,0.2360876936945644,0.23580944455430242,2.8907720270036297
