,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,196.169998,201.470001,195.330002,198.970001,196.815445,1225600,227554.2348459648,1225600,,,,,,-79587.32617218028,1000.0,,0.0,,,,,,0.0,0.0,,204.73000033333332,192.45000233333334,,0.5309446033025953,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,198.4000015,212.93710804366813,206.50250210039368,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-6.639882592517987,,0.0
1,2020-06-04,197.860001,198.529999,195.899994,197.990005,195.846069,623600,595078.4795527216,602000,,,,-499.7705380091442,,-84449.84651064548,995.0746544952774,,0.0,,,,,,0.0,0.0,,202.416669,193.64666499999998,,0.4952494890538246,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,198.4000015,212.93710804366813,206.50250210039368,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-0.4925345504722567,-0.4937514994632686,-0.4925345504722567
2,2020-06-05,204.399994,204.399994,199.460007,200.199997,198.032135,1592000,-519971.2450720563,2194000,,,,1463.0689990545213,,14698.6801816679,995.0746544952774,,0.0,,,,,,0.0,0.0,,203.7088858888889,194.56889188888888,,0.6160950555450158,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,199.864998,212.93710804366813,206.50250210039368,,,,195.330002,,1.0,0.0,,,,,,,,,,,,,,,,,1.1162139220108669,1.1100302273697515,0.6181816323155065
3,2020-06-08,200.039993,200.440002,196.639999,198.009995,195.865829,1525000,-945370.060546665,669000,,,,-844.7219783606567,,1088.0422215985272,984.1894621069181,,0.0,,,,,,0.0,0.0,,203.32249816666666,194.56750116666666,,0.3932033138713061,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,199.864998,212.93710804366813,206.50250210039368,,,,195.69280168,,0.0,0.0,,,,,,,,,,,,,,,,,-1.093907109299308,-1.099934267765157,-0.48248780980807426
4,2020-06-09,196.710007,197.449997,193.690002,194.289993,192.186127,1328200,-1849682.2382490174,-659200,,,,-840.7761564519648,,-41634.897826006156,965.6995532141035,,0.0,,,,,,0.0,0.0,,202.43866366666666,193.93066806666667,,0.04223379397767212,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,199.044998,212.93710804366813,206.50250210039368,,,,,204.399994,0.0,1.0,,,,,,,,,,,,,,,,,-1.87869405279264,-1.8965656992049773,-2.3521173928123917
5,2020-06-10,193.369995,194.990005,191.199997,193.179993,191.08815,1667800,-1774880.4660100145,-2327000,,,,-562.4333921925886,,-34481.13839240394,965.6995532141035,,0.0,,,,,,0.0,0.0,,201.51777633333333,193.164444,,0.0018614128325705236,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,197.7999955,212.93710804366813,206.50250210039368,,,,,204.18579416,0.0,0.0,,,,,,,,,,,,,,,,,-0.571310947548398,-0.5729491710889434,-2.9099904361964635
6,2020-06-11,190.279999,190.279999,179.899994,180.649994,178.693832,1768000,-3287389.259599228,-4095000,,,,-4699.77300537458,,-124203.9582866051,965.6995532141035,,0.0,,,,,,0.0,0.0,,200.4423798095238,190.31666495238093,,-0.9546655311513035,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,192.149994,212.93710804366813,206.50250210039368,,,,,203.6663622736,0.0,0.0,,,,,,,,,,,,,,,,,-6.486178410825394,-6.706093613526143,-9.207421675592197
7,2020-06-12,184.910004,185.380005,177.850006,181.949997,179.979767,1378400,-3164745.8744938695,-2716600,,,,-1898.3371122322205,,-104756.3196357157,972.6489711934754,,0.0,,,,,,0.0,0.0,,199.044165875,188.301665625,,-0.5912653923373191,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,191.125,212.93710804366813,206.50250210039368,,,,,202.240380177184,0.0,0.0,,,,,,,,,,,,,,,,,0.7196252660822244,0.7170483189869792,-8.554055342242272
8,2020-06-15,178.520004,185.350006,177.210007,184.100006,182.106491,1631500,-2034320.8746259324,-1085100,,,,-167.14014863629123,,29197.906266115235,972.6489711934754,,0.0,,,,,,0.0,0.0,,198.07925914814814,186.72148137037036,,-0.2308088273658102,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,190.8050005,,,190.8050005,212.93710804366813,206.50250210039368,,,,,200.2891502430093,0.0,0.0,,,,,,,,,,,,,,,,,1.1816482744981816,1.1747213259892142,-7.473485915095301
9,2020-06-16,188.490005,188.830002,184.270004,186.119995,184.104599,1161900,-2253455.3107375344,76800,,,,2068.2652121531164,,32027.23441542942,983.3211067645743,,6.120999200000003,,,,,,0.0,0.0,191.80099993333334,197.36799973333333,186.23400013333332,5.804974741461198,-0.010239369267925603,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,190.8050005,,,190.8050005,212.93710804366813,206.50250210039368,,,,,197.98123591870836,0.0,0.0,,,,,,,,,,,,186.119995,,,,,1.0972237556581055,1.091247928204453,-6.458263022273392
10,2020-06-17,186.729996,193.419998,186.419998,191.929993,189.851685,1545800,-1365726.66188039,1622600,,,,1526.0683788329618,,61002.968787718055,983.3211067645743,,6.238899580000003,,,,,,0.0,0.0,191.00099943333333,196.65399933333336,185.34799953333334,5.919340649286106,0.5821681923845997,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,190.8050005,,,190.8050005,212.93710804366813,206.50250210039368,,,,,195.90411302683754,0.0,0.0,,,,,,,,,,,,186.32780545478167,,,,,3.1216409607146334,3.0739085634096774,-3.5382258454127458
11,2020-06-18,190.720001,194.860001,190.130005,190.990005,188.92186,1172800,-2112053.573953896,449800,,,,1038.520067358466,,42510.47161441454,978.5052360084835,,6.088009222000002,,,,,,0.0,0.0,190.45299986666666,196.3159988666667,184.59000086666666,6.156898556709126,0.5457961133315324,0.0,0.0,,,,,,,,,,191.5316645,,190.88403428953637,,0.0,0.0,0.0,,,,,,,,,,,188.82500449999998,,,190.8050005,212.93710804366813,206.50250210039368,,,,177.210007,,1.0,0.0,,,,,,,,,,,,186.49357171222164,,,,,-0.48975565793929476,-0.4909588911711893,-4.010652842083462
12,2020-06-19,193.899994,194.020004,186.210007,186.789993,184.767334,2787200,-4485287.47916537,-2337400,,,,-666.8977229839139,,-67036.45156002422,978.5052360084835,,6.260207999800003,,,,,,0.0,0.0,189.21833339999998,195.3683334,183.0683334,6.500427193805954,0.3025739512195127,0.0,0.0,,,,,,,,,,190.5166638333333,,190.25418178345384,,0.0,0.0,0.0,,,,,,,,,,,187.33000199999998,,,190.8050005,212.93710804366813,206.50250210039368,,,,177.56300688,,0.0,0.0,,,,,,,,,,,,186.51832985685255,-6.121529848110111,,,,-2.19907423951321,-2.2236143138472997,-6.121529848110107
13,2020-06-22,185.800003,190.259995,185.020004,188.779999,186.735794,1332700,-3905409.638287398,-1004700,,-1283042.659963908,36.46607172672385,-973.1379278866942,,-47094.400857080254,988.929944845473,190.7873545637858,6.158186299820003,,,,,,0.0,0.0,188.1840001333333,194.47799893333334,181.89000133333332,6.689196526315253,0.5473465983713466,0.0,0.0,,,,,,5.546415642544014,,,,189.74916333333337,,190.02738443215324,,0.0,0.0,0.0,,,,,,,,,,,186.100006,,,190.8050005,212.93710804366813,206.50250210039368,,,,177.90894676239998,,0.0,0.0,,41.48014785290927,,,,,,42.55239989632953,,-57.447600103670474,,186.6276886194236,-4.651753001369939,,,,1.0653707771165255,1.0597356903655708,-5.121376061107819
14,2020-06-23,191.039993,191.380005,188.490005,189.009995,186.963318,1815800,-5067785.526176666,811100,,-1040089.8889976355,41.85702613836387,365.2696274369446,-335.12826409228893,16410.436727033604,988.929944845473,190.240232437554,5.831367669838004,,,,,,0.0,0.0,187.6323339,193.8393332,181.42533459999999,6.616129716009472,0.6109764181864826,0.0,0.0,,,,,,5.744063354946666,,,,188.81666316666667,,189.87086298105277,,0.0,0.0,0.0,0.8694604936080187,1.073579196430442,-0.20411870282242328,,,,,-110.89996824323055,-110.89996824323055,0.0,186.03500400000001,,,190.8050005,212.93710804366813,206.50250210039368,,,,178.24796784715198,,0.0,0.0,,42.0010613970586,,,,,,43.39828481712776,,-56.60171518287224,,186.6909911979864,-5.589411672169002,,,,0.12183282191879918,0.12175866596111362,-5.005782756165333
