,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,12.49,12.73,12.02,12.53,12.420553,16115900,7036519.7183098225,16115900,,,,,,-2918114.8223788994,1000.0,,0.0,,,,,,0.0,0.0,,13.136666666666668,11.716666666666667,,0.572769953051642,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,12.375,15.402227116812227,15.179448944881889,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-18.685423271614642,,0.0
1,2020-06-04,12.43,13.1,12.26,13.0,12.886447,16043500,19260138.765928883,32159400,,,,1.596908405273162,,-2409532.8281522496,1037.5099760574622,,0.0,,,,,,0.0,0.0,,13.381666666666668,11.831666666666667,,0.7537634408602145,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,12.559999999999999,15.402227116812227,15.179448944881889,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,3.75099760574622,3.6823588553559716,3.75099760574622
2,2020-06-05,14.34,16.6,14.33,16.07,15.92963,36336800,38629093.83200815,68496200,,,,17.398202373351552,,9182866.377800971,1037.5099760574622,,0.0,,,,,,0.0,0.0,,14.9,12.353333333333333,,1.4594240837696335,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,14.31,15.402227116812227,15.179448944881889,,,,12.02,,1.0,0.0,,,,,,,,,,,,,,,,,23.615384615384617,21.20048222878843,28.252194732641666
3,2020-06-08,17.65,17.870001,16.57,17.73,17.575132,29519900,61790820.999987334,98016100,,,,7.728692864814904,,11630423.801254129,1144.6827551648291,,0.0,,,,,,0.0,0.0,,15.847500333333333,13.287499833333333,,1.7353512886683689,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,12.203199999999999,,0.0,0.0,,,,,,,,,,,,,,,,,10.329807093963916,9.830394033669565,41.5003990422985
4,2020-06-09,16.450001,16.9,15.6,16.530001,16.385616,14750800,68145034.46275656,83265300,,,,-8.54869329121132,,2050987.4581607173,1067.2085215768402,,0.0,,,,,,0.0,0.0,,16.206667,13.638666599999999,,1.1259088588927006,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,12.54320806,,0.0,0.0,,,,,,,,,,,,,,,,,-6.768183869148348,-7.008114775711816,31.923391859537098
5,2020-06-10,15.93,15.93,14.51,14.83,14.700463,15456800,59654679.533179104,67808500,,,,-9.462501940893322,,-2587990.6592236063,1067.2085215768402,,0.0,,,,,,0.0,0.0,,16.2572225,13.643888833333333,,0.45386901098609533,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,12.862815636399999,,0.0,0.0,,,,,,,,,,,,,,,,,-10.284336945896122,-10.852481617915766,18.355945730247413
6,2020-06-11,12.73,14.36,12.31,12.79,12.678282,17749400,50217193.67952055,50059100,,,,-21.771158461694466,,-4031219.143559005,1067.2085215768402,,0.0,,,,,,0.0,0.0,,16.106666904761905,13.280952333333333,,-0.17374448866756131,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,17.870001,0.0,1.0,,,,,,,,,,,,,,,,,-13.75590020229266,-14.798854055908972,2.0750199521149204
7,2020-06-12,14.01,14.5,13.04,13.77,13.649722,15513600,50217193.67952055,65572700,,,,4.093827351485147,,-1252901.0874877493,1148.980558413846,,0.0,,,,,,0.0,0.0,,15.997083541666665,13.159583291666667,,0.215124812176962,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,17.75880098,0.0,0.0,,,,,,,,,,,,,,,,,7.662236121970301,7.382869714981233,9.896249002394253
8,2020-06-15,13.1,14.33,13.01,14.08,13.957013,15620200,59920651.255278125,81192900,,,,-0.8450596023098268,,1540341.676816096,1148.980558413846,,0.0,,,,,,0.0,0.0,,15.900370555555554,13.084814777777778,,0.35345960114762437,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,14.945000499999999,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,17.6498249604,0.0,0.0,,,,,,,,,,,,,,,,,2.251270878721856,2.2263037989332712,12.370311252992817
9,2020-06-16,15.5,15.54,14.04,14.57,14.442735,16001700,55226819.25527815,97194600,,,,10.498884493522556,,908530.3575481126,1148.980558413846,,1.8150002,,,,,,0.0,0.0,14.515000066666667,15.932000166666665,13.097999966666666,19.524630981629883,0.5194071734128087,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,15.0650005,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,17.543028461192,0.0,0.0,,,,,,,,,,,,14.57,,,,,3.4801136363636465,3.420926947721714,16.28092577813249
10,2020-06-17,14.2,14.38,13.82,13.89,13.768674,10889500,47059694.255278155,86305100,,,,-3.5483722852288864,,48650.85095658939,1095.3562083986494,,1.7085001800000001,,,,,,0.0,0.0,14.6753334,16.0773335,13.2733333,19.10689265839782,0.21992391441341583,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,15.090000499999999,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,17.438367891968163,0.0,0.0,,,,,,,,,,,,14.558594441375512,,,,,-4.667124227865472,-4.779546344086105,10.853950518754996
11,2020-06-18,13.71,14.46,13.48,14.22,14.095792,10042900,52183622.82670672,96348000,,,,-1.2685578866662015,,-269626.2768106894,1121.3797900236714,,1.6356501620000004,,,,,,0.0,0.0,14.802000066666668,16.218000166666666,13.385999966666668,19.13255092044969,0.29449151639654997,0.0,0.0,,,,,,,,,,14.500833416666666,,14.117267815114388,,0.0,0.0,0.0,,,,,,,,,,,15.090000499999999,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,17.3358005341288,0.0,0.0,,,,,,,,,,,,14.553432230929225,,,,,2.3758099352051865,2.3480267608842365,13.487629688747017
12,2020-06-19,14.91,14.99,13.82,13.98,13.857886,19446900,38055533.083116986,76901100,,,,2.6171266371503914,,-89617.50553626625,1121.3797900236714,,1.5890851458000004,,,,,,0.0,0.0,14.661666733333334,15.967666833333334,13.355666633333334,17.81516554363913,0.23902500722115821,0.0,0.0,,,,,,,,,,14.621666750000001,,14.096149689712174,,0.0,0.0,0.0,,,,,,,,,,,14.605,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,17.235284523446225,0.0,0.0,,,,,,,,,,,,14.531582511723803,11.572226656025547,,,,-1.6877637130801704,-1.7021687569430455,11.572226656025553
13,2020-06-22,13.9,14.36,13.52,14.28,14.155267,8855600,45224352.13073603,85756700,,3400529.24498758,70.64981229893628,-4.410768327386067,,-138183.38675503986,1145.4437340155957,14.674800911750882,1.5141766312200002,,,,,,0.0,0.0,14.328000033333334,15.588000033333334,13.06800003333333,17.587939657575074,0.48095236772486805,0.0,0.0,,,,,,16.938861279243802,,,,14.728333416666667,,14.12443435283338,,0.0,0.0,0.0,,,,,,,,,,,14.120000000000001,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,17.1367788329773,0.0,0.0,,53.88996911317831,,,,,,38.63247202863726,,-61.36752797136274,,14.50650569291382,9.846153846153841,,,,2.145922746781115,2.123222010577397,13.966480446927365
14,2020-06-23,14.62,14.99,14.04,14.13,14.006577,11418200,35969600.5517887,74338500,,2670063.6385607854,72.0193797211551,4.784029006323245,-0.0812457616763665,70095.25913369686,1145.4437340155957,14.8134136380988,1.4577589680980003,,,,,,0.0,0.0,14.132333333333332,15.357333333333333,12.907333333333332,17.33613227350993,0.4990476190476197,0.0,0.0,,,,,,17.786884821666977,,,,14.566666750000001,,14.12529060624363,,0.0,0.0,0.0,0.9164030351194724,0.8206054839037067,0.09579755121576572,,,,,-76.70512664056861,-76.70512664056861,0.0,13.925,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,17.040243256317755,0.0,0.0,,52.778574568481616,,,,,,33.33332739156377,,-66.66667260843623,,14.480129989728795,-12.072184194150589,,,,-1.050420168067212,-1.0559760215001823,12.76935355147646
15,2020-06-24,13.78,13.9,12.89,13.07,12.955834,12338900,28028724.314164937,61999600,,420163.97590924404,66.97587473397432,-9.16775401372893,-0.8501502201765158,-1045574.885962877,1145.4437340155957,14.871880196491968,1.4359830712882002,,,,,,0.0,0.0,13.952000000000002,15.136000000000001,12.767999999999999,16.972477064220197,0.12753378378378424,0.0,0.0,,,,,,19.123711977970075,,,,14.178333416666666,,13.962938205283072,,0.0,32.60121439884748,27.225042754135014,0.8584109757291634,0.8783843427976618,-0.019973367068498393,,,,,-78.39417270365705,-77.54964967211282,-0.8445230315442274,14.215,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,16.945638391191398,0.0,0.0,,45.61874123162186,,,,,,13.669062289736997,28.544953903312674,-86.330937710263,,14.40837512238389,-26.28313592780598,,,,-7.501769285208781,-7.798066906030554,4.30965682362332
16,2020-06-25,12.87,13.67,12.68,13.66,13.540682,12251300,40032523.30406393,74250900,,1392750.1222079233,62.61438368227277,-1.7777705223119236,-2.219862569866764,-372593.1936532076,1197.1508344799568,14.644636626136753,1.3913847641593802,,,,,,0.0,0.0,13.970333333333334,15.048333333333332,12.892333333333331,15.43270263176732,0.3560606060606069,0.0,0.0,,,,,,20.083720111764233,,,,13.939166666666665,,13.916332327547215,,0.0,31.08044262789063,26.94455377509881,0.7921686453645935,0.9929718380550361,-0.20080319269044256,,,,,-68.76317897382538,-74.62082610601702,5.857647132191644,14.11,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,16.85292562336757,0.0,0.0,,49.708264721139166,,,,,,24.280571172559146,23.76098695128664,-75.71942882744086,,14.38759476692324,-17.362376445107287,,,,4.514154552410088,4.415232650651335,9.01835594573026
17,2020-06-26,13.5,13.5,12.8,13.25,13.134264,11946800,43445894.73263535,62304100,,494044.67617821984,51.922714868443485,-0.14648274014798615,-2.782375113078399,194463.70013476233,1161.2187816148921,14.132365831595095,1.338246287743442,,,,,,0.0,0.0,13.911666666666667,14.913666666666668,12.909666666666666,14.405175512160067,0.16982701264138392,0.0,0.0,,,,,,20.77208760892032,,,,13.8075,,13.81381966177072,,0.0,29.78082690481533,25.81787851642851,0.6880926929350529,1.0864067393884749,-0.39831404645342194,,,,,-75.35150646170818,-74.80349619493981,-0.5480102667683724,14.11,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,16.76206711090022,0.0,0.0,,47.05982387688429,,,,,,20.479302832244006,19.47631209818005,-79.520697167756,,14.36741661538669,-10.654079568442347,,,,-3.001464128843334,-3.0474301710412988,5.746209098164412
18,2020-06-29,13.15,13.46,12.92,13.33,13.213565,10097800,48681791.028931625,72401900,,538870.2938670457,59.18076518384359,0.21390797995603059,-2.1564750222807314,-297611.0674880522,1168.2299138812461,13.910342572103051,1.2584216589690977,,,,,,0.0,0.0,13.854666666666668,14.77866666666667,12.930666666666664,13.338465980175194,0.21608946608946705,0.0,0.0,,,,,,20.86899992232979,,,,13.852500000000001,,13.739385867652148,,0.0,28.96191895416423,25.107943024925117,0.7699827044288267,1.088556579151433,-0.31857387472260623,,,,,-87.33416036108504,-77.30962902816886,-10.024531332916183,13.835,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,16.673025768682216,0.0,0.0,,47.64596560720999,,,,,,28.176795580110493,24.312223194971214,-71.8232044198895,,14.337851891312852,4.222048475371391,,,,0.6037735849056647,0.6019581758386128,6.3846767757382406
19,2020-06-30,13.08,13.62,12.87,13.5,13.382081,9837200,55371087.02893165,82239100,0.1784818574801243,700792.251886039,66.8191435696361,0.4193266376611141,-1.4506301238125572,186423.51297258277,1183.1285699472485,13.778796641210192,1.207579493072188,14.16050005,16.69741548962352,11.623584610376481,35.830873636747306,0.3698222180203966,0.0,0.0,13.716,14.565000000000001,12.866999999999999,12.379702537182869,0.372791519434629,0.0,0.0,12.02,17.870001,14.945000499999999,41.31210747744745,0.2529914097450583,20.5001929086937,,,,13.83,,13.70255727262874,,0.0,28.660555968509062,24.116067853072884,0.8535980148883372,1.062655086848635,-0.20905707196029788,,,-57.875444065228415,-0.08050004999999949,-97.4273616675724,-80.66258446806944,-16.76477719950296,13.835,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,16.585765253308573,0.0,0.0,,48.93969743318225,,,,,,36.84210526315789,28.4994012251708,-63.1578947368421,,14.295364080697023,-1.960784313725487,,,,1.275318829707417,1.2672551253766429,7.741420590582604
20,2020-07-01,13.63,13.97,12.91,13.0,12.886447,22681800,36540913.44402598,59557300,0.09313267354414637,-1019449.498383395,65.05386384340758,0.9113033357141026,0.16954571885948327,-714611.0027506877,1183.1285699472485,13.77928030238191,1.1928215437649692,14.18400005,16.668225671476478,11.699774428523522,35.02856193907695,0.26169635322891893,0.0,0.0,13.642333333333335,14.541333333333332,12.743333333333332,13.179563613262637,0.14275120504264055,0.0,0.0,12.26,17.870001,15.0650005,39.55161435578251,0.1319072848650117,19.31581759353667,,,,13.74,,13.594471538378164,,0.0,28.90774845588243,22.748265167440746,1.0034106412005455,0.9699863574351978,0.03342428376534767,,,-65.98181710687457,0.3859999500000004,-98.73330730010275,-83.24411630121706,-15.48919099888569,13.835,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,16.500249948242402,0.0,0.0,,45.38720384710549,,,,,,11.1888111888112,25.402570677359865,-88.8111888111888,,14.241222646691753,-7.670454545454546,,,,-3.703703703703709,-3.774032798284699,3.75099760574622
21,2020-07-02,13.52,13.94,13.18,13.26,13.144176,14346400,25214808.18086809,73903700,0.018897563221298454,-340947.57004291064,64.77324952054182,0.6356995483187377,-0.07746340993811741,-553138.6666666669,1206.7911413461934,13.755399009125007,1.1675393893884722,14.197000050000003,16.65892712714916,11.735072972850846,34.6823563918936,0.3097019081724746,0.0,0.0,13.583000000000002,14.459999999999999,12.706,12.913200323934323,0.3158494868871154,0.0,0.0,12.31,17.870001,15.090000499999999,39.163210399509694,0.1708632786217124,18.52680962275086,,,,13.630833333333333,,13.543014378627678,,0.0,27.422397602218577,21.57940363755034,0.9755219582433404,0.9856011519078475,-0.010079193664507047,,,-57.389089885842886,-0.30700005000000274,-94.33955591800341,-84.63104625331535,-9.708509664688066,13.835,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,16.416444949277555,0.0,0.0,,47.520493334777534,,,,,,20.279720279720287,22.770212243896463,-79.72027972027972,,14.194481140854995,-8.991077556623202,,,,2.0000000000000018,1.9802627296179764,5.826017557861141
22,2020-07-06,13.56,13.72,13.21,13.53,13.411818,10165700,27806065.043613132,84069400,-0.03745881821219509,99864.79710607592,63.65591688573044,-0.4766026933708392,-0.05114505929961829,493921.8914027144,1231.3638116450977,13.73580800577342,1.1017854504496252,14.070000049999999,16.390327825121478,11.74967227487852,32.98262639482334,0.3836371189040892,0.0,0.0,13.505333333333335,14.316333333333333,12.694333333333333,12.010070095764634,0.5152075626798192,0.0,0.0,12.31,17.870001,15.090000499999999,39.51670917016094,0.21942442096683062,17.79353958929242,,,,13.600833333333334,,13.541012166531111,,0.0,26.623114468862624,20.950426784192384,0.9785932721712537,0.9885321100917431,-0.00993883792048944,,,-51.7478068620282,0.14999995000000155,-94.22879873842925,-85.69746319610579,-8.531335542323461,13.835,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,16.334316050292003,0.0,0.0,,49.71709273106052,,,,,,29.720279720279716,20.396270396270406,-70.27972027972028,,14.182188805450366,-2.5917926565874816,,,,2.036199095022617,2.015745742498032,7.98084596967279
23,2020-07-07,13.25,13.38,12.75,12.77,12.658458,8685600,19671931.710279785,75383800,-0.1571031140945111,-857409.6024805061,56.97452901160388,-2.901353965183759,-1.0083049492072123,-280889.0354265536,1162.1962952481817,13.606471213289513,1.0696069054046626,13.82200005,15.494359187027747,12.149640912972252,24.198511517553463,0.1854742421326737,0.0,0.0,13.396666666666667,14.186666666666667,12.606666666666666,11.793978601642213,0.10337552742616064,0.0,0.0,12.31,16.9,14.605,33.20792926780519,0.10021786492374712,17.375473927688066,,,,13.480000000000002,,13.42239491014171,,0.0,25.403566122556963,22.692222383531124,0.8446601941747574,1.1011326860841424,-0.25647249190938504,,,-98.8921998085096,0.15799995000000067,-102.19642876137975,-88.52983009841813,-13.666598662961619,13.325,,,14.945000499999999,15.402227116812227,15.179448944881889,,,,,16.253829729286164,0.0,0.0,,44.119215048005714,,,,,,3.896103896103889,17.965367965367967,-96.1038961038961,,14.072690342179024,-10.196905766526026,,,,-5.617147080561713,-5.781077213824881,1.9154030327214633
