,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,303.040009,304.679993,299.709991,302.600006,302.600006,945500,154100.83818879462,945500,,,,,,127992.9675048839,1000.0,,0.0,,,,,,0.0,0.0,,307.2999986666667,297.35999466666664,,0.5271639059031915,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,302.194992,273.4634818930131,281.1652751751968,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,11.851840420507088,,0.0
1,2020-06-04,302.98999,303.959991,297.549988,299.649994,299.649994,1019000,-197222.05963200144,-73500,,,,-905.831240923224,,102125.03958172619,1000.0,,0.0,,,,,,0.0,0.0,,307.0483296666667,295.66832466666665,,0.3498829159858304,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,301.1149905,273.4634818930131,281.1652751751968,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-0.9748882820577398,-0.979671430157758,-0.9748882820577398
2,2020-06-05,300.609985,308.269989,298.119995,306.720001,306.720001,1297400,703930.527571502,1223900,,,,1908.8955399248637,,20677.025617468098,1000.0,,0.0,,,,,,0.0,0.0,,309.5388827777778,295.1855501111111,,0.8036078558727904,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,302.9099885,273.4634818930131,281.1652751751968,,,,,304.679993,0.0,1.0,,,,,,,,,,,,,,,,,2.359421705845266,2.332017567680289,1.361531698052909
3,2020-06-08,304.480011,306.059998,299.130005,301.26001,301.26001,1491000,129479.05943871976,-267100,,,,-278.8685422579907,,4069.5143815035044,1000.0,,0.0,,,,,,0.0,0.0,,309.42416141666666,295.1941654166667,,0.4262716998187029,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,302.9099885,273.4634818930131,281.1652751751968,,,,298.119995,,1.0,0.0,,,,,,,,,,,,,,,,,-1.780122255542116,-1.7961570089049417,-0.4428274862624981
4,2020-06-09,297.0,297.339996,291.0,293.73999,293.73999,2045800,-148032.27224036417,-2312900,,,,-2610.9340350956054,,-77608.6626141391,1000.0,,0.0,,,,,,0.0,0.0,,307.61266073333337,293.6926655333333,,0.0033997473409099923,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,299.6349945,273.4634818930131,281.1652751751968,,,,,306.059998,0.0,1.0,,,,,,,,,,,,,,,,,-2.496189255254966,-2.5278724186583723,-2.9279629293860743
5,2020-06-10,296.079987,296.809998,291.899994,295.25,295.25,1430800,373585.1126741884,-882100,,,,63.48482806765716,,-43711.81958399173,1005.1406347498004,,0.0,,,,,,0.0,0.0,,306.2711063888889,293.03444238888886,,0.16738036193342476,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,299.6349945,273.4634818930131,281.1652751751968,,,,,306.059998,0.0,0.0,,,,,,,,,,,,,,,,,0.5140634749800421,0.5127466795467939,-2.428951042386962
6,2020-06-11,293.660004,294.390015,281.200012,283.220001,283.220001,1669500,-784562.2158366514,-2551600,,,,-5182.760638211877,,-60668.770758495186,1005.1406347498004,,0.0,,,,,,0.0,0.0,,305.29809295238096,290.18380866666666,,-0.4607434619480253,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,294.7350005,273.4634818930131,281.1652751751968,,,,,305.75879804,0.0,0.0,,,,,,,,,,,,,,,,,-4.074512785774765,-4.159847075173495,-6.404495907379459
7,2020-06-12,286.059998,286.959991,273.589996,279.269989,279.269989,2041100,-1091415.686604586,-4592700,,,,-4925.904159516945,,-96490.79932208994,1005.1406347498004,,0.0,,,,,,0.0,0.0,,303.79957970833334,287.23208220833334,,-0.4805851462077075,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,290.9299925,273.4634818930131,281.1652751751968,,,,,304.7764465984,0.0,0.0,,,,,,,,,,,,,,,,,-1.3946797493302743,-1.404496791763421,-7.709853449242821
8,2020-06-15,276.359985,278.98999,272.019989,278.48999,278.48999,2187800,782496.266607471,-6780500,,,,-1519.6513689552908,,-34577.31747453271,1005.1406347498004,,0.0,,,,,,0.0,0.0,,301.5407364814815,285.26518292592596,,-0.41628033742749876,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,290.144989,,,290.144989,273.4634818930131,281.1652751751968,,,,,302.905259562496,0.0,0.0,,,,,,,,,,,,,,,,,-0.2792992554599305,-0.2796900236083921,-7.967619141421967
9,2020-06-16,282.01001,285.959991,280.220001,282.119995,282.119995,1752900,190051.0696994624,-5027600,,,,2483.7618495028205,,16737.83730358148,1018.2422386165856,,8.642999300000014,,,,,,0.0,0.0,292.3393299666667,300.2373280666667,284.4413318666667,5.403308614616136,-0.14695729457485468,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,290.144989,,,290.144989,273.4634818930131,281.1652751751968,,,,,300.4344379174963,0.0,0.0,,,,,,,,,,,,282.119995,,,,,1.3034597760587463,1.2950378445005128,-6.76801407598121
10,2020-06-17,283.600006,285.279999,279.679993,281.459991,281.459991,2070600,-564241.8196295896,-7098200,,,,-164.97651212209246,,18004.29315131148,1018.2422386165856,,8.338699970000008,,,,,,0.0,0.0,290.3203297333333,298.2813282333333,282.35933123333336,5.484285931551773,-0.056484135333863365,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,290.144989,,,290.144989,273.4634818930131,281.1652751751968,,,,,298.1612820040966,0.0,0.0,,,,,,,,,,,,282.04193093691583,,,,,-0.23394442496003087,-0.23421850247267173,-6.986125109329977
