,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,319.98999,322.070007,317.709991,319.220001,319.138916,284600,-87468.2252542151,284600,,,,,,-23314.59638369538,1000.0,,0.0,,,,,,0.0,0.0,,324.0266823333333,315.3066503333334,,0.4487770992889325,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,319.889999,351.00665804694324,340.1208077066929,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-8.329498618668685,,0.0
1,2020-06-04,318.140015,320.420013,311.720001,313.859985,313.780273,352600,-266606.7729251854,-68000,,,,-9425.404492315289,,-29626.251896121317,1000.0,,0.0,,,,,,0.0,0.0,,324.03001366666666,310.96998566666673,,0.2212858451247792,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,316.895004,351.00665804694324,340.1208077066929,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-1.6790977956296804,-1.6933544568484393,-1.6790977956296804
2,2020-06-05,313.649994,324.410004,303.450012,318.540009,318.459106,811000,90140.57802800066,743000,,,,-5530.747462393067,,6172.471431306495,1000.0,,0.0,,,,,,0.0,0.0,,328.16223144444444,305.48221811111114,,0.5757400005447767,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,313.93000800000004,351.00665804694324,340.1208077066929,,,,,322.070007,0.0,1.0,,,,,,,,,,,,,,,,,1.4911184042782688,1.4801105258978708,-0.21301672760787316
3,2020-06-08,318.440002,324.23999,317.380005,320.299988,320.218658,445200,23943.28185315535,1188200,,,,10601.21850183226,,14552.763781211495,1005.5251426830969,,0.0,,,,,,0.0,0.0,,327.9966684166667,307.5566659166667,,0.6234501235180029,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,313.93000800000004,351.00665804694324,340.1208077066929,,,,303.450012,,1.0,0.0,,,,,,,,,,,,,,,,,0.5525142683096895,0.5509935072692151,0.3383205928878974
4,2020-06-09,318.329987,320.5,302.51001,303.230011,303.152985,330800,-280377.95625759516,857400,,,,-50603.603997906364,,-15169.768148277428,951.9369700275232,,0.0,,,,,,0.0,0.0,,327.74466746666667,304.19666946666666,,-0.04105055838150962,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,313.460007,351.00665804694324,340.1208077066929,,,,,324.23999,0.0,1.0,,,,,,,,,,,,,,,,,-5.329371726357978,-5.476638940958889,-5.0090814954918965
5,2020-06-10,303.230011,308.480011,297.709991,298.630005,298.554138,418800,-627627.1396017314,438600,,,,-21627.485979006702,,-23982.766970118595,951.9369700275232,,0.0,,,,,,0.0,0.0,,325.18333772222223,301.9699993888889,,-0.14388255325141275,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,311.0599975,351.00665804694324,340.1208077066929,,,,,324.23999,0.0,0.0,,,,,,,,,,,,,,,,,-1.5170022204695321,-1.5286264084431345,-6.450095838449688
6,2020-06-11,294.23999,294.399994,278.420013,278.549988,278.479248,419900,-1040696.5304164013,18700,,,,-63497.48583830621,,-34587.47177331986,951.9369700275232,,0.0,,,,,,0.0,0.0,,321.552857952381,297.090001952381,,-0.7578842777957329,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,301.4150085,351.00665804694324,340.1208077066929,,,,,323.17879003999997,0.0,0.0,,,,,,,,,,,,,,,,,-6.724045361751241,-6.960783226962786,-12.740433830147136
7,2020-06-12,284.380005,289.200012,276.880005,288.399994,288.326752,476000,-626516.0680189384,494700,,,,-8722.344955874994,,-11402.088918846683,951.9369700275232,,0.0,,,,,,0.0,0.0,,318.502085375,294.017084625,,-0.22940945284635153,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,300.6450045,351.00665804694324,340.1208077066929,,,,,320.49326341759996,0.0,0.0,,,,,,,,,,,,,,,,,3.5361717552829353,3.4750851219768286,-9.654785697466384
8,2020-06-15,283.589996,292.019989,275.730011,290.350006,290.276245,575600,-168932.4600361652,1070300,,,,2363.098187141597,,20724.087855255897,951.9369700275232,,0.0,,,,,,0.0,0.0,,316.70444403703704,291.3200038148148,,-0.03821229880679587,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,300.0700075,,,300.0700075,351.00665804694324,340.1208077066929,,,,,317.00420274419196,0.0,0.0,,,,,,,,,,,,,,,,,0.6761484190599631,0.673872787641816,-9.04391795926347
9,2020-06-16,299.48999,306.859985,296.940002,300.100006,300.023773,453200,-333399.3416830377,1523500,,,,39454.463613219436,,19110.43934673845,983.9031669139403,,13.496997099999993,,,,,,0.0,0.0,303.7410013,316.1559977,291.3260049,8.17472540543706,0.3533630142655545,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,300.0700075,,,300.0700075,351.00665804694324,340.1208077066929,,,,,312.8767835697728,0.0,0.0,,,,,,,,,,,,300.100006,,,,,3.3580161179676438,3.3028659956883644,-5.989598064063662
10,2020-06-17,301.980011,304.959991,298.059998,302.529999,302.453156,293500,-246624.95778149125,1817000,,,,-916.8621362885592,,17595.07996712478,991.8701038032341,,12.837296689999993,,,,,,0.0,0.0,301.95933426666664,314.62832836666666,289.2903401666666,8.39119223174056,0.522522101156134,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,300.0700075,,,300.0700075,351.00665804694324,340.1208077066929,,,,,309.1621063127955,0.0,0.0,,,,,,,,,,,,300.1915950999137,,,,,0.8097277412250303,0.8064670362129434,-5.228369759951246
