,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,174.830002,175.929993,172.839996,174.990005,174.990005,6004000,2351123.9926769966,6004000,,,,,,-1276950.2019273324,1000.0,,0.0,,,,,,0.0,0.0,,177.67666166666663,171.4966676666667,,0.5652654894702708,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,174.3849945,228.0961252379913,222.72771730905515,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-21.937347737018666,,0.0
1,2020-06-04,175.0,175.429993,170.0,171.440002,171.440002,7301600,-1077793.8129997496,-1297600,,,,-124.19301865363798,,-1465245.1148833649,1000.0,,0.0,,,,,,0.0,0.0,,177.69832649999995,169.1783365,,0.26545400874883723,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,172.96499649999998,228.0961252379913,222.72771730905515,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-2.0286890099808885,-2.0495495175506306,-2.0286890099808885
2,2020-06-05,170.110001,174.190002,167.0,173.880005,173.880005,8232200,6444543.434973242,6934600,,,,-185.1603688563324,,-30962.778321405334,1000.0,,0.0,,,,,,0.0,0.0,,178.09221911111106,167.6188911111111,,0.5978151251339525,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,171.46499649999998,228.0961252379913,222.72771730905515,,,,,175.929993,0.0,1.0,,,,,,,,,,,,,,,,,1.4232401840499342,1.4132072044843902,-0.6343219431304004
3,2020-06-08,173.630005,176.570007,172.660004,176.550003,176.550003,4592600,10990150.954200208,11527200,,,,342.25122272816196,,187685.21412375488,1015.3554055855933,,0.0,,,,,,0.0,0.0,,178.36166624999998,168.55166875,,0.8153248000318059,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,171.78500350000002,228.0961252379913,222.72771730905515,,,,167.0,,1.0,0.0,,,,,,,,,,,,,,,,,1.535540558559334,1.523870449069431,0.8914783447203201
4,2020-06-09,176.0,176.0,173.529999,174.559998,174.559998,4025600,10321929.331294,7501600,,,,9.20323256145707,,25146.19184150456,1003.9107026710748,,0.0,,,,,,0.0,0.0,,178.1226663333333,169.28666793333335,,0.5968007041136042,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,171.78500350000002,228.0961252379913,222.72771730905515,,,,167.0,,0.0,0.0,,,,,,,,,,,,,,,,,-1.127162257822223,-1.1335628739366221,-0.2457323205402484
5,2020-06-10,176.25,182.5,176.050003,182.100006,182.100006,8127200,17441119.17662263,15628800,,,,357.9276918249088,,305674.18689898535,1003.9107026710748,,0.0,,,,,,0.0,0.0,,179.54666638888887,170.0333353888889,,1.2683959604802093,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,174.75,228.0961252379913,222.72771730905515,,,,167.19140014,,0.0,0.0,,,,,,,,,,,,,,,,,4.319436346464678,4.228750905510825,4.063089774756001
6,2020-06-11,176.639999,178.429993,172.0,172.050003,172.050003,6521200,11021343.7236167,9107600,,,,-400.32208381839246,,-8852.347526842437,948.5054020607254,,0.0,,,,,,0.0,0.0,,179.69571285714284,169.70428828571428,,0.23477279916554825,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,174.75,228.0961252379913,222.72771730905515,,,,167.8037441344,,0.0,0.0,,,,,,,,,,,,,,,,,-5.518947099869953,-5.677087000221004,-1.6800971004029552
7,2020-06-12,175.899994,177.690002,171.860001,175.110001,175.110001,5443800,11646959.49215604,14551400,,,,-47.120968624765226,,-263080.7888437771,965.3750596177499,,0.0,,,,,,0.0,0.0,,179.82333237499998,169.623335625,,0.5379085414904684,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,174.75,228.0961252379913,222.72771730905515,,,,168.391594369024,,0.0,0.0,,,,,,,,,,,,,,,,,1.778551552829688,1.76292039142254,0.06857305935845659
8,2020-06-15,172.0,178.899994,171.270004,178.610001,178.610001,6000000,17190875.539228216,20551400,,,,39.421297083749245,,216745.40755912202,965.3750596177499,,0.0,,,,,,0.0,0.0,,180.27518318518517,169.5129660740741,,0.8452751725788918,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,174.75,,,174.75,228.0961252379913,222.72771730905515,,,,168.95593059426304,,0.0,0.0,,,,,,,,,,,,,,,,,1.9987436354363286,1.9790309920677096,2.06868729445433
9,2020-06-16,180.009995,182.5,178.009995,180.479996,180.479996,5824100,17774578.12479326,26375500,,,,398.5734983086229,,180901.25895549133,975.4822570003304,,5.863000299999996,,,,,,0.0,0.0,175.4376668666667,180.72966506666666,170.1456686666667,6.032909915545012,0.976410699963328,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,174.75,,,174.75,228.0961252379913,222.72771730905515,,,,169.49769337049253,,0.0,0.0,,,,,,,,,,,,180.479996,,,,,1.0469710483905104,1.0415282631390355,3.1373168998995116
