,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,151.389999,155.720001,151.059998,155.229996,148.989685,1284100,1014050.6371562434,1284100,,,,,,-27701.36330263865,1000.0,,0.0,,,,,,0.0,0.0,,158.66333466666666,149.34332866666668,,0.631616260046757,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,153.3899995,157.74624483296944,155.10041381299212,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-2.2289397997676375,,0.0
1,2020-06-04,155.220001,157.440002,153.869995,157.089996,150.774918,1387700,2129648.4669364253,2671800,,,,582.6952716720451,,-11994.088941109414,1000.0,,0.0,,,,,,0.0,0.0,,159.18333633333333,150.95332633333334,,0.7456454690415543,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,154.25,157.74624483296944,155.10041381299212,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1.1982220240474684,1.1911001778601715,1.1982220240474684
2,2020-06-05,164.369995,165.139999,160.919998,162.220001,155.698685,1969800,1373471.8330920301,4641600,,,,1579.9831137678939,,80954.4448729346,1000.0,,0.0,,,,,,0.0,0.0,,161.78222433333335,153.482217,,1.0527441301055858,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,158.0999985,157.74624483296944,155.10041381299212,,,,151.059998,,1.0,0.0,,,,,,,,,,,,,,,,,3.2656471644445073,3.2134580757928077,4.502998892044041
3,2020-06-08,164.149994,168.330002,164.020004,167.779999,161.035172,1770800,2692324.842675791,6412400,,,,765.4711489152406,,125019.87773739186,1034.2744295754258,,0.0,,,,,,0.0,0.0,,164.09166816666666,155.71166366666665,,1.4401347079626667,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,159.695,157.74624483296944,155.10041381299212,,,,151.62319804,,0.0,0.0,,,,,,,,,,,,,,,,,3.4274429575425813,3.370014665129606,8.084779567990207
4,2020-06-09,165.0,165.75,162.0,163.479996,156.908035,1389400,2399621.611955791,5023000,,,,-620.7723657693979,,25084.480646671836,1007.7671988178572,,0.0,,,,,,0.0,0.0,,164.77200093333335,156.56799733333332,,0.8425153137020391,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,159.695,157.74624483296944,155.10041381299212,,,,152.6256062776,,0.0,0.0,,,,,,,,,,,,,,,,,-2.5628817651858538,-2.5962957229710426,5.314694461500857
5,2020-06-10,162.809998,162.809998,157.970001,158.050003,151.696304,1187000,1251862.2866917497,3836000,,,,-1421.0102750630604,,-75034.9200621362,974.2941809006646,,0.0,,,,,,0.0,0.0,,164.71833372222224,156.26833172222223,,0.21084862202136434,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,159.695,157.74624483296944,155.10041381299212,,,,153.567870020944,,0.0,0.0,,,,,,,,,,,,,,,,,-3.3215030174089333,-3.3779176585290394,1.8166637071871161
6,2020-06-11,151.669998,153.660004,148.110001,148.550003,142.578232,1864500,-317004.0968939925,1971500,,,,-2829.3248519705435,,-151496.7859845552,974.2941809006646,,0.0,,,,,,0.0,0.0,,163.42381066666667,154.5952366666667,,-0.6847350055248681,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,158.22000150000002,157.74624483296944,155.10041381299212,,,,,168.330002,0.0,1.0,,,,,,,,,,,,,,,,,-6.010755975752813,-6.198983553912463,-4.303287490904784
7,2020-06-12,153.330002,153.679993,147.399994,149.199997,143.202087,1859500,-1110546.736550462,3831000,,,,-116.51821322888034,,-103934.13440661364,978.5572933815196,,0.0,,,,,,0.0,0.0,,162.54250020833334,153.24749820833333,,-0.43544920252123936,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,157.864998,157.74624483296944,155.10041381299212,,,,,167.92560198,0.0,0.0,,,,,,,,,,,,,,,,,0.437559062183257,0.43660455585845526,-3.8845578531097824
8,2020-06-15,145.110001,154.479996,144.520004,153.089996,146.935699,1338700,-145500.2495251675,5169700,,,,-773.7601359566701,,43039.50570774065,1004.0706108697018,,0.0,,,,,,0.0,0.0,,162.3329621111111,151.85740655555554,,0.11766339626644293,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,156.425003,,,156.425003,157.74624483296944,155.10041381299212,,,,,167.1045776608,0.0,0.0,,,,,,,,,,,,,,,,,2.6072379880812013,2.573828995314731,-1.378599533043845
9,2020-06-16,158.690002,159.479996,154.149994,155.990005,149.719116,1694800,-670150.3535964221,6864500,,,,2300.503775076117,,67007.97038977362,1004.0706108697018,,6.625000099999997,,,,,,0.0,0.0,157.03966573333332,162.28666593333332,151.79266553333335,6.6823883959481165,0.3999751578689341,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,156.425003,,,156.425003,157.74624483296944,155.10041381299212,,,,,165.749503241152,0.0,0.0,,,,,,,,,,,,155.990005,,,,,1.8943164646761046,1.8765977068544437,0.4896018936958457
