,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,1438.300049,1446.552002,1429.776978,1436.380005,1436.380005,1256200,-267262.81369255256,1256200,,,,,,-257128.17906979477,1000.0,,0.0,,,,,,0.0,0.0,,1454.3446856666662,1420.7946376666669,,0.46454083562960663,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1438.1644900000001,1821.0695679847163,1727.8978539133861,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-20.709761375473445,,0.0
1,2020-06-04,1430.400024,1438.959961,1404.72998,1412.180054,1412.180054,1484300,-1105454.0800534773,-228100,,,,-37635.036206570585,,-285163.3234919065,1000.0,,0.0,,,,,,0.0,0.0,,1453.5989991666665,1402.5939941666666,,0.187943513255873,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1425.640991,1821.0695679847163,1727.8978539133861,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-1.6847875155432845,-1.699141511707758,-1.6847875155432845
2,2020-06-05,1413.170044,1445.050049,1406.0,1438.390015,1438.390015,1734900,37667.25218607974,1506800,,,,8283.260650333907,,7192.319068612094,1000.0,,0.0,,,,,,0.0,0.0,,1458.6871339999998,1398.6504313333335,,0.6619214897145036,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1425.640991,1821.0695679847163,1727.8978539133861,,,,,1446.552002,0.0,1.0,,,,,,,,,,,,,,,,,1.8559928619413801,1.8389795031685807,0.13993581037072822
3,2020-06-08,1422.339966,1447.98999,1422.339966,1446.609985,1446.609985,1404200,1290771.6414373354,2911000,,,,17608.96158908172,,40224.20442174463,1005.7147017945616,,0.0,,,,,,0.0,0.0,,1460.1728515833333,1402.3203125833334,,0.7655614288020567,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1426.359985,1821.0695679847163,1727.8978539133861,,,,1406.0,,1.0,0.0,,,,,,,,,,,,,,,,,0.5714701794561572,0.5698434830735621,0.7122056812535638
4,2020-06-09,1445.359985,1468.0,1443.209961,1456.160034,1456.160034,1409200,1353876.132091826,4320200,,,,35957.1713834159,,17327.664696493237,1005.7147017945616,,0.0,,,,,,0.0,0.0,,1464.2542887333334,1408.0562419333332,,0.8559691093510855,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1436.36499,1821.0695679847163,1727.8978539133861,,,,1406.0,,0.0,0.0,,,,,,,,,,,,,,,,,0.6601675018854447,0.6579979394953028,1.3770749335932253
5,2020-06-10,1459.540039,1474.259033,1456.27002,1465.849976,1465.849976,1525200,1453150.9035759498,5845400,,,,11392.977876219426,,19452.44533693888,1005.7147017945616,,0.0,,,,,,0.0,0.0,,1467.4533554999998,1414.6253121666666,,0.9696490841070361,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1439.4945065000002,1821.0695679847163,1727.8978539133861,,,,1408.48,,0.0,0.0,,,,,,,,,,,,,,,,,0.6654448531582258,0.6632405424729093,2.0516834610211587
6,2020-06-11,1442.47998,1454.474976,1402.0,1403.839966,1403.839966,1991300,-398504.4667323658,3854100,,,,-97574.09514581304,,-74088.81426852004,1005.7147017945616,,0.0,,,,,,0.0,0.0,,1468.185727095238,1407.9116968095238,,-0.0675536510537425,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1438.1295165000001,1821.0695679847163,1727.8978539133861,,,,,1474.259033,0.0,1.0,,,,,,,,,,,,,,,,,-4.230310810470006,-4.322394784429218,-2.265419936697044
7,2020-06-12,1428.48999,1437.0,1386.02002,1413.180054,1413.180054,1946400,-270980.9313524021,5800500,,,,-43812.499686109855,,-71288.30758559232,1012.4059657884341,,0.0,,,,,,0.0,0.0,,1467.5433451249999,1402.058573625,,0.16983307905411174,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1430.1395265,1821.0695679847163,1727.8978539133861,,,,,1474.259033,0.0,0.0,,,,,,,,,,,,,,,,,0.6653242695898509,0.6631207559456342,-1.615168055754168
8,2020-06-15,1390.800049,1424.800049,1387.920044,1419.849976,1419.849976,1503900,829208.9940584016,7304400,,,,-12629.209364307326,,20047.973249399263,1017.1843157269504,,0.0,,,,,,0.0,0.0,,1465.342606185185,1398.9383637407407,,0.3149137990205146,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,1430.1395265,,,1430.1395265,1821.0695679847163,1727.8978539133861,,,,,1470.7294724800001,0.0,0.0,,,,,,,,,,,,,,,,,0.47197963070033655,0.4708692991631125,-1.1508116892785636
9,2020-06-16,1445.219971,1455.02002,1425.900024,1442.719971,1442.719971,1709200,1094504.6919561638,9013600,,,,58096.83771121551,,34628.7535763293,1017.1843157269504,,34.547412099999974,,,,,,0.0,0.0,1433.0477703000001,1465.8416789999999,1400.2538616,4.576806074389936,0.6474694704507743,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,1430.1395265,,,1430.1395265,1821.0695679847163,1727.8978539133861,,,,,1467.3410943808,0.0,0.0,,,,,,,,,,,,1442.719971,,,,,1.610733203266257,1.5978985341023488,0.4413850080014159
10,2020-06-17,1447.160034,1460.0,1431.380005,1451.119995,1451.119995,1549600,1682507.33682036,10563200,,,,9659.396990197334,,36552.96909723981,1023.1067212084575,,33.954670389999976,,,,,,0.0,0.0,1434.0408041333335,1468.0192099333333,1400.0623983333332,4.738833888417138,0.7513241934774165,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,1430.1395265,,,1430.1395265,1821.0695679847163,1727.8978539133861,,,,,1464.0882514055681,0.0,0.0,,,,,,,,,,,,1442.8252264814078,,,,,0.5822352340612458,0.580546795342407,1.0261901410971053
11,2020-06-18,1449.160034,1451.410034,1427.01001,1435.959961,1435.959961,1581900,1261092.0549419546,8981300,,,,-9995.048973989029,,-7503.9920549736635,1023.1067212084575,,32.999205750999984,,,,,,0.0,0.0,1435.9911378,1468.9865479,1402.9957276999999,4.59548937753898,0.4995275585315439,0.0,0.0,,,,,,,,,,1435.1866659999998,,1435.7817122885533,,0.0,0.0,0.0,,,,,,,,,,,1430.1395265,,,1430.1395265,1821.0695679847163,1727.8978539133861,,,,,1460.9655221493454,0.0,0.0,,,,,,,,,,,,1442.681070910194,,,,,-1.0447126393568817,-1.0502080696626948,-0.029243236367659797
