,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,288.559998,290.720001,285.649994,290.100006,287.515564,1309700,989381.920951976,1309700,,,,,,-241880.7206933133,1000.0,,0.0,,,,,,0.0,0.0,,293.8933406666667,283.7533266666666,,0.625904395529764,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,288.1849975,358.45924570414843,344.6735209271653,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-18.578848167466088,,0.0
1,2020-06-04,286.929993,288.459991,280.959991,282.920013,280.399475,1316500,360980.3110853026,-6800,,,,-1979.6846752753547,,-275910.63046102104,1000.0,,0.0,,,,,,0.0,0.0,,292.7533361666667,280.1833291666667,,0.21771537862574739,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,285.83999600000004,358.45924570414843,344.6735209271653,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-2.475006153567616,-2.5061493692708936,-2.475006153567616
2,2020-06-05,280.769989,289.0,275.630005,288.109985,285.543243,1874000,1985483.1183040026,1867200,,,,-1708.6971328739428,,1793.778121945481,1000.0,,0.0,,,,,,0.0,0.0,,294.3744435555556,277.0811088888889,,0.6377530027432768,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,283.175003,358.45924570414843,344.6735209271653,,,,,290.720001,0.0,1.0,,,,,,,,,,,,,,,,,1.834430850248836,1.817808147755695,-0.6859775797453782
3,2020-06-08,285.359985,293.290009,284.109985,293.049988,290.43927,1067200,2996877.074398232,2934400,,,,5492.354080759751,,52675.701649809766,1017.1462401762994,,0.0,,,,,,0.0,0.0,,295.61333716666667,278.05332416666664,,0.8540235040448615,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,284.460007,358.45924570414843,344.6735209271653,,,,275.630005,,1.0,0.0,,,,,,,,,,,,,,,,,1.7146240176299399,1.7000902379064264,1.0168845015466665
4,2020-06-09,292.630005,295.25,290.600006,291.25,288.655334,1283000,2072562.3982932703,1651400,,,,1531.274555725955,,10417.953274323887,1017.1462401762994,,0.0,,,,,,0.0,0.0,,295.8940022666667,279.98599426666664,,0.708071414933493,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,285.4400025,358.45924570414843,344.6735209271653,,,,275.630005,,0.0,0.0,,,,,,,,,,,,,,,,,-0.6142255839300614,-0.6161197093883075,0.39641295284909006
5,2020-06-10,293.950012,298.0,291.100006,295.869995,293.234161,1072000,2482716.790891297,2723400,,,,1045.941254664178,,9124.239886932695,1033.280868653152,,0.0,,,,,,0.0,0.0,,296.8933342777778,281.3366629444444,,0.9342186219757009,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,286.8150025,358.45924570414843,344.6735209271653,,,,276.41480479999996,,0.0,0.0,,,,,,,,,,,,,,,,,1.5862643776824115,1.5738146883827575,1.9889654879910568
6,2020-06-11,293.899994,294.980011,277.720001,277.869995,275.394501,1392600,1114320.9071577408,1330800,,,,-10163.150238400807,,-67717.5915758166,1033.280868653152,,0.0,,,,,,0.0,0.0,,297.44905019047616,279.18332904761905,,-0.07190157110947806,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,286.8150025,358.45924570414843,344.6735209271653,,,,277.70991651199995,,0.0,0.0,,,,,,,,,,,,,,,,,-6.083753102439471,-6.276679133749674,-4.215791364030508
7,2020-06-12,283.910004,287.040009,275.950012,280.679993,278.179474,1173500,941836.994628282,2504300,,,,-4588.145337027135,,-72855.16784321277,1043.730061536873,,0.0,,,,,,0.0,0.0,,296.8070857916667,278.05208054166667,,0.1401179270975333,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,286.8150025,358.45924570414843,344.6735209271653,,,,,298.0,0.0,1.0,,,,,,,,,,,,,,,,,1.0112635587012475,1.0061845018413784,-3.247160567104568
8,2020-06-15,275.0,285.140015,274.190002,283.140015,280.617584,943100,1540425.9881116692,3447400,,,,-2124.753015589662,,20132.985208019632,1052.8778418471072,,0.0,,,,,,0.0,0.0,,296.2477825925926,277.14333059259263,,0.31388937025816693,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,286.095001,,,286.095001,358.45924570414843,344.6735209271653,,,,,297.55900024,0.0,0.0,,,,,,,,,,,,,,,,,0.8764507842922598,0.8726322499019723,-2.3991695470699126
9,2020-06-16,289.980011,293.399994,285.420013,288.579987,286.009094,1225500,1285491.7418396636,4672900,,,,6345.563031015505,,31811.351363107548,1052.8778418471072,,9.876001200000001,,,,,,0.0,0.0,286.9393340666667,296.3343355666667,277.54433256666664,6.548423575707628,0.587315203373482,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,286.095001,,,286.095001,358.45924570414843,344.6735209271653,,,,,296.6242403104,0.0,0.0,,,,,,,,,,,,288.579987,,,,,1.921301021333921,1.903077087726679,-0.5239637947473841
