,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,24.9,25.620001,24.809999,25.32,24.215376,3984000,1032886.3385522582,3984000,,,,,,308168.4708606221,1000.0,,0.0,,,,,,0.0,0.0,,26.060001999999997,24.439998000000003,,0.5432097698524204,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,25.215,23.390764159388645,23.37572843503937,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,7.63504425300916,,0.0
1,2020-06-04,25.059999,25.16,24.33,24.620001,23.545916,3247100,54851.99421490519,736900,,,,-12.013796926488293,,214410.5440469939,972.3539099526065,,0.0,,,,,,0.0,0.0,,25.79666783333333,24.156665833333335,,0.28252109855150465,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,24.9750005,23.390764159388645,23.37572843503937,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-2.764609004739349,-2.8035435902284966,-2.764609004739349
2,2020-06-05,25.040001,25.68,25.01,25.08,23.985847,2665600,-2053756.9610089997,3402500,,,,15.08103241296518,,-39965.66754707285,990.521327014218,,0.0,,,,,,0.0,0.0,,25.840000777777778,24.29999944444445,,0.5064934287214155,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,25.005,23.390764159388645,23.37572843503937,,,,24.33,,1.0,0.0,,,,,,,,,,,,,,,,,1.868395537433165,1.851155439102925,-0.9478672985782088
3,2020-06-08,25.120001,25.67,24.780001,25.610001,24.492725,1945200,-370827.0417619038,5347700,,,,-5.490408955403085,,90910.72757022045,1011.4534360189574,,0.0,,,,,,0.0,0.0,,25.940833833333333,24.340833333333332,,0.793229543782435,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,25.005,23.390764159388645,23.37572843503937,,,,24.33,,0.0,0.0,,,,,,,,,,,,,,,,,2.113241626794271,2.091222349396027,1.145343601895732
4,2020-06-09,25.33,25.33,24.66,24.83,23.746752,2028600,-1369988.2357917628,3319100,,,,-7.596388395938095,,-20678.072247919503,1011.4534360189574,,0.0,,,,,,0.0,0.0,,25.874667066666667,24.326666666666664,,0.32515064810922073,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,25.005,23.390764159388645,23.37572843503937,,,,24.383999999999997,,0.0,0.0,,,,,,,,,,,,,,,,,-3.0456890649867674,-3.093033973860493,-1.9352290679304995
5,2020-06-10,24.84,25.02,24.379999,24.41,23.345076,2504300,-3639502.651706748,814800,,,,-7.539057421255383,,-104145.1383441297,1011.4534360189574,,0.0,,,,,,0.0,0.0,,25.769444888888888,24.26611088888889,,0.0957133352342934,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,25.005,23.390764159388645,23.37572843503937,,,,,25.68,0.0,1.0,,,,,,,,,,,,,,,,,-1.6915022150624126,-1.7059715115206764,-3.5939968404423372
6,2020-06-11,23.870001,23.98,22.98,23.120001,22.111355,2414900,-5378225.821906758,-1600100,,,,-50.51966955153423,,-169980.87928356574,958.0010017292802,,0.0,,,,,,0.0,0.0,,25.568095666666665,23.99380938095238,,-0.5550504942345474,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,24.33,23.390764159388645,23.37572843503937,,,,,25.65399998,0.0,0.0,,,,,,,,,,,,,,,,,-5.284715280622699,-5.429479734809783,-8.688779620853083
7,2020-06-12,23.639999,23.709999,22.719999,23.26,22.245247,2521700,-5148975.273017864,921600,,,,-10.403735178649299,,-112350.88935369934,958.0010017292802,,0.0,,,,,,0.0,0.0,,25.399583624999998,23.774583125,,-0.3166664410257094,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,24.1999995,23.390764159388645,23.37572843503937,,,,,25.547039980799997,0.0,0.0,,,,,,,,,,,,,,,,,0.60553198072959,0.6037060033747821,-8.135860979462873
8,2020-06-15,22.84,23.610001,22.48,23.48,22.455648,3139300,-2731997.004237571,4060900,,,,-6.119149969690701,,44962.13332005299,958.0010017292802,,0.0,,,,,,0.0,0.0,,25.279630037037037,23.584073814814815,,-0.061380338469940905,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,24.08,,,24.08,23.390764159388645,23.37572843503937,,,,,25.377417521951998,0.0,0.0,,,,,,,,,,,,,,,,,0.9458297506448776,0.9413847869377268,-7.26698262243286
9,2020-06-16,24.120001,24.42,23.52,23.639999,22.608667,2606400,-4643362.796237573,6667300,,,,31.940590469613344,,47453.140074089984,964.5290767836109,,0.9830003000000002,,,,,,0.0,0.0,24.3746667,25.227667,23.5216664,6.999072524753741,0.06936257818432111,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,24.08,,,24.08,23.390764159388645,23.37572843503937,,,,,25.145624120195837,0.0,0.0,,,,,,,,,,,,23.639999,,,,,0.6814267461669576,0.6791155276816507,-6.635075039494476
10,2020-06-17,23.700001,23.76,23.290001,23.549999,22.522593,2036900,-4426683.847346203,4630400,,,,-10.268021012347221,,10006.010952590415,960.8570116151426,,0.9317001700000003,,,,,,0.0,0.0,24.203000033333332,25.022000033333335,23.384000033333333,6.767756053977123,0.10134247049247047,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,24.08,,,24.08,23.390764159388645,23.37572843503937,,,,,24.93237419058017,0.0,0.0,,,,,,,,,,,,23.632584603828725,,,,,-0.38071067600299324,-0.3814372237131547,-6.990525276461302
11,2020-06-18,23.370001,23.77,23.35,23.73,22.69474,1997300,-2809821.942584292,6627700,,,,0.735983077154147,,7511.376960922897,968.2011827528032,,0.8805301530000001,,,,,,0.0,0.0,24.09433333333333,24.872333333333334,23.316333333333333,6.457950002075181,0.26585261353898937,0.0,0.0,,,,,,,,,,24.220833416666665,,24.087608017981903,,0.0,0.0,0.0,,,,,,,,,,,24.075000000000003,,,24.08,23.390764159388645,23.37572843503937,,,,,24.736184255333757,0.0,0.0,,,,,,,,,,,,23.636102154275658,,,,,0.7643354889314447,0.7614292448091309,-6.279620853080569
12,2020-06-19,24.16,24.16,22.940001,22.969999,21.967897,5833700,-8356637.555629851,794000,,,,-0.20911908395188808,,-171569.9084721552,968.2011827528032,,0.9144770377000004,,,,,,0.0,0.0,23.904333333333334,24.737333233333334,23.07133343333333,6.969446822751824,-0.060824997297915406,0.0,1.0,,,,,,,,,,24.025000000000002,,23.91566816906161,,0.0,0.0,0.0,,,,,,,,,,,23.905,,,24.08,23.390764159388645,23.37572843503937,,,,,24.55568951490706,0.0,0.0,,,,,,,,,,,,23.55794894745208,-9.281204581358606,,,,-3.2027012220817497,-3.2551097281711794,-9.281204581358605
13,2020-06-22,22.889999,23.299999,22.66,23.23,22.216555,2114200,-6704912.9213726055,2908200,,-890618.2162659594,26.93152848924626,-17.254756881988435,,-162905.02176154434,979.1604028954297,24.072219892000863,0.8870292339300004,,,,,,0.0,0.0,23.675333233333333,24.483333133333332,22.86733333333333,6.825668657219904,0.22442247001928414,0.0,0.0,,,,,,6.856025898599669,,,,23.909166583333334,,23.810180758436747,,0.0,0.0,0.0,,,,,,,,,,,23.75,,,24.08,23.390764159388645,23.37572843503937,,,,,24.389634353714495,0.0,0.0,,33.31622118005653,,,,,,23.437500000000004,,-76.5625,,23.506052845959694,-5.645820241843199,,,,1.131915591289312,1.1255573616357761,-8.254344391785152
14,2020-06-23,23.549999,23.549999,22.76,22.85,21.853132,2729900,-8812809.602381062,178300,,-911581.6139422506,25.05269633122556,5.064281658668825,-5.3280154113460805,-20725.174878044338,979.1604028954297,23.874424060396823,0.8773262105370001,,,,,,0.0,0.0,23.486666533333334,24.306666333333332,22.666666733333336,6.982683548014081,0.11178860450128487,0.0,0.0,,,,,,7.436473562684092,,,,23.72333325,,23.66246064175417,,0.0,0.0,0.0,0.796974394181782,1.0613059063628754,-0.2643315121810934,,,,,2.1255250689542136,2.1255250689542136,0.0,23.450000000000003,,,24.08,23.390764159388645,23.37572843503937,,,,,24.236863605417337,0.0,0.0,,29.996522704642516,,,,,,11.562500000000034,,-88.43749999999997,,23.416130758976312,-8.891547049441774,,,,-1.63581575548859,-1.649342944210419,-9.755134281200629
15,2020-06-24,22.620001,22.75,22.09,22.4,21.422766,2590000,-8969779.29935077,-2411700,,-947855.6690933588,25.68372045409913,-18.72971698841701,-5.807723987198131,-95662.6988605056,959.8771564489113,23.700006441198017,0.8655935894833003,,,,,,0.0,0.0,23.26766656666667,24.089666266666665,22.445666866666667,7.065596351441606,-0.027777909570203013,0.0,1.0,,,,,,8.122624027178176,,,,23.455833166666668,,23.46823592763814,,0.0,11.884769799367637,34.76885209283141,0.7842658031465864,1.0948905340366257,-0.3106247308900393,,,,,-8.007828245496105,-2.941151588270946,-5.066676657225159,23.255000000000003,,,23.884999999999998,23.390764159388645,23.37572843503937,,,,,24.09631451698395,0.0,0.0,,26.614511775795847,,,,,,8.635097493036177,14.545032497678738,-91.36490250696383,,23.275146673138764,-12.53416975657284,,,,-1.9693654266958571,-1.989015847921971,-11.532385466034768
16,2020-06-25,22.34,22.370001,21.51,22.33,21.355818,3687100,-5625673.521683073,-6098800,,-849318.7163657363,17.749264267577075,-11.19579208590758,-7.684640022831901,-62528.75205142268,959.8771564489113,23.433700748664247,0.8680342305349701,,,,,,0.0,0.0,23.138666566666664,23.94666636666667,22.330666766666667,6.9839789399446,-0.00041260323744427235,0.0,1.0,,,,,,8.810756053360727,,,,23.247499833333336,,23.293122708001505,,0.0,11.033501147238669,36.946286003024994,0.707236629479709,1.1998354769466244,-0.4925988474669154,,,,,-13.298087016286814,-6.393463397609569,-6.904623618677245,22.965000000000003,,,23.595,23.390764159388645,23.37572843503937,,,,,23.895683065285553,0.0,0.0,,26.121148775801544,,,,,,19.71153846153838,13.303045318191531,-80.28846153846162,,23.220683110061813,-10.068465565847767,,,,-0.31250000000000444,-0.3129893008927631,-11.808846761453406
17,2020-06-26,22.34,22.49,22.0,22.35,21.374947,7111300,-2577973.521682999,1012500,,-707669.4711706281,26.696871705702648,2.1015813564327077,-7.142355000557916,-5152.908503133847,959.8771564489113,23.158086818937445,0.8302308074814728,,,,,,0.0,0.0,23.043666633333334,23.80166643333333,22.285666833333334,6.578812409163477,0.042436136966439615,0.0,0.0,,,,,,9.2062494847275,,,,23.075833166666666,,23.148026906770504,,0.0,11.581680407155066,35.441154372661686,0.7585031257230551,1.1955782479233206,-0.43707512220026545,,,,,-19.78499219263396,-9.741345596365667,-10.043646596268294,22.965000000000003,,,23.595,23.390764159388645,23.37572843503937,,,,,23.609401097451286,0.0,0.0,,26.540149478963414,,,,,,21.989528795811534,16.77872158346203,-78.01047120418846,,23.154318358760907,-8.439164276935676,,,,0.0895656068069961,0.08952552075114362,-11.72985781990521
18,2020-06-29,22.57,22.75,22.35,22.690001,21.700113,1892500,-1253214.059183013,2905000,,-514652.1335033963,31.203586904144373,6.446499339498026,-6.139291590883907,35159.07284474069,974.4793574811164,23.04976513650845,0.7872077267333254,,,,,,0.0,0.0,22.984333300000003,23.669332999999998,22.2993336,5.960579243775574,0.2851588110184565,0.0,0.0,,,,,,9.361564172097117,,,,23.039999833333336,,23.077561382651965,,0.0,13.428654286598023,34.215752920827576,0.813559199564532,1.1766281314233953,-0.36306893185886324,,,,,-26.663361422198,-13.125748761532133,-13.537612660665868,22.835,,,23.595,23.390764159388645,23.37572843503937,,,,,23.357472965757132,0.0,0.0,,33.45012839187697,,,,,,33.618262108262044,25.106443121870655,-66.38173789173796,,23.127562451395768,-1.8598615112516637,,,,1.521257270693499,1.5098021804449857,-10.387041864139023
19,2020-06-30,22.700001,22.959999,22.52,22.74,21.747934,3340300,-1253206.4675748693,6245300,-0.0207517841039847,-417271.59161719703,38.283713226672255,2.502756938014538,-5.4220191366503405,36150.37790866845,974.4793574811164,22.93786570109469,0.7524868540599929,23.61050005,25.613343006350142,21.607657093649856,16.96569705943304,0.2826838975966579,0.0,0.0,22.8723333,23.5113329,22.2333337,5.587533126757995,0.3964527520830992,0.0,0.0,21.51,25.68,23.595,17.661633557820384,0.2949640287769778,9.344187929655906,,,,22.9966665,,23.02562886224397,,0.0,14.778202817703637,32.86946023801867,0.8510444508790014,1.1326069509925345,-0.2815625001135331,,,-68.47114479668008,-0.13050004999999842,-32.39251632185248,-16.336876688252193,-16.05563963360029,22.835,,,23.595,23.390764159388645,23.37572843503937,,,,,23.135776209866275,0.0,0.0,,34.42695579667526,,,,,,42.268041237113295,32.62527738039562,-57.73195876288671,,23.098687885085106,-2.235597592433375,,,,0.22035697574451785,0.22011454583621415,-10.18957345971565
20,2020-07-01,22.73,23.610001,22.719999,23.459999,22.43652,3927700,1350535.03480377,10173000,0.005264837342982628,46330.07465668896,45.74964141690301,9.63035096878582,-1.1255890994846236,131720.30579782146,974.4793574811164,22.943552822874274,0.7662383686539935,23.517500000000002,25.36055072312229,21.674449276877713,15.673866041222825,0.48440059210562847,0.0,0.0,22.845333266666668,23.526333166666667,22.164333366666668,5.96182942092281,0.9512964930929744,0.0,0.0,21.51,25.68,23.595,17.731476560008495,0.46762565947242185,8.980758514314752,,,,22.99499975,,23.092455037283358,,0.0,19.37717182925038,30.274590076081193,0.9608404891767891,1.0191022004015664,-0.0582617112247773,,,-22.66147994239498,0.1224989999999977,-35.846156364152954,-19.1239166419523,-16.722239722200655,22.835,,,23.595,23.390764159388645,23.37572843503937,,,,21.51,,1.0,0.0,,46.58557892613836,,,,,,67.01027491408928,47.63219275315487,-32.98972508591071,,23.101075705100744,-0.08518313458262607,,,,3.1662225153913814,3.117131227719261,-7.345975513428127
