,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,15.21,16.309999,15.13,15.9,15.668288,7769900,2370486.5596496174,7769900,,,,,,-1387962.8379517486,1000.0,,0.0,,,,,,0.0,0.0,,16.959998666666667,14.600000666666666,,0.5508476419612786,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,15.7199995,19.432467327510913,18.426830909448817,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-18.07066633090557,,0.0
1,2020-06-04,15.75,16.0,15.55,15.95,15.71756,2962900,4674964.337427385,10732800,,,,0.835337844679188,,-1394755.407647548,1003.1446540880502,,0.0,,,,,,0.0,0.0,,16.621665999999998,14.991667,,0.5879347165243665,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,15.7199995,19.432467327510913,18.426830909448817,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.3144654088050203,0.31397200046674456,0.3144654088050203
2,2020-06-05,16.700001,17.049999,16.02,16.26,16.023045,5001600,2004209.3188302992,15734400,,,,15.650966190828921,,106527.07616174812,1003.1446540880502,,0.0,,,,,,0.0,0.0,,16.905554666666664,15.132222666666669,,0.6359651398234148,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,16.0899995,19.432467327510913,18.426830909448817,,,,15.13,,1.0,0.0,,,,,,,,,,,,,,,,,1.9435736677116067,1.9249274888811119,2.264150943396226
3,2020-06-08,16.530001,17.540001,16.51,17.52,17.264681,5683900,7467364.515864082,21418300,,,,8.879493305670412,,537659.5960624183,1003.1446540880502,,0.0,,,,,,0.0,0.0,,17.234166333333334,15.389166833333334,,1.15492343855197,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,16.3350005,19.432467327510913,18.426830909448817,,,,15.206799960000001,,0.0,0.0,,,,,,,,,,,,,,,,,7.749077490774892,7.463498138858071,10.188679245283016
4,2020-06-09,17.18,17.25,16.52,16.66,16.417215,5069200,4342515.200795595,16349100,,,,-2.016104414897831,,191619.22189084842,953.9035352229974,,0.0,,,,,,0.0,0.0,,17.295333066666664,15.527333466666667,,0.6406486366475054,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,16.3350005,19.432467327510913,18.426830909448817,,,,15.3467920224,,0.0,0.0,,,,,,,,,,,,,,,,,-4.908675799086759,-5.033244876954868,4.779874213836477
5,2020-06-10,16.5,16.700001,15.72,15.91,15.678143,5364800,1057941.6495441115,10984300,,,,-12.33037923127608,,-490343.1986493226,953.9035352229974,,0.0,,,,,,0.0,0.0,,17.26111111111111,15.46111111111111,,0.24938271604938336,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,16.3350005,19.432467327510913,18.426830909448817,,,,15.478384561056,,0.0,0.0,,,,,,,,,,,,,,,,,-4.501800720288118,-4.606279438900129,0.06289308176099517
6,2020-06-11,15.25,15.47,14.97,15.09,14.870092,4528200,-1296722.3504559025,6456100,,,,-10.931501479616623,,-474895.634583186,904.7394309563188,,0.0,,,,,,0.0,0.0,,17.034761904761904,15.34904761904762,,-0.15367231638418216,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,16.2550005,19.432467327510913,18.426830909448817,,,,,17.540001,0.0,1.0,,,,,,,,,,,,,,,,,-5.153991200502828,-5.291556956993793,-5.094339622641508
7,2020-06-12,15.68,15.76,14.7,15.12,14.899656,3902700,-2106716.6900785463,10358800,,,,0.27160683629279314,,-225624.18262268027,906.5381176977826,,0.0,,,,,,0.0,0.0,,16.937083333333334,15.197083333333333,,-0.044300766283525445,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,16.1200005,19.432467327510913,18.426830909448817,,,,,17.48860098,0.0,0.0,,,,,,,,,,,,,,,,,0.1988071570576455,0.1986097971629519,-4.905660377358501
8,2020-06-15,14.63,15.33,14.57,15.2,14.97849,6352200,2072362.2572898609,16711000,,,,-3.3500204653505787,,41368.37072801274,906.5381176977826,,0.0,,,,,,0.0,0.0,,16.81,15.094444444444443,,0.06152849740932673,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,16.0550005,,,16.0550005,19.432467327510913,18.426830909448817,,,,,17.3770569408,0.0,0.0,,,,,,,,,,,,,,,,,0.5291005291005346,0.5277057100843585,-4.402515723270451
9,2020-06-16,15.94,16.01,15.03,15.19,14.968636,5524100,-1647949.9876081008,11186900,,,,10.112054452309001,,29975.24749373444,905.9417110414025,,0.9730000000000001,,,,,,0.0,0.0,15.898,16.768,15.028,10.944772927412256,0.0931034482758615,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,16.0550005,,,16.0550005,19.432467327510913,18.426830909448817,,,,,17.208633524352,0.0,0.0,,,,,,,,,,,,15.19,,,,,-0.06578947368420796,-0.06581112445491755,-4.465408805031457
10,2020-06-17,15.23,15.27,14.71,15.0,14.781404,4113100,-1501053.559036675,7073800,,,,-7.215968490919244,,-55081.87341914674,894.6099845701802,,0.9317,,,,,,0.0,0.0,15.819333366666665,16.627333466666663,15.011333266666668,10.215349550728298,-0.007013159198042136,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,16.0550005,,,16.0550005,19.432467327510913,18.426830909448817,,,,,17.05031551289088,0.0,0.0,,,,,,,,,,,,15.183226415158787,,,,,-1.2508229098090795,-1.2587115505471314,-5.660377358490565
11,2020-06-18,14.8,15.18,14.77,15.09,14.870092,2569800,-59458.43708545319,9643600,,,,-0.23931823488210113,,-36028.79710335737,899.9776444776013,,0.8795299999999999,,,,,,0.0,0.0,15.737333366666665,16.541333466666664,14.933333266666665,10.21774250144509,0.09742954841257792,0.0,0.0,,,,,,,,,,15.740833333333333,,15.515339645054679,,0.0,0.0,0.0,,,,,,,,,,,16.0550005,,,16.0550005,19.432467327510913,18.426830909448817,,,,,16.901496582117428,0.0,0.0,,,,,,,,,,,,15.180131280608636,,,,,0.6000000000000005,0.5982071677547385,-5.094339622641508
12,2020-06-19,15.42,15.5,14.73,14.74,14.525194,6217500,-6115464.93059195,3426100,,,,1.733815842380384,,-128790.9415506957,899.9776444776013,,0.8685769999999998,,,,,,0.0,0.0,15.592000066666666,16.370000266666665,14.813999866666666,9.979479177443642,-0.047557742701522576,0.0,1.0,,,,,,,,,,15.644166666666665,,15.396056622738573,,0.0,0.0,0.0,,,,,,,,,,,15.91,,,16.0550005,19.432467327510913,18.426830909448817,,,,,16.76160678719038,0.0,0.0,,,,,,,,,,,,15.147889190728172,-7.295597484276731,,,,-2.319416832339294,-2.3467386018567016,-7.295597484276728
13,2020-06-22,14.71,14.71,14.28,14.54,14.328109,2915400,-5505264.930591965,510700,,-580199.5191521638,43.468764009600314,-9.14454277286139,,-183767.40776507853,887.7662788808902,15.674859089881176,0.8277193,,,,,,0.0,0.0,15.32400003333333,16.04200013333333,14.605999933333333,9.370922715194192,-0.04596094995901388,0.0,1.0,,,,,,11.279357478917392,,,,15.526666666666666,,15.264355603855716,,0.0,0.0,0.0,,,,,,,,,,,15.4900005,,,15.910000499999999,19.432467327510913,18.426830909448817,,,,,16.630110379958957,0.0,0.0,,30.974217178104638,,,,,,7.9754576762399685,,-92.02454232376003,,14.932387244663815,-8.840125391849531,,,,-1.3568521031207648,-1.3661414655817161,-8.553459119496864
