,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,165.0,165.529999,162.949997,163.169998,161.017761,565200,-468808.9389078012,565200,,,,,,-52329.75699003004,1000.0,,0.0,,,,,,0.0,0.0,,166.46333333333334,161.30332933333332,,0.361757213108103,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,164.239998,180.9090281331878,176.0261224468504,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-9.229688772216937,,0.0
1,2020-06-04,162.580002,164.0,159.990005,160.630005,158.511276,544200,-839298.9966260737,21000,,,,-1654.2485722202343,,-60637.51434096616,984.433455714083,,0.0,,,,,,0.0,0.0,,166.00666583333333,159.41666883333332,,0.18411786328077095,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,162.760002,180.9090281331878,176.0261224468504,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-1.5566544285916972,-1.5688975148713702,-1.5566544285916972
2,2020-06-05,162.639999,165.229996,162.059998,163.910004,161.748016,555300,-746454.5297841446,576300,,,,941.9195506953008,,2867.6854665964074,984.433455714083,,0.0,,,,,,0.0,0.0,,166.3055541111111,159.79889077777776,,0.6318312492304906,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,162.760002,180.9090281331878,176.0261224468504,,,,159.990005,,1.0,0.0,,,,,,,,,,,,,,,,,2.041959097243362,2.021390640779419,0.45351842193439573
3,2020-06-08,162.660004,165.800003,162.660004,165.429993,163.247971,550900,-325388.0163553207,1127200,,,,333.43979397231504,,16447.66776861727,993.5624166524125,,0.0,,,,,,0.0,0.0,,166.67166533333332,160.22166833333333,,0.8074925719603703,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,162.895004,180.9090281331878,176.0261224468504,,,,159.990005,,0.0,0.0,,,,,,,,,,,,,,,,,0.9273314397576504,0.9230581200049492,1.3850554806037252
4,2020-06-09,164.509995,165.589996,161.320007,161.559998,159.429001,486000,-756757.6058320142,641200,,,,-680.915640941965,,-6260.59694849215,970.3194634556924,,0.0,,,,,,0.0,0.0,,166.7559968,159.8880036,,0.2434472998604624,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,162.895004,180.9090281331878,176.0261224468504,,,,160.22240492,,0.0,0.0,,,,,,,,,,,,,,,,,-2.339355113192798,-2.3671523989043486,-0.9867009987951203
5,2020-06-10,162.059998,162.059998,158.960007,159.639999,157.534348,456800,-1013156.8010554857,184400,,,,-1998.570576840867,,-16797.933552873525,958.7880669306968,,0.0,,,,,,0.0,0.0,,166.1833293888889,159.42667138888888,,0.03157294791465116,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,162.38000499999998,180.9090281331878,176.0261224468504,,,,,165.800003,0.0,1.0,,,,,,,,,,,,,,,,,-1.188412369254932,-1.1955304399471345,-2.163387291332808
6,2020-06-11,157.160004,157.160004,148.910004,149.330002,147.702652,556000,-1512546.1615403313,-371600,,,,-11091.499572841745,,-41336.700576146795,958.7880669306968,,0.0,,,,,,0.0,0.0,,165.30713995238096,157.15857595238094,,-0.9607304983284066,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,157.3550035,180.9090281331878,176.0261224468504,,,,,165.66320308000002,0.0,0.0,,,,,,,,,,,,,,,,,-6.4582792937752265,-6.676263845410535,-8.48194899162773
7,2020-06-12,153.100006,154.509995,149.339996,151.820007,150.165527,522200,-1533755.0610778371,150600,,,,-1098.9549664862839,,-27200.602393345158,974.7753906340594,,0.0,,,,,,0.0,0.0,,164.27624724999998,155.85375399999998,,-0.4789255248141607,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,157.3550035,180.9090281331878,176.0261224468504,,,,,164.99307511680001,0.0,0.0,,,,,,,,,,,,,,,,,1.6674512600622693,1.6537019233520134,-6.955930096904206
8,2020-06-15,149.080002,154.300003,148.080002,153.850006,152.173416,396900,-1194283.9294333241,547500,,,,-1151.8410670176406,,14014.416160134047,987.8092002571334,,0.0,,,,,,0.0,0.0,,163.61184992592592,154.74296681481482,,-0.10068469768150347,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,156.9400025,,,156.9400025,180.9090281331878,176.0261224468504,,,,,164.349752272128,0.0,0.0,,,,,,,,,,,,,,,,,1.3371090148876164,1.3282486071221733,-5.711829450411576
9,2020-06-16,157.080002,157.350006,154.169998,154.899994,153.21196,424500,-1423889.261243811,972000,,,,3423.471135452545,,8204.092528430514,987.8092002571334,,4.732995600000004,,,,,,0.0,0.0,158.8070008,163.11599900000002,154.4980026,5.42671063403145,0.04664557529868373,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,156.9400025,,,156.9400025,180.9090281331878,176.0261224468504,,,,,163.3735672558003,0.0,0.0,,,,,,,,,,,,154.899994,,,,,0.682475111505676,0.6801567921079332,-5.068336153316622
