,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,2020-06-03,105.269997,107.900002,104.32,104.43,104.008743,475000,-445810.0721731405,475000,,,,,,-76750.97073375186,1000.0,,0.0,,,,,,0.0,0.0,,109.13000266666667,101.96999866666665,,0.34357541327258295,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,106.110001,125.25884279366812,119.42675175000001,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-16.144347368959565,,0.0
1,2020-06-04,102.830002,105.089996,101.610001,102.910004,102.494873,676000,-616750.7097315267,-201000,,,,-1420.8276479271456,,-86524.9423131967,1000.0,,0.0,,,,,,0.0,0.0,,107.90666566666667,100.84666866666666,,0.2922572535559631,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,104.75500149999999,125.25884279366812,119.42675175000001,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-1.4555166139998188,-1.4662131774543674,-1.4555166139998188
2,2020-06-05,105.480003,112.970001,105.480003,109.160004,108.719666,924300,-632792.8105171333,723300,,,,4760.766468137291,,46295.92074406097,1000.0,,0.0,,,,,,0.0,0.0,,110.8355551111111,101.13555844444444,,0.827262712690509,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,107.29000099999999,125.25884279366812,119.42675175000001,,,,101.610001,,1.0,0.0,,,,,,,,,,,,,,,,,6.073267667932458,5.895987376668188,4.529353634013211
3,2020-06-08,110.529999,114.540001,110.010002,111.209999,110.761391,791100,-1004767.937995088,1514400,,,,1746.4915541651546,,70991.85454492901,1018.7797263180751,,0.0,,,,,,0.0,0.0,,112.23916625,102.69916925,,0.8921207994090564,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,108.075001,125.25884279366812,119.42675175000001,,,,101.610001,,0.0,0.0,,,,,,,,,,,,,,,,,1.8779726318075118,1.8605564355157256,6.492386287465268
4,2020-06-09,113.169998,113.809998,107.18,109.220001,108.779419,920000,-1358613.6435292393,594400,,,,-1282.7622842385858,,-1605.8904445115659,1018.7797263180751,,0.0,,,,,,0.0,0.0,,113.13133253333334,102.84733573333332,,0.6196681495142692,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,108.075001,125.25884279366812,119.42675175000001,,,,102.385801,,0.0,0.0,,,,,,,,,,,,,,,,,-1.789405645080533,-1.8056090958912918,4.5868055156564
5,2020-06-10,108.730003,108.849998,102.400002,102.449997,102.036728,649800,-1998340.226119369,-55400,,,,-4834.021863650969,,-56740.39824972103,955.6306441065461,,0.0,,,,,,0.0,0.0,,112.77888738888889,102.05889138888888,,0.03648374599310623,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,108.075001,125.25884279366812,119.42675175000001,,,,,114.540001,0.0,1.0,,,,,,,,,,,,,,,,,-6.198502049088972,-6.398936047750858,-1.8960097673082599
6,2020-06-11,98.339996,99.82,92.220001,94.900002,94.517189,1330200,-2390398.6999954823,-1385600,,,,-5487.745195835251,,-138306.20836559043,955.6306441065461,,0.0,,,,,,0.0,0.0,,111.41714157142857,100.05714528571427,,-0.4539740292168586,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,103.380001,125.25884279366812,119.42675175000001,,,,,114.29720102,0.0,0.0,,,,,,,,,,,,,,,,,-7.369443846835832,-7.655111871163367,-9.125728239011789
7,2020-06-12,98.800003,99.440002,92.839996,95.580002,95.194443,886700,-2540868.0601445516,-498900,,,,89.31891507737183,,-91674.74892845211,962.478155426856,,0.0,,,,,,0.0,0.0,,110.30916629166667,98.71916804166666,,-0.27085129557001164,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,103.380001,125.25884279366812,119.42675175000001,,,,,113.4141130192,0.0,0.0,,,,,,,,,,,,,,,,,0.7165437151413157,0.7139887384193244,-8.474574356027976
8,2020-06-15,92.510002,100.75,91.220001,100.529999,100.124474,1102600,-1489175.327312155,603700,,,,-133.96839742441026,,63456.19385447463,962.478155426856,,0.0,,,,,,0.0,0.0,,109.94481437037037,97.52481614814815,,0.2419632272148716,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,102.880001,,,102.880001,125.25884279366812,119.42675175000001,,,,,112.566348538432,0.0,0.0,,,,,,,,,,,,,,,,,5.178904474180701,5.049256639515853,-3.73455999233937
9,2020-06-16,103.889999,105.169998,98.93,102.0,101.588547,861100,-1502974.7352286337,1464800,,,,4395.027117640582,,69694.04481558956,976.5520026866739,,6.8549987,,,,,,0.0,0.0,103.56466700000001,109.777666,97.35166799999999,11.998298608926156,0.3740811804412014,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,102.880001,,,102.880001,125.25884279366812,119.42675175000001,,,,,111.28556768612607,0.0,0.0,,,,,,,,,,,,102.0,,,,,1.4622510838779634,1.4516632814220998,-2.3269175524274655
