,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-04,58.400002,58.59,57.759998,57.98,52.815575,1280400
1,2018-06-05,58.009998,58.18,57.259998,57.41,52.296352,1607200
2,2018-06-06,57.720001,57.790001,56.470001,56.57,51.531174,2065300
3,2018-06-07,56.599998,57.360001,56.189999,56.900002,51.831783,1871900
4,2018-06-08,57.130001,57.32,56.52,56.689999,51.640488,1396100
5,2018-06-11,56.860001,57.02,55.68,55.75,50.784206,1952500
6,2018-06-12,55.43,56.139999,55.209999,56.060001,51.489597,2307800
7,2018-06-13,56.139999,56.330002,55.639999,55.759998,51.214062,1874500
8,2018-06-14,55.82,56.470001,55.810001,56.369999,51.774323,1619600
9,2018-06-15,56.290001,57.02,56.02,56.970001,52.325409,3256700
10,2018-06-18,56.98,57.77,56.970001,57.639999,52.940796,2136300
11,2018-06-19,57.700001,58.41,57.669998,58.279999,53.528606,1619300
12,2018-06-20,58.27,58.389999,57.93,58.310001,53.556164,1356600
13,2018-06-21,58.310001,58.650002,58.18,58.509998,53.739857,737800
14,2018-06-22,58.470001,58.82,58.27,58.68,53.896,1528900
15,2018-06-25,58.740002,59.77,58.740002,59.650002,54.786915,1625400
16,2018-06-26,59.490002,60.110001,59.490002,59.939999,55.053272,1554400
17,2018-06-27,59.830002,60.630001,59.700001,60.490002,55.558437,1306400
18,2018-06-28,60.73,61.099998,60.41,60.84,55.879898,2457900
19,2018-06-29,60.599998,61.25,60.23,60.849998,55.88908,2667300
20,2018-07-02,60.889999,61.279999,60.490002,61.220001,56.228916,1203500
21,2018-07-03,61.18,61.709999,60.950001,61.23,56.238106,677000
22,2018-07-05,61.25,61.549999,61.080002,61.549999,56.532021,1046500
23,2018-07-06,61.560001,62.150002,61.540001,62.029999,56.972881,1171600
24,2018-07-09,62.02,62.02,59.759998,59.970001,55.080826,1782100
25,2018-07-10,59.400002,60.810001,59.150002,60.5,55.567619,2111000
26,2018-07-11,60.560001,61.48,60.389999,61.380001,56.375881,1423900
27,2018-07-12,61.419998,61.5,60.790001,61.369999,56.366692,1381100
28,2018-07-13,61.369999,61.459999,60.98,61.389999,56.385063,978600
29,2018-07-16,61.419998,61.59,61.09,61.34,56.339142,870200
30,2018-07-17,61.560001,61.580002,61.040001,61.27,56.274837,757800
31,2018-07-18,61.240002,61.27,60.73,61.07,56.091145,1000500
32,2018-07-19,61.380001,61.98,61.169998,61.709999,56.67897,676400
33,2018-07-20,61.330002,61.709999,60.759998,61.34,56.339142,903100
34,2018-07-23,61.41,61.450001,60.57,60.93,55.962563,746600
35,2018-07-24,60.619999,61.060001,59.939999,61.0,56.026852,1331200
36,2018-07-25,60.91,61.52,60.689999,61.360001,56.357506,1402000
37,2018-07-26,61.810001,62.299999,61.759998,62.150002,57.083099,1325400
38,2018-07-27,62.150002,62.41,61.75,61.939999,56.890213,1251900
39,2018-07-30,61.860001,61.860001,61.27,61.419998,56.412621,787800
40,2018-07-31,61.700001,62.110001,61.389999,62.060001,57.000435,1922500
41,2018-08-01,61.560001,61.880001,60.779999,61.360001,56.357506,1492000
42,2018-08-02,61.360001,61.950001,60.900002,61.77,56.734077,1631700
43,2018-08-03,62.0,62.759998,61.07,62.450001,57.358643,1512400
44,2018-08-06,62.68,62.860001,62.290001,62.57,57.468857,1200500
45,2018-08-07,62.43,62.75,61.959999,62.59,57.487221,1162400
46,2018-08-08,62.43,62.860001,62.330002,62.599998,57.49641,899200
47,2018-08-09,62.66,62.900002,62.369999,62.830002,57.707661,941200
48,2018-08-10,62.990002,63.41,62.700001,62.779999,57.661736,935500
49,2018-08-13,62.84,63.07,62.599998,62.990002,57.854618,1056800
50,2018-08-14,62.889999,63.43,62.759998,63.099998,57.95565,1007300
51,2018-08-15,63.290001,64.07,62.98,63.610001,58.424076,1080500
52,2018-08-16,63.549999,64.470001,63.299999,64.449997,59.195583,2197100
53,2018-08-17,64.349998,64.959999,64.190002,64.760002,59.480316,1795900
54,2018-08-20,64.980003,65.089996,64.370003,64.57,59.305801,1106900
55,2018-08-21,64.470001,64.470001,63.900002,64.209999,58.975159,1162500
56,2018-08-22,64.209999,64.309998,63.27,63.560001,58.378151,957600
57,2018-08-23,63.639999,64.07,63.419998,63.650002,58.460808,1175200
58,2018-08-24,63.639999,64.019997,63.279999,63.990002,58.773094,862700
59,2018-08-27,64.07,64.209999,63.040001,63.369999,58.203636,714000
60,2018-08-28,63.23,63.330002,62.810001,63.220001,58.065861,1504000
61,2018-08-29,63.27,63.490002,63.060001,63.459999,58.286297,1282700
62,2018-08-30,63.580002,63.869999,63.360001,63.549999,58.368961,1563000
63,2018-08-31,63.650002,63.959999,63.02,63.23,58.075047,1020900
64,2018-09-04,63.450001,63.93,63.400002,63.75,58.552658,1054000
65,2018-09-05,63.84,65.0,63.799999,64.949997,59.654823,1369000
66,2018-09-06,65.080002,65.870003,64.739998,65.620003,60.270203,2303600
67,2018-09-07,65.110001,65.669998,64.93,65.339996,60.013027,2299000
68,2018-09-10,65.690002,66.110001,65.440002,65.900002,60.52737,1689200
69,2018-09-11,65.620003,65.980003,65.230003,65.349998,60.44228,2620900
70,2018-09-12,65.519997,65.830002,65.169998,65.370003,60.460781,2322700
71,2018-09-13,65.349998,65.730003,65.029999,65.709999,60.775242,1701500
72,2018-09-14,65.32,65.449997,64.580002,65.410004,60.497784,1918500
73,2018-09-17,65.510002,65.540001,64.940002,65.239998,60.340538,1523600
74,2018-09-18,65.129997,65.349998,64.459999,65.059998,60.174053,1869700
75,2018-09-19,65.019997,65.019997,63.220001,63.91,59.110428,5685300
76,2018-09-20,63.740002,64.209999,63.139999,64.129997,59.313904,1710500
77,2018-09-21,63.849998,64.589996,63.59,64.419998,59.582127,2761200
78,2018-09-24,64.269997,64.510002,63.720001,63.759998,58.971687,1403100
79,2018-09-25,63.68,63.709999,62.75,63.02,58.287254,1719600
80,2018-09-26,62.860001,63.119999,62.060001,62.139999,57.473343,2079600
81,2018-09-27,62.349998,62.900002,62.139999,62.57,57.871052,1307400
82,2018-09-28,62.490002,63.23,62.490002,63.220001,58.472237,1736000
83,2018-10-01,63.07,63.419998,62.700001,63.290001,58.536983,1545200
84,2018-10-02,63.490002,64.470001,63.470001,64.349998,59.51738,1393500
85,2018-10-03,64.290001,64.660004,63.080002,63.689999,58.906952,1367200
86,2018-10-04,63.400002,64.080002,62.869999,63.900002,59.10117,1343500
87,2018-10-05,63.939999,65.290001,63.939999,65.099998,60.211048,1464100
88,2018-10-08,65.25,66.360001,65.07,65.650002,60.719749,1524800
89,2018-10-09,65.760002,66.639999,65.589996,66.330002,61.348682,1625900
90,2018-10-10,66.279999,67.059998,65.900002,65.940002,60.987965,1456700
91,2018-10-11,66.199997,66.400002,63.869999,64.040001,59.230659,2287000
92,2018-10-12,63.91,64.07,63.09,63.799999,59.008678,2406300
93,2018-10-15,63.82,64.32,63.57,63.82,59.02718,1897700
94,2018-10-16,63.77,65.080002,63.52,64.779999,59.915092,1026500
95,2018-10-17,64.849998,65.190002,64.419998,64.760002,59.896595,1208000
96,2018-10-18,64.870003,65.209999,64.620003,64.940002,60.063084,990700
97,2018-10-19,64.940002,66.339996,64.940002,66.050003,61.08971,1230100
98,2018-10-22,65.860001,66.099998,65.309998,65.650002,60.719749,1561600
99,2018-10-23,66.029999,66.410004,65.379997,65.489998,60.571758,1910400
100,2018-10-24,65.75,67.230003,65.400002,66.790001,61.774136,1532100
101,2018-10-25,66.449997,66.449997,65.290001,65.690002,60.756744,1874400
102,2018-10-26,65.970001,66.25,63.84,64.400002,59.563622,2467100
103,2018-10-29,64.480003,65.419998,64.480003,65.199997,60.303551,1052700
104,2018-10-30,65.540001,65.809998,64.559998,65.0,60.118561,1481200
105,2018-10-31,64.349998,65.629997,63.529999,64.580002,59.730106,2464200
106,2018-11-01,64.940002,64.940002,63.68,64.349998,59.51738,1701900
107,2018-11-02,64.629997,64.800003,63.32,63.610001,58.832958,1429900
108,2018-11-05,63.970001,64.889999,63.830002,64.650002,59.794846,1169800
109,2018-11-06,64.650002,65.120003,64.519997,65.07,60.183308,1130700
110,2018-11-07,65.389999,66.099998,64.870003,66.040001,61.080467,1453400
111,2018-11-08,65.980003,66.330002,65.309998,66.300003,61.320938,1463600
112,2018-11-09,66.330002,67.5,66.220001,67.32,62.264328,1380400
113,2018-11-12,67.260002,68.949997,67.160004,68.389999,63.253975,1889300
114,2018-11-13,68.449997,69.010002,67.949997,68.830002,63.660934,1186200
115,2018-11-14,68.489998,69.199997,68.220001,68.739998,63.577694,1426800
116,2018-11-15,68.339996,69.470001,67.470001,69.389999,64.178871,1853000
117,2018-11-16,70.0,70.360001,69.169998,69.300003,64.095634,1651900
118,2018-11-19,69.349998,69.779999,69.220001,69.739998,64.502609,2242700
119,2018-11-20,69.989998,70.68,68.879997,69.0,63.818169,1576100
120,2018-11-21,68.82,68.949997,67.339996,67.519997,62.449306,1420400
121,2018-11-23,67.639999,67.940002,67.199997,67.75,62.662041,586800
122,2018-11-26,67.870003,68.099998,67.059998,67.82,62.726791,1085300
123,2018-11-27,67.779999,68.720001,67.260002,68.68,63.522213,1386500
124,2018-11-28,68.720001,68.989998,68.040001,68.110001,62.995018,911800
125,2018-11-29,67.580002,67.93,67.309998,67.82,62.726791,1278800
126,2018-11-30,68.019997,68.690002,67.599998,68.620003,63.466717,2389800
127,2018-12-03,68.32,69.800003,67.910004,69.800003,64.558075,1561600
128,2018-12-04,70.0,70.949997,69.779999,70.040001,64.78006,1292000
129,2018-12-06,70.339996,70.43,68.68,70.160004,64.891052,1923800
130,2018-12-07,70.139999,70.669998,69.5,70.419998,65.131523,1106900
131,2018-12-10,70.550003,70.940002,69.300003,70.709999,65.39975,909300
132,2018-12-11,70.410004,70.559998,69.889999,70.290001,65.450966,1042300
133,2018-12-12,70.370003,70.639999,69.599998,69.839996,65.031937,1024900
134,2018-12-13,69.860001,70.720001,69.860001,70.440002,65.59063,1089900
135,2018-12-14,70.620003,70.860001,69.519997,69.809998,65.004005,1432800
136,2018-12-17,70.050003,70.089996,67.089996,67.309998,62.676113,2086800
137,2018-12-18,67.529999,68.25,67.080002,67.379997,62.741291,1873300
138,2018-12-19,67.68,68.239998,66.93,67.209999,62.583008,1267200
139,2018-12-20,67.260002,68.290001,66.110001,67.029999,62.415394,2116800
140,2018-12-21,66.580002,68.550003,66.580002,66.940002,62.331585,3520500
141,2018-12-24,67.07,67.440002,63.029999,63.240002,58.886318,664300
142,2018-12-26,63.369999,64.400002,62.509998,64.349998,59.919895,1004800
143,2018-12-27,64.410004,65.309998,63.330002,65.300003,60.804497,1396000
144,2018-12-28,65.43,65.959999,64.68,64.940002,60.469288,847600
145,2018-12-31,65.059998,65.279999,64.309998,65.230003,60.739319,935100
146,2019-01-02,65.07,65.120003,63.130001,63.529999,59.156345,1325200
147,2019-01-03,63.490002,64.209999,63.330002,63.689999,59.305336,1362900
148,2019-01-04,63.450001,64.790001,63.279999,64.589996,60.143372,1691100
149,2019-01-07,64.230003,64.699997,63.68,63.849998,59.454315,2235500
150,2019-01-08,64.019997,64.940002,63.689999,64.860001,60.394791,1268800
151,2019-01-09,64.639999,65.029999,64.099998,64.379997,59.94783,1501000
152,2019-01-10,64.529999,65.860001,64.269997,65.809998,61.279381,1080100
153,2019-01-11,65.709999,65.889999,65.080002,65.550003,61.037285,873700
154,2019-01-14,64.870003,65.150002,64.169998,64.959999,60.4879,1499500
155,2019-01-15,64.769997,66.660004,64.669998,66.040001,61.493553,1794900
156,2019-01-16,65.720001,66.720001,65.470001,66.669998,62.080177,1405800
157,2019-01-17,66.730003,67.139999,66.540001,67.059998,62.443325,1255100
158,2019-01-18,67.029999,67.379997,66.830002,67.239998,62.61095,1138900
159,2019-01-22,67.349998,67.900002,66.739998,67.580002,62.92754,1495800
160,2019-01-23,67.650002,68.120003,67.480003,68.099998,63.411716,1205200
161,2019-01-24,68.230003,68.82,67.489998,68.75,64.016975,1101900
162,2019-01-25,68.43,69.029999,67.790001,67.940002,63.262745,1220500
163,2019-01-28,68.019997,68.300003,67.279999,67.660004,63.002029,943700
164,2019-01-29,67.879997,68.25,67.279999,67.470001,62.825104,1544100
165,2019-01-30,67.190002,68.300003,66.970001,67.940002,63.262745,1117500
166,2019-01-31,67.790001,69.620003,67.510002,69.339996,64.566345,2230300
167,2019-02-01,69.339996,69.339996,68.209999,68.849998,64.110107,1157300
168,2019-02-04,68.510002,69.0,67.900002,68.989998,64.24044,1645600
169,2019-02-05,68.790001,68.980003,68.370003,68.839996,64.100792,1277600
170,2019-02-06,68.779999,69.059998,68.480003,68.889999,64.147346,861400
171,2019-02-07,68.860001,69.730003,68.720001,69.720001,64.920197,1280700
172,2019-02-08,69.599998,70.480003,69.480003,70.470001,65.618576,921600
