,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-04,31.299999,31.51,31.15,31.290001,29.129463,19434400
1,2018-06-05,31.26,31.32,31.040001,31.08,28.933962,22919900
2,2018-06-06,31.129999,32.490002,30.959999,32.27,30.041794,33711500
3,2018-06-07,32.419998,32.66,31.950001,32.0,29.790434,26415000
4,2018-06-08,31.98,32.189999,31.84,32.080002,29.864912,21775000
5,2018-06-11,31.969999,32.439999,31.879999,32.0,29.790434,25960600
6,2018-06-12,31.940001,32.619999,31.83,32.380001,30.144201,32994300
7,2018-06-13,31.030001,32.650002,30.99,32.32,30.088341,45830100
8,2018-06-14,32.849998,34.060001,32.77,33.82,31.484772,42639500
9,2018-06-15,34.389999,34.400002,33.59,33.880001,31.540627,53138700
10,2018-06-18,33.790001,33.790001,32.560001,32.580002,30.330391,29986200
11,2018-06-19,32.169998,33.080002,32.169998,32.810001,30.544508,29019100
12,2018-06-20,33.349998,33.720001,32.34,33.389999,31.084461,50020200
13,2018-06-21,33.349998,33.650002,32.650002,32.790001,30.525887,35125600
14,2018-06-22,33.0,34.150002,32.91,33.810001,31.475458,105512100
15,2018-06-25,33.799999,34.110001,32.91,33.119999,30.833101,33063300
16,2018-06-26,33.310001,33.310001,32.669998,32.779999,30.516575,31471300
17,2018-06-27,32.560001,32.900002,32.290001,32.290001,30.060415,28842400
18,2018-06-28,32.439999,32.700001,32.080002,32.630001,30.376938,25199400
19,2018-06-29,32.509998,33.599998,32.5,32.810001,30.544508,37956600
20,2018-07-02,32.439999,33.220001,32.419998,33.169998,31.059509,17165000
21,2018-07-03,33.200001,33.610001,32.990002,33.09,30.984608,12660800
22,2018-07-05,33.380001,33.400002,32.91,33.119999,31.012693,11330300
23,2018-07-06,33.27,33.610001,33.0,33.580002,31.443426,11541300
24,2018-07-09,33.779999,33.799999,33.25,33.560001,31.424696,13664900
25,2018-07-10,33.709999,33.720001,33.189999,33.34,31.218699,12363300
26,2018-07-11,33.09,34.18,33.029999,33.77,31.621334,33639100
27,2018-07-12,33.68,34.57,33.599998,34.549999,32.351711,22374100
28,2018-07-13,34.400002,35.150002,34.400002,34.700001,32.492165,25167300
29,2018-07-16,34.740002,35.27,34.650002,34.970001,32.744984,22937600
30,2018-07-17,34.709999,34.919998,34.209999,34.27,32.08952,21119900
31,2018-07-18,34.119999,34.450001,33.98,34.040001,31.874153,16172600
32,2018-07-19,35.139999,35.290001,34.740002,34.91,32.688805,41627300
33,2018-07-20,34.77,34.950001,34.290001,34.299999,32.117615,24577000
34,2018-07-23,34.16,34.299999,33.82,34.169998,31.995884,22336100
35,2018-07-24,34.169998,34.290001,33.349998,33.389999,31.265518,21795000
36,2018-07-25,33.389999,33.52,32.810001,33.419998,31.293606,22055800
37,2018-07-26,34.84,35.099998,33.77,34.75,32.538986,40293000
38,2018-07-27,34.84,35.610001,34.759998,35.080002,32.847984,22686900
39,2018-07-30,35.060001,35.700001,35.02,35.459999,33.203804,21883100
40,2018-07-31,35.650002,36.09,35.540001,35.779999,33.503448,21644300
41,2018-08-01,35.900002,35.900002,35.32,35.400002,33.147625,20155600
42,2018-08-02,35.169998,35.200001,34.619999,34.639999,32.435978,19240300
43,2018-08-03,34.939999,35.43,34.73,35.41,33.156986,16485800
44,2018-08-06,35.59,35.759998,35.290001,35.32,33.072716,12087200
