,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-04,97.199997,98.949997,96.730003,98.830002,87.924797,896500
1,2018-06-05,98.879997,99.559998,97.620003,97.669998,86.892799,1063200
2,2018-06-06,97.209999,98.230003,97.190002,97.489998,86.732651,995200
3,2018-06-07,97.669998,98.040001,97.07,97.730003,86.946182,726700
4,2018-06-08,97.879997,98.559998,97.519997,98.019997,87.204163,599800
5,2018-06-11,97.949997,98.260002,97.160004,97.860001,87.061836,651800
6,2018-06-12,97.629997,99.419998,97.300003,98.43,87.568932,769900
7,2018-06-13,98.610001,99.190002,96.330002,96.959999,86.261154,1241900
8,2018-06-14,96.730003,97.970001,96.5,97.529999,87.544731,713300
9,2018-06-15,97.629997,98.050003,96.580002,96.709999,86.808693,1078700
10,2018-06-18,96.860001,97.599998,96.589996,97.18,87.23056,669500
11,2018-06-19,96.809998,98.029999,96.730003,97.339996,87.374184,754900
12,2018-06-20,97.449997,98.650002,97.449997,98.199997,88.146126,770100
13,2018-06-21,98.410004,99.75,98.080002,99.690002,89.483597,855600
14,2018-06-22,99.720001,99.919998,99.220001,99.269997,89.106583,769100
15,2018-06-25,99.790001,100.779999,98.879997,100.010002,89.770828,1384100
16,2018-06-26,100.0,101.959999,99.639999,100.959999,90.623566,1654400
17,2018-06-27,101.279999,101.790001,99.57,99.650002,89.447685,1072500
18,2018-06-28,99.980003,101.43,99.669998,100.099998,89.851593,890800
19,2018-06-29,99.779999,100.459999,98.480003,99.809998,89.591301,1503900
20,2018-07-02,99.730003,100.300003,98.220001,98.849998,88.729568,926200
21,2018-07-03,98.82,100.169998,98.620003,99.279999,89.115578,551500
22,2018-07-05,99.459999,100.739998,98.830002,100.669998,90.363258,971800
23,2018-07-06,100.769997,101.139999,100.330002,100.760002,90.444046,686400
24,2018-07-09,100.970001,100.970001,98.699997,99.309998,89.142487,978400
25,2018-07-10,99.309998,100.089996,98.839996,99.230003,89.070694,1165400
26,2018-07-11,98.790001,99.309998,98.480003,98.889999,88.765503,984400
27,2018-07-12,98.580002,99.160004,98.089996,98.660004,88.559044,1158900
28,2018-07-13,98.879997,99.510002,96.550003,96.809998,86.898453,1324000
29,2018-07-16,96.610001,96.889999,95.449997,96.709999,86.808693,1220400
30,2018-07-17,96.709999,96.75,94.260002,94.68,84.986526,1392600
31,2018-07-18,93.5,94.650002,93.160004,94.389999,84.726204,1599600
32,2018-07-19,94.550003,95.540001,93.82,95.120003,85.38147,739800
33,2018-07-20,94.709999,95.230003,94.190002,94.57,84.887779,468300
34,2018-07-23,94.519997,94.599998,93.580002,93.980003,84.358177,478800
35,2018-07-24,94.010002,94.349998,93.279999,93.610001,84.026062,1089700
36,2018-07-25,93.959999,94.470001,93.389999,94.25,84.60054,975200
37,2018-07-26,94.580002,95.360001,94.480003,94.699997,85.004463,1472900
38,2018-07-27,94.980003,94.980003,92.699997,92.900002,83.388763,723000
39,2018-07-30,93.209999,93.800003,92.18,93.510002,83.93631,1135000
40,2018-07-31,94.050003,94.769997,93.739998,93.970001,84.34922,973000
41,2018-08-01,91.769997,92.660004,90.459999,92.629997,83.1464,1430900
42,2018-08-02,92.57,93.970001,90.709999,90.949997,81.638397,2337300
43,2018-08-03,91.360001,92.739998,91.029999,92.199997,82.760422,1496400
44,2018-08-06,92.360001,94.0,92.209999,93.419998,83.855515,1211400
45,2018-08-07,93.470001,93.790001,92.650002,93.650002,84.061958,647600
46,2018-08-08,93.769997,93.989998,93.43,93.580002,83.999146,375100
47,2018-08-09,93.639999,94.0,93.239998,93.300003,83.747795,640900
48,2018-08-10,93.040001,93.889999,92.32,92.900002,83.388763,495100
49,2018-08-13,92.870003,93.629997,92.629997,92.800003,83.298988,615900
50,2018-08-14,92.889999,93.470001,92.360001,92.559998,83.083572,859200
51,2018-08-15,92.470001,93.239998,92.290001,92.949997,83.433624,599100
52,2018-08-16,92.989998,94.300003,92.980003,94.269997,84.618492,648000
53,2018-08-17,94.330002,95.489998,94.190002,95.18,85.435333,643200
54,2018-08-20,95.239998,95.779999,94.830002,94.889999,85.175034,495400
55,2018-08-21,94.889999,94.889999,93.410004,93.650002,84.061958,993400
56,2018-08-22,93.720001,93.82,90.910004,91.669998,82.284683,1061700
57,2018-08-23,91.75,92.010002,91.029999,91.510002,82.141083,499200
58,2018-08-24,91.589996,92.639999,91.519997,92.529999,83.056641,454500
59,2018-08-27,92.75,92.75,90.839996,91.639999,82.257759,789100
60,2018-08-28,91.739998,92.379997,91.169998,92.370003,82.913017,787900
61,2018-08-29,92.279999,92.639999,91.760002,92.050003,82.625786,552800
62,2018-08-30,92.230003,92.360001,91.589996,91.839996,82.437271,684100
63,2018-08-31,92.0,92.660004,91.529999,92.209999,82.769409,732500
64,2018-09-04,92.110001,92.860001,91.480003,91.900002,82.49115,585600
65,2018-09-05,91.580002,93.18,91.199997,92.379997,82.922005,718700
66,2018-09-06,92.68,93.309998,92.5,92.709999,83.218201,1039700
67,2018-09-07,92.160004,92.349998,90.019997,90.129997,80.902344,671700
68,2018-09-10,90.559998,91.849998,90.330002,90.910004,81.602501,962900
69,2018-09-11,90.43,91.160004,90.150002,90.349998,81.099831,1208400
70,2018-09-12,90.379997,90.709999,89.809998,90.370003,81.11779,1056900
71,2018-09-13,90.040001,90.769997,89.830002,90.029999,81.58902,784600
72,2018-09-14,89.760002,89.760002,88.0,88.410004,80.120918,1387600
73,2018-09-17,88.370003,89.330002,88.290001,89.32,80.945602,1180800
74,2018-09-18,89.400002,89.629997,87.800003,87.919998,79.676857,651500
75,2018-09-19,88.080002,88.220001,86.800003,86.839996,78.698097,1017500
76,2018-09-20,86.949997,87.620003,86.599998,87.379997,79.187477,1607400
77,2018-09-21,87.25,88.339996,86.779999,87.690002,79.468422,1517300
78,2018-09-24,87.629997,87.779999,86.199997,87.029999,78.8703,1011800
79,2018-09-25,87.18,87.410004,86.510002,86.900002,78.752487,1072500
80,2018-09-26,87.059998,87.540001,86.389999,86.43,78.326553,962200
81,2018-09-27,86.620003,87.010002,85.330002,85.529999,77.510933,747900
82,2018-09-28,85.529999,86.68,85.419998,86.639999,78.516853,1701200
83,2018-10-01,86.93,87.080002,85.730003,85.739998,77.701241,777100
84,2018-10-02,85.989998,86.32,85.5,85.809998,77.764687,810400
85,2018-10-03,85.709999,86.059998,84.599998,85.0,77.030624,868700
86,2018-10-04,84.730003,84.959999,83.699997,84.809998,76.858429,715900
87,2018-10-05,84.690002,85.519997,84.610001,85.309998,77.311569,730400
88,2018-10-08,85.5,86.830002,85.129997,86.040001,77.973122,900000
89,2018-10-09,85.919998,87.150002,85.449997,87.099998,78.933731,870900
90,2018-10-10,87.0,87.5,86.32,86.32,78.226868,976900
91,2018-10-11,86.690002,86.720001,84.610001,84.610001,76.677193,1352000
92,2018-10-12,85.07,85.449997,84.489998,84.860001,76.903755,709200
93,2018-10-15,84.690002,86.529999,84.690002,85.529999,77.510933,682100
94,2018-10-16,85.690002,87.099998,85.290001,86.75,78.616554,871500
95,2018-10-17,86.580002,87.099998,85.32,86.059998,77.991249,767600
96,2018-10-18,86.050003,87.150002,86.040001,86.370003,78.272186,579100
97,2018-10-19,86.650002,87.470001,86.459999,87.18,79.006248,642200
98,2018-10-22,87.519997,88.290001,85.910004,85.93,77.873428,583900
99,2018-10-23,85.760002,86.849998,85.120003,86.440002,78.335617,495400
100,2018-10-24,86.629997,88.370003,86.279999,87.739998,79.513725,890700
101,2018-10-25,87.870003,88.68,87.150002,88.269997,79.994026,651000
102,2018-10-26,88.300003,88.669998,86.269997,87.690002,79.468422,1486500
103,2018-10-29,88.080002,90.940002,88.010002,90.599998,82.105598,1139300
104,2018-10-30,90.5,91.82,89.830002,90.970001,82.440895,2085500
105,2018-10-31,91.0,92.440002,89.989998,90.059998,81.616211,1552200
106,2018-11-01,90.169998,91.290001,89.75,90.379997,81.906219,1119900
107,2018-11-02,90.349998,90.349998,86.410004,87.220001,79.04248,1382900
108,2018-11-05,87.169998,89.169998,87.0,88.870003,80.537788,1338700
109,2018-11-06,88.860001,89.43,88.449997,88.699997,80.383736,882200
110,2018-11-07,88.970001,89.699997,88.540001,89.529999,81.13591,788000
111,2018-11-08,89.489998,90.279999,89.269997,90.279999,81.81559,730700
112,2018-11-09,90.25,91.279999,90.25,90.75,82.241539,673600
113,2018-11-12,91.010002,92.349998,90.470001,91.379997,82.812454,791800
114,2018-11-13,91.709999,91.919998,90.57,91.779999,83.17495,743200
115,2018-11-14,91.959999,93.5,91.919998,93.0,84.280571,1329700
116,2018-11-15,92.559998,93.18,91.980003,92.860001,84.153702,890400
117,2018-11-16,92.860001,94.989998,92.589996,94.940002,86.038673,2493500
118,2018-11-19,94.949997,95.760002,94.040001,95.400002,86.455551,2792200
119,2018-11-20,95.800003,96.220001,94.080002,94.5,85.639946,1026300
120,2018-11-21,94.290001,94.43,92.879997,92.889999,84.180885,654500
121,2018-11-23,92.830002,93.410004,92.019997,93.089996,84.362114,196400
122,2018-11-26,93.360001,93.449997,92.379997,92.620003,83.936211,905400
123,2018-11-27,92.660004,93.260002,92.379997,93.239998,84.498055,937300
124,2018-11-28,93.120003,94.419998,92.57,93.790001,84.996513,804000
125,2018-11-29,93.610001,94.870003,92.989998,94.389999,85.540245,787100
126,2018-11-30,94.68,95.989998,94.199997,95.980003,86.981178,1996400
127,2018-12-03,95.949997,97.040001,95.629997,97.010002,87.914604,1462100
128,2018-12-04,97.07,97.830002,96.370003,96.900002,87.814919,1117400
129,2018-12-06,96.830002,99.989998,96.089996,99.82,90.461143,1333600
130,2018-12-07,99.769997,99.769997,98.370003,98.699997,89.446152,995400
