,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-04,32.490002,32.630001,32.209999,32.5,32.488777,975600
1,2018-06-05,32.490002,32.619999,31.48,32.380001,32.36882,1661000
2,2018-06-06,32.529999,32.869999,31.959999,32.82,32.808666,1053400
3,2018-06-07,32.98,33.48,32.810001,33.110001,33.098568,858800
4,2018-06-08,33.0,33.060001,31.76,31.84,31.829004,1388100
5,2018-06-11,31.23,31.639999,29.653999,29.83,29.819698,3923100
6,2018-06-12,29.879999,30.43,29.110001,29.450001,29.439831,2215200
7,2018-06-13,29.559999,30.1,29.24,29.389999,29.37985,1699800
8,2018-06-14,29.799999,30.290001,29.540001,30.059999,30.049618,1934900
9,2018-06-15,30.110001,30.48,29.43,29.68,29.66975,1388000
10,2018-06-18,29.370001,30.07,29.299999,29.98,29.969646,1309500
11,2018-06-19,29.610001,29.66,29.32,29.469999,29.459822,1129500
12,2018-06-20,29.66,29.757999,28.205,28.24,28.230247,2044200
13,2018-06-21,28.030001,28.34,27.469999,27.92,27.910358,1984500
14,2018-06-22,28.6,29.299999,28.365,28.83,28.820044,3038700
15,2018-06-25,27.809999,28.735001,27.75,28.299999,28.290226,2100900
16,2018-06-26,28.32,29.23,28.32,29.030001,29.019976,1953200
17,2018-06-27,29.209999,29.809999,28.98,29.26,29.249895,1885700
18,2018-06-28,28.93,29.549999,28.559999,29.370001,29.359858,1634200
19,2018-06-29,29.4,30.23,29.33,29.389999,29.37985,2230500
20,2018-07-02,28.969999,29.16,28.4,28.559999,28.550137,1625000
21,2018-07-03,28.76,28.91,28.51,28.73,28.720078,592800
22,2018-07-05,28.950001,29.065001,28.540001,28.790001,28.780058,1614100
23,2018-07-06,28.719999,28.719999,28.24,28.360001,28.350206,1053800
24,2018-07-09,28.370001,29.559999,28.360001,29.52,29.509806,2222200
25,2018-07-10,29.42,29.68,29.01,29.27,29.259892,1211200
26,2018-07-11,28.9,29.0,28.620001,28.83,28.820044,1313900
27,2018-07-12,28.98,28.98,27.461,27.99,27.980333,2447700
28,2018-07-13,28.049999,28.75,28.01,28.18,28.170269,1189500
29,2018-07-16,27.92,28.51,27.91,28.110001,28.100292,1221800
30,2018-07-17,28.09,28.43,27.85,28.08,28.070303,1281800
31,2018-07-18,28.09,28.18,27.67,27.799999,27.790398,897000
32,2018-07-19,27.58,28.190001,27.469999,28.190001,28.180265,507700
33,2018-07-20,28.040001,28.200001,27.82,27.83,27.820389,647700
34,2018-07-23,27.82,27.83,27.15,27.16,27.15062,706900
35,2018-07-24,27.290001,27.33,26.639999,26.690001,26.680782,1087500
36,2018-07-25,26.610001,26.790001,26.26,26.48,26.470854,1570100
37,2018-07-26,26.52,27.15,26.469999,26.629999,26.620802,2625600
38,2018-07-27,26.92,27.16,26.360001,27.1,27.090641,1992800
39,2018-07-30,27.290001,28.049999,27.290001,27.32,27.310564,2493500
40,2018-07-31,27.48,28.719999,27.48,28.610001,28.600121,2492400
41,2018-08-01,28.610001,28.745001,27.370001,27.67,27.660444,2417400
42,2018-08-02,27.66,28.639999,27.110001,27.73,27.720423,2705600
43,2018-08-03,28.0,28.709999,27.860001,28.469999,28.460167,1655700
44,2018-08-06,28.5,29.33,28.190001,29.16,29.149929,1427400
45,2018-08-07,29.459999,29.84,29.190001,29.49,29.479815,881600
46,2018-08-08,29.469999,29.6,29.1,29.280001,29.269888,870100
47,2018-08-09,29.209999,29.66,28.709999,28.77,28.760065,1436700
48,2018-08-10,28.700001,29.1,28.610001,28.860001,28.850035,1093100
49,2018-08-13,28.799999,28.950001,28.344,28.49,28.480162,583900
50,2018-08-14,28.59,28.75,28.139999,28.18,28.170269,657300
51,2018-08-15,28.0,28.0,26.92,27.030001,27.020666,785800
52,2018-08-16,26.92,27.605,26.92,27.370001,27.360548,881800
53,2018-08-17,27.440001,27.99,27.18,27.940001,27.930351,1229500
54,2018-08-20,28.15,28.59,28.004999,28.309999,28.300222,849600
55,2018-08-21,28.33,28.59,28.02,28.219999,28.210253,483600
56,2018-08-22,28.17,28.27,27.780001,27.950001,27.940348,965000
57,2018-08-23,27.93,27.959999,27.290001,27.34,27.330559,739900
58,2018-08-24,27.379999,27.67,27.25,27.51,27.5005,1129000
59,2018-08-27,27.620001,28.379999,27.48,28.25,28.240244,1200300
60,2018-08-28,28.25,28.58,28.09,28.27,28.260237,822400
61,2018-08-29,28.41,28.860001,28.299999,28.76,28.750069,777600
62,2018-08-30,28.700001,28.860001,27.940001,28.08,28.070303,631500
63,2018-08-31,27.98,28.18,27.809999,27.959999,27.950342,453100
64,2018-09-04,27.959999,27.959999,27.280001,27.35,27.340555,609400
65,2018-09-05,27.219999,27.389999,26.82,26.99,26.980679,1445300
66,2018-09-06,26.76,26.76,24.75,24.93,24.921391,4134900
67,2018-09-07,24.59,25.299999,24.35,24.98,24.971373,2984600
68,2018-09-10,25.1,25.860001,25.1,25.639999,25.631145,1543900
69,2018-09-11,25.559999,26.33,25.27,26.18,26.170959,1637200
70,2018-09-12,26.360001,26.620001,26.120001,26.59,26.580818,1961600
71,2018-09-13,26.74,28.285,26.74,27.84,27.830385,3199200
72,2018-09-14,27.799999,28.889999,27.709999,28.620001,28.610117,2025900
73,2018-09-17,28.73,29.610001,28.610001,28.719999,28.710081,1449900
74,2018-09-18,28.73,29.280001,28.709999,29.27,29.259892,979600
75,2018-09-19,29.219999,29.629999,28.98,29.1,29.089951,785700
76,2018-09-20,29.299999,29.540001,29.065001,29.379999,29.369852,1086600
77,2018-09-21,29.48,29.565001,29.15,29.379999,29.369852,3654800
78,2018-09-24,29.459999,29.684999,28.879999,29.540001,29.529799,1476200
79,2018-09-25,29.68,29.690001,29.040001,29.120001,29.109943,1162500
80,2018-09-26,28.879999,29.17,28.440001,28.469999,28.460167,1365900
81,2018-09-27,29.059999,29.059999,27.74,28.040001,28.030317,1694000
82,2018-09-28,27.92,28.370001,27.84,28.34,28.330214,1010600
83,2018-10-01,28.49,28.610001,27.959999,28.01,28.000326,1846300
84,2018-10-02,28.030001,28.209999,27.790001,28.08,28.070303,2083900
85,2018-10-03,28.25,28.287001,27.92,28.0,27.99033,2164400
86,2018-10-04,28.0,28.16,27.57,27.77,27.76041,720100
87,2018-10-05,27.690001,28.02,27.02,27.450001,27.440521,677600
88,2018-10-08,27.25,27.42,26.780001,27.059999,27.050653,776700
89,2018-10-09,26.91,27.43,26.889999,27.26,27.250586,1381700
90,2018-10-10,27.33,27.33,26.139999,26.190001,26.180956,1231200
91,2018-10-11,25.49,26.66,25.49,25.6,25.59116,1182100
92,2018-10-12,26.67,26.67,25.35,25.76,25.751104,1084400
93,2018-10-15,25.690001,26.34,25.200001,26.049999,26.041002,1411700
94,2018-10-16,26.26,27.190001,26.129999,27.15,27.140623,801600
95,2018-10-17,26.969999,27.030001,26.309999,26.889999,26.880713,811100
96,2018-10-18,26.26,26.790001,25.834999,26.030001,26.021011,929000
97,2018-10-19,26.049999,26.15,25.360001,25.5,25.491194,1219800
98,2018-10-22,25.52,25.629999,25.040001,25.18,25.171305,1517300
99,2018-10-23,24.6,25.219999,24.184999,24.92,24.911394,1455600
100,2018-10-24,25.01,25.15,23.33,23.370001,23.361931,2160700
101,2018-10-25,23.65,24.879999,23.49,24.559999,24.551517,2835900
102,2018-10-26,25.469999,26.790001,24.799999,26.110001,26.100983,3224300
103,2018-10-29,26.58,26.950001,25.209999,25.58,25.571165,1412500
104,2018-10-30,25.51,26.67,25.51,26.59,26.580818,1086600
105,2018-10-31,27.25,27.6,26.940001,27.059999,27.050653,1257900
106,2018-11-01,26.41,26.415001,25.75,25.799999,25.79109,10006200
107,2018-11-02,25.99,26.360001,25.799999,25.85,25.841074,2608500
108,2018-11-05,26.0,26.719999,25.799999,26.52,26.510841,4353000
109,2018-11-06,26.49,27.504999,26.209999,27.389999,27.380541,1999400
110,2018-11-07,27.6,28.559999,27.41,27.940001,27.930351,2013500
111,2018-11-08,27.66,28.25,27.0,27.110001,27.100637,3269700
112,2018-11-09,28.02,28.02,26.33,26.549999,26.540831,3314900
113,2018-11-12,26.610001,26.809999,26.18,26.309999,26.300913,1157400
114,2018-11-13,26.27,26.49,25.495001,25.530001,25.521183,1295800
115,2018-11-14,25.719999,25.790001,25.0,25.219999,25.21129,1320600
116,2018-11-15,25.0,25.99,24.5,25.969999,25.961031,1383100
117,2018-11-16,25.959999,26.02,25.43,25.49,25.481197,933000
118,2018-11-19,25.27,25.295,24.424999,24.440001,24.431561,1895700
119,2018-11-20,24.0,24.66,23.57,24.25,24.241625,1062000
120,2018-11-21,24.6,25.17,24.533001,24.75,24.741453,953800
121,2018-11-23,24.299999,24.459999,24.09,24.18,24.17165,253700
122,2018-11-26,24.48,25.280001,24.450001,24.959999,24.95138,1373100
123,2018-11-27,24.76,25.040001,24.43,24.440001,24.431561,1250800
124,2018-11-28,24.469999,25.51,24.465,25.34,25.331249,1316000
125,2018-11-29,25.309999,25.51,24.469999,25.34,25.331249,2197700
126,2018-11-30,25.200001,25.610001,24.68,24.75,24.741453,1081900
127,2018-12-03,25.41,26.035,25.23,25.370001,25.361238,1090100
128,2018-12-04,25.26,25.370001,23.16,23.280001,23.271961,1732900
129,2018-12-06,22.02,22.9,21.42,22.9,22.892092,3272100
130,2018-12-07,23.040001,23.700001,22.200001,22.299999,22.292297,1572900
131,2018-12-10,22.08,22.27,21.68,22.08,22.072374,2086100
132,2018-12-11,22.5,22.610001,21.52,21.58,21.572548,1080300
133,2018-12-12,22.02,22.4,21.66,21.84,21.832458,2509700
134,2018-12-13,21.93,22.25,21.030001,21.35,21.342627,1715200
135,2018-12-14,21.030001,21.450001,20.92,21.219999,21.212671,1356100
136,2018-12-17,20.969999,21.17,20.26,20.5,20.49292,1188700
137,2018-12-18,20.799999,21.245001,20.57,20.6,20.592886,1623000
138,2018-12-19,20.0,20.74,19.52,19.73,19.723186,1658500
139,2018-12-20,19.620001,19.799999,18.879999,19.200001,19.193371,1294800
140,2018-12-21,19.26,20.1,19.219999,19.860001,19.853142,3130600
141,2018-12-24,19.549999,19.790001,18.92,18.92,18.913465,687800
142,2018-12-26,18.9,20.24,18.701,20.219999,20.213017,981500
143,2018-12-27,19.459999,20.389999,19.459999,20.389999,20.382957,917300
144,2018-12-28,20.59,20.74,20.135,20.379999,20.372961,1394400
145,2018-12-31,20.57,20.646999,20.09,20.450001,20.442938,907100
146,2019-01-02,20.02,21.02,19.700001,21.0,20.992748,1602200
147,2019-01-03,20.809999,21.120001,20.1,20.58,20.572893,1246300
148,2019-01-04,21.0,21.26,20.629999,20.940001,20.93277,2041900
149,2019-01-07,21.139999,22.040001,20.84,21.610001,21.602537,2296100
150,2019-01-08,21.940001,22.34,21.57,21.860001,21.852451,1387600
151,2019-01-09,22.15,22.719999,21.98,22.379999,22.372271,1224000
152,2019-01-10,22.1,22.584999,22.02,22.49,22.482233,1007700
153,2019-01-11,22.280001,22.74,22.17,22.709999,22.702156,679600
154,2019-01-14,22.49,22.5,21.959999,22.0,21.992403,1200200
155,2019-01-15,22.1,22.290001,21.76,21.92,21.91243,1721100
156,2019-01-16,21.85,22.25,21.790001,21.84,21.832458,1185000
157,2019-01-17,21.700001,22.334999,21.67,22.23,22.222322,840100
158,2019-01-18,22.42,23.26,22.139999,23.219999,23.211981,2099500
