,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-04,32.0,32.0,31.4,31.540001,30.33321,6645600
1,2018-06-05,31.309999,31.549999,30.799999,30.860001,29.679222,11422100
2,2018-06-06,30.98,31.65,30.65,31.549999,30.342823,11613300
3,2018-06-07,31.4,31.620001,31.200001,31.35,30.265591,8915200
4,2018-06-08,31.4,31.540001,30.719999,30.780001,29.715311,13892100
5,2018-06-11,30.9,31.799999,30.870001,31.59,30.497288,14202900
6,2018-06-12,31.74,32.130001,31.549999,31.639999,30.545563,11046900
7,2018-06-13,31.469999,31.48,30.780001,30.950001,29.879429,8341500
8,2018-06-14,31.17,31.57,31.02,31.43,30.342823,5650600
9,2018-06-15,31.190001,31.35,30.99,31.23,30.149742,9223200
10,2018-06-18,30.98,31.450001,30.84,31.32,30.236629,4685000
11,2018-06-19,30.879999,31.09,29.809999,29.91,28.875401,17126600
12,2018-06-20,30.16,30.65,30.040001,30.540001,29.483612,14759300
13,2018-06-21,30.58,30.6,30.139999,30.309999,29.261566,7988800
14,2018-06-22,30.629999,30.719999,30.01,30.07,29.029867,9180400
15,2018-06-25,29.82,30.02,28.940001,29.27,28.25754,9597500
16,2018-06-26,28.82,29.41,28.65,29.16,28.151344,8641500
17,2018-06-27,29.16,29.280001,28.360001,28.370001,27.388668,10263000
18,2018-06-28,28.4,28.469999,27.9,28.379999,27.398325,8555800
19,2018-06-29,28.610001,29.379999,28.450001,29.030001,28.025846,12614900
20,2018-07-02,28.190001,28.43,27.969999,28.16,27.185936,15410200
21,2018-07-03,28.23,28.620001,27.889999,27.98,27.012159,5212200
22,2018-07-05,28.059999,28.469999,27.879999,28.41,27.427286,7308800
23,2018-07-06,28.32,29.049999,28.25,28.969999,27.967913,5859700
24,2018-07-09,29.450001,29.459999,29.040001,29.459999,28.440964,5561700
25,2018-07-10,29.51,30.08,29.35,29.93,28.894707,8528400
26,2018-07-11,29.450001,30.1,29.450001,29.889999,28.856092,7087800
27,2018-07-12,30.32,30.530001,29.84,30.5,29.44499,8607400
28,2018-07-13,30.59,31.0,30.17,30.950001,29.879429,9606300
29,2018-07-16,31.0,31.200001,30.76,31.120001,30.04355,10424700
30,2018-07-17,31.0,31.440001,30.879999,31.25,30.16905,11232500
31,2018-07-18,31.25,31.379999,30.91,31.02,29.947002,8120100
32,2018-07-19,30.83,30.959999,30.49,30.82,29.753922,7096400
33,2018-07-20,30.709999,31.299999,30.540001,31.200001,30.120783,10371800
34,2018-07-23,31.17,31.23,30.75,30.969999,29.898735,3940300
35,2018-07-24,31.33,31.540001,30.610001,30.77,29.705648,7958600
36,2018-07-25,31.200001,31.549999,30.83,31.52,30.42971,8191800
37,2018-07-26,30.92,31.41,30.84,31.219999,30.140089,6389500
38,2018-07-27,31.49,31.59,30.5,30.719999,29.657385,6695100
