,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-04,23.16,23.34,22.690001,23.219999,19.811594,9311000
1,2018-06-05,23.27,23.59,23.139999,23.58,20.11875,9715500
2,2018-06-06,23.67,24.120001,23.41,24.1,20.56242,5022600
3,2018-06-07,24.049999,24.75,24.049999,24.469999,20.878111,10818600
4,2018-06-08,24.290001,24.74,24.219999,24.68,21.057285,5852200
5,2018-06-11,25.1,25.690001,24.959999,25.59,21.833708,14419200
6,2018-06-12,25.58,26.41,25.450001,26.32,22.456551,10133300
7,2018-06-13,26.459999,26.68,26.01,26.040001,22.217653,6301200
8,2018-06-14,26.190001,26.709999,26.049999,26.389999,22.516275,6488100
9,2018-06-15,26.299999,26.6,25.879999,26.049999,22.226183,6645400
10,2018-06-18,25.76,26.01,25.48,25.92,22.115267,4722100
11,2018-06-19,25.67,26.43,25.559999,26.26,22.405357,5410700
12,2018-06-20,26.43,26.709999,25.950001,26.299999,22.439484,4086500
13,2018-06-21,26.25,26.4,25.709999,25.780001,21.995821,3106600
14,2018-06-22,25.82,26.42,25.82,26.209999,22.362696,7129500
15,2018-06-25,25.959999,26.219999,25.559999,26.02,22.20059,5747000
16,2018-06-26,26.190001,26.360001,25.67,26.219999,22.371225,6485000
17,2018-06-27,26.049999,26.440001,25.639999,25.959999,22.149395,8620800
18,2018-06-28,25.969999,26.09,25.280001,25.709999,21.936092,3385700
19,2018-06-29,25.700001,26.219999,25.48,25.790001,22.004351,4006600
20,2018-07-02,25.549999,26.299999,25.530001,26.27,22.413891,4474400
21,2018-07-03,26.25,26.52,26.16,26.26,22.405357,3238900
22,2018-07-05,26.5,27.190001,26.34,27.15,23.164719,5718700
23,2018-07-06,27.08,27.58,27.049999,27.42,23.395082,4301500
24,2018-07-09,27.469999,27.98,27.27,27.84,23.753435,4666800
25,2018-07-10,27.799999,27.84,27.379999,27.639999,23.582794,4106100
26,2018-07-11,26.940001,27.6,26.940001,27.4,23.378019,3499800
27,2018-07-12,27.57,27.68,27.32,27.52,23.480406,3414200
28,2018-07-13,27.559999,28.0,27.51,27.799999,23.719305,2858500
29,2018-07-16,27.82,27.889999,27.690001,27.77,23.693712,2531300
30,2018-07-17,27.67,27.790001,27.610001,27.629999,23.574257,3087900
31,2018-07-18,27.559999,27.68,26.83,26.860001,22.917286,5421500
32,2018-07-19,26.719999,26.92,26.43,26.77,22.840496,3885600
33,2018-07-20,26.709999,26.860001,26.09,26.15,22.31151,5504900
34,2018-07-23,26.139999,26.879999,26.01,26.459999,22.576002,4528900
35,2018-07-24,26.459999,26.889999,26.23,26.450001,22.567469,4084400
36,2018-07-25,26.389999,26.48,25.43,25.889999,22.08967,5027300
37,2018-07-26,25.809999,26.620001,25.809999,26.190001,22.345634,7469700
38,2018-07-27,26.280001,26.41,25.870001,26.030001,22.209122,5419200
39,2018-07-30,26.16,26.68,26.110001,26.209999,22.362696,7463800
40,2018-07-31,26.280001,26.370001,25.98,26.190001,22.345634,5331300
41,2018-08-01,26.02,26.309999,25.99,26.18,22.337105,4325900
42,2018-08-02,26.120001,26.530001,26.09,26.52,22.627197,3970300
43,2018-08-03,26.59,27.040001,26.530001,26.57,22.669857,5422600
44,2018-08-06,25.65,26.25,22.5,22.76,19.419115,34676600
45,2018-08-07,22.68,22.799999,21.65,21.68,18.497644,24685000
46,2018-08-08,21.41,21.65,20.209999,20.790001,17.738287,26998500
47,2018-08-09,21.209999,21.41,20.83,20.879999,17.815075,18774200
48,2018-08-10,20.93,21.040001,20.65,20.82,17.763882,11819200
49,2018-08-13,20.9,20.91,20.26,20.450001,17.448195,13463500
50,2018-08-14,20.700001,20.76,20.33,20.65,17.618837,13335200
51,2018-08-15,20.620001,20.91,20.35,20.889999,17.823612,8051300
52,2018-08-16,20.940001,21.559999,20.92,21.309999,18.181959,9893900
53,2018-08-17,21.32,21.65,20.950001,21.5,18.344065,6604800
54,2018-08-20,21.6,21.77,21.5,21.75,18.557369,11741100
55,2018-08-21,21.85,21.91,21.450001,21.799999,18.600033,6679700
56,2018-08-22,21.799999,21.799999,21.559999,21.65,18.472052,4028000
57,2018-08-23,21.639999,21.76,21.33,21.709999,18.523243,5220000
58,2018-08-24,21.67,21.77,21.530001,21.68,18.497644,5157500
59,2018-08-27,21.799999,22.389999,21.799999,22.33,19.052233,7580300
60,2018-08-28,22.42,22.59,22.280001,22.459999,19.163151,8415300
61,2018-08-29,22.620001,22.83,21.950001,22.5,19.197279,8792600
62,2018-08-30,22.23,22.24,21.82,21.860001,18.843853,6312100
63,2018-08-31,21.82,21.83,21.52,21.719999,18.723166,5588900
64,2018-09-04,21.620001,21.66,21.25,21.370001,18.421459,6155000
65,2018-09-05,21.32,22.17,21.25,21.870001,18.852468,9596600
66,2018-09-06,21.799999,21.85,21.209999,21.27,18.335257,4815700
67,2018-09-07,21.27,21.440001,21.129999,21.370001,18.421459,4135300
68,2018-09-10,21.450001,21.93,21.41,21.610001,18.628345,5076300
69,2018-09-11,21.58,21.709999,21.27,21.459999,18.499039,4706200
70,2018-09-12,21.530001,21.98,21.389999,21.73,18.731789,5575500
71,2018-09-13,21.85,21.99,21.469999,21.98,18.947292,12633800
72,2018-09-14,22.1,22.1,21.530001,21.700001,18.705927,6530300
73,2018-09-17,21.700001,21.85,21.530001,21.559999,18.585241,4181000
74,2018-09-18,21.51,21.700001,21.32,21.52,18.550762,4841400
75,2018-09-19,21.540001,21.91,21.450001,21.639999,18.654203,6976800
76,2018-09-20,21.75,22.34,21.73,22.0,18.964535,9035800
77,2018-09-21,22.059999,22.07,21.57,21.84,18.826612,14275600
78,2018-09-24,21.75,21.75,20.139999,20.450001,17.628395,15875000
79,2018-09-25,20.51,20.73,20.4,20.58,17.740458,8262000
80,2018-09-26,20.65,20.84,20.42,20.540001,17.705978,4902300
81,2018-09-27,20.549999,20.549999,20.360001,20.450001,17.628395,8907300
82,2018-09-28,20.450001,20.559999,20.26,20.299999,17.49909,6327400
83,2018-10-01,20.379999,20.809999,20.23,20.43,17.611153,5738200
84,2018-10-02,20.459999,20.709999,20.290001,20.41,17.593914,5043400
85,2018-10-03,20.450001,20.65,20.18,20.42,17.602535,4110800
86,2018-10-04,20.379999,20.459999,19.959999,19.969999,17.214621,8913000
87,2018-10-05,20.0,20.09,18.610001,18.82,16.223295,16045000
88,2018-10-08,18.65,19.379999,18.58,19.309999,16.645687,8097000
89,2018-10-09,19.33,19.33,18.6,18.719999,16.137094,6213200
90,2018-10-10,18.690001,18.719999,18.049999,18.07,15.576778,8938600
91,2018-10-11,18.0,18.1,17.57,17.67,15.23197,9018700
92,2018-10-12,18.059999,18.120001,17.280001,17.52,15.102664,6952700
93,2018-10-15,17.35,17.75,17.290001,17.43,15.025083,10435000
94,2018-10-16,17.52,18.07,17.07,18.0,15.516438,9173400
95,2018-10-17,17.889999,18.24,17.700001,17.75,15.300931,9681200
96,2018-10-18,17.799999,17.860001,16.51,16.610001,14.318223,13401400
97,2018-10-19,16.639999,17.299999,16.57,16.950001,14.611312,12178700
98,2018-10-22,17.1,17.32,16.32,16.32,14.068235,10522400
99,2018-10-23,16.15,16.57,15.93,16.43,14.163057,10612700
100,2018-10-24,16.620001,16.84,15.88,15.94,13.740666,14473500
101,2018-10-25,16.09,16.67,16.059999,16.4,14.137196,9140500
102,2018-10-26,16.16,16.200001,15.38,15.63,13.473439,11476000
103,2018-10-29,15.81,16.02,15.12,15.4,13.275172,9230300
104,2018-10-30,15.44,16.030001,15.4,15.96,13.757907,9490500
105,2018-10-31,16.18,16.299999,15.56,15.88,13.688944,10693900
106,2018-11-01,15.9,16.870001,15.75,16.549999,14.2665,16297100
107,2018-11-02,18.24,19.32,17.99,18.99,16.369843,28383000
108,2018-11-05,19.16,20.110001,19.0,19.969999,17.214621,17541500
109,2018-11-06,19.91,20.190001,19.75,19.950001,17.197382,8315900
110,2018-11-07,20.440001,20.629999,19.879999,20.17,17.387024,8912200
111,2018-11-08,20.01,20.440001,19.76,20.209999,17.421507,5444000
112,2018-11-09,20.200001,20.33,19.6,19.9,17.154285,7712000
113,2018-11-12,19.83,20.5,19.68,20.24,17.447372,10483300
114,2018-11-13,20.26,20.870001,20.24,20.530001,17.697359,10234100
115,2018-11-14,20.790001,20.809999,20.43,20.610001,17.766321,8926700
116,2018-11-15,20.68,21.559999,20.5,21.379999,18.430077,11963300
117,2018-11-16,21.129999,21.84,21.120001,21.68,18.688684,9719500
118,2018-11-19,21.66,21.9,21.219999,21.42,18.464558,11085200
119,2018-11-20,21.030001,21.620001,20.83,21.6,18.619722,11113600
120,2018-11-21,21.67,21.99,21.41,21.77,18.766266,5037900
