,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-04,64.260002,64.970001,64.089996,64.830002,60.670948,938000
1,2018-06-05,65.0,66.120003,64.830002,66.07,61.831402,947100
2,2018-06-06,66.32,67.529999,66.230003,67.529999,63.197739,1493900
3,2018-06-07,67.540001,68.099998,67.279999,68.050003,63.684391,1476500
4,2018-06-08,67.940002,69.440002,67.940002,68.910004,64.489204,1069700
5,2018-06-11,68.910004,69.370003,68.809998,68.830002,64.414345,779500
6,2018-06-12,69.029999,69.410004,68.669998,69.400002,64.947777,580600
7,2018-06-13,69.610001,70.269997,69.089996,70.07,65.574799,1090100
8,2018-06-14,70.25,70.349998,69.599998,69.93,65.443771,1117900
9,2018-06-15,69.559998,70.050003,69.220001,69.940002,65.45314,1386000
10,2018-06-18,69.459999,69.989998,69.370003,69.800003,65.322113,1451700
11,2018-06-19,69.129997,69.5,68.18,69.25,64.807388,1346500
12,2018-06-20,69.5,69.910004,69.32,69.860001,65.378273,1025300
13,2018-06-21,69.839996,69.849998,69.190002,69.529999,65.069435,917500
14,2018-06-22,69.849998,69.959999,69.410004,69.839996,65.359543,1192900
15,2018-06-25,69.43,69.43,68.019997,68.410004,64.021294,1421400
16,2018-06-26,68.360001,68.470001,67.800003,67.889999,63.534634,1180000
17,2018-06-27,67.889999,67.940002,65.779999,65.779999,61.560017,1233700
18,2018-06-28,65.510002,65.599998,63.990002,64.779999,60.624153,1912600
19,2018-06-29,65.150002,65.830002,64.849998,65.099998,60.92363,1359800
20,2018-07-02,64.550003,65.489998,64.300003,65.449997,61.251179,1100100
21,2018-07-03,65.75,65.93,65.059998,65.220001,61.035934,461200
22,2018-07-05,65.68,65.690002,65.040001,65.639999,61.428982,1001100
23,2018-07-06,65.650002,66.050003,65.370003,65.879997,61.653587,798700
24,2018-07-09,66.220001,67.150002,66.220001,67.150002,62.842125,742900
25,2018-07-10,67.239998,67.269997,65.93,66.339996,62.08408,917000
26,2018-07-11,66.099998,66.860001,65.989998,66.519997,62.252533,700600
27,2018-07-12,66.959999,67.25,66.209999,67.019997,62.720463,809200
28,2018-07-13,67.019997,67.660004,66.970001,67.5,63.169666,992100
29,2018-07-16,67.5,67.889999,67.029999,67.080002,62.776619,585000
30,2018-07-17,66.949997,67.949997,66.949997,67.68,63.338116,1241400
31,2018-07-18,67.75,69.129997,66.809998,68.510002,64.114861,1701700
32,2018-07-19,68.510002,68.690002,68.029999,68.5,64.105507,700800
33,2018-07-20,67.830002,68.900002,65.699997,68.449997,64.058731,949900
34,2018-07-23,68.400002,69.220001,68.209999,69.050003,64.620224,883700
35,2018-07-24,69.559998,70.050003,68.720001,68.970001,64.545364,1738500
36,2018-07-25,72.260002,74.669998,71.110001,74.510002,69.729965,3383200
37,2018-07-26,74.82,76.589996,74.559998,75.949997,71.077568,1795500
38,2018-07-27,76.0,76.0,74.660004,75.43,70.590927,1457800
39,2018-07-30,75.43,76.129997,75.080002,75.18,70.356964,949700
40,2018-07-31,75.730003,76.190002,75.330002,75.760002,70.899757,1037900
41,2018-08-01,76.410004,77.190002,75.660004,76.440002,71.536148,1432500
42,2018-08-02,75.870003,77.779999,75.760002,77.669998,72.687225,1412300
43,2018-08-03,77.769997,77.800003,76.209999,77.230003,72.275452,1314900
44,2018-08-06,77.199997,78.870003,76.889999,78.839996,73.782166,1001600
45,2018-08-07,79.25,79.849998,78.5,79.639999,74.530846,1038100
46,2018-08-08,79.82,79.860001,79.110001,79.360001,74.268799,744500
47,2018-08-09,79.620003,79.910004,79.239998,79.480003,74.381111,842400
48,2018-08-10,78.75,79.57,78.089996,79.32,74.231369,1041100
49,2018-08-13,79.32,79.57,76.970001,77.099998,72.153786,2035700
50,2018-08-14,77.059998,77.919998,76.919998,77.870003,72.87439,1252300
51,2018-08-15,77.57,77.940002,77.019997,77.760002,72.771454,852200
52,2018-08-16,78.139999,78.870003,77.940002,78.089996,73.080284,981200
53,2018-08-17,78.059998,78.139999,76.860001,76.959999,72.022774,1415800
54,2018-08-20,77.010002,77.220001,76.650002,77.029999,72.088287,1054600
