,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-04,21.540001,22.83,21.43,22.709999,22.709999,9487900
1,2018-06-05,22.719999,23.58,22.299999,23.530001,23.530001,9431000
2,2018-06-06,23.629999,24.610001,23.459999,24.25,24.25,14177800
3,2018-06-07,24.450001,24.690001,23.299999,23.57,23.57,9181900
4,2018-06-08,23.5,24.35,23.33,24.309999,24.309999,6039400
5,2018-06-11,24.290001,24.450001,23.950001,24.1,24.1,5258400
6,2018-06-12,24.110001,24.25,23.84,24.0,24.0,6942200
7,2018-06-13,24.0,24.18,23.549999,23.620001,23.620001,4733600
8,2018-06-14,23.6,23.940001,23.17,23.469999,23.469999,5293700
9,2018-06-15,23.07,23.780001,22.98,23.209999,23.209999,6653300
10,2018-06-18,22.969999,23.379999,22.110001,23.309999,23.309999,6622700
11,2018-06-19,22.9,23.120001,22.4,22.620001,22.620001,5635500
12,2018-06-20,22.91,23.209999,22.5,23.110001,23.110001,3712900
13,2018-06-21,22.99,23.4,22.75,22.76,22.76,2584500
14,2018-06-22,22.92,22.959999,22.360001,22.379999,22.379999,4240900
15,2018-06-25,22.110001,22.49,21.73,22.309999,22.309999,3748000
16,2018-06-26,22.34,22.889999,22.219999,22.6,22.6,4705900
17,2018-06-27,22.66,23.42,22.51,22.809999,22.809999,5940100
18,2018-06-28,22.74,23.440001,22.58,23.41,23.41,4329500
19,2018-06-29,23.84,24.42,22.459999,22.48,22.48,6601100
20,2018-07-02,22.290001,22.799999,21.969999,22.52,22.52,4331000
21,2018-07-03,22.620001,22.860001,22.42,22.52,22.52,2077200
22,2018-07-05,22.559999,22.67,21.809999,22.07,22.07,4117200
23,2018-07-06,22.1,22.58,22.030001,22.26,22.26,2711300
24,2018-07-09,22.370001,22.440001,21.74,22.280001,22.280001,3253200
25,2018-07-10,22.309999,22.629999,22.129999,22.57,22.57,3081400
26,2018-07-11,22.25,22.620001,22.08,22.190001,22.190001,3158100
27,2018-07-12,22.27,22.309999,21.82,21.91,21.91,3835300
28,2018-07-13,21.84,22.01,21.139999,21.49,21.49,5942200
29,2018-07-16,21.5,21.719999,21.27,21.559999,21.559999,4256700
30,2018-07-17,21.48,21.809999,21.41,21.51,21.51,3388300
31,2018-07-18,21.559999,21.9,21.469999,21.809999,21.809999,3308700
