,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-04,20.110001,20.440001,20.09,20.360001,17.76833,3227900
1,2018-06-05,20.440001,20.82,20.4,20.620001,17.99523,9626000
2,2018-06-06,20.690001,20.950001,20.59,20.950001,18.283226,3543000
3,2018-06-07,20.940001,21.040001,20.68,20.780001,18.134867,3698400
4,2018-06-08,20.75,20.92,20.65,20.809999,18.161047,4232500
5,2018-06-11,20.82,20.959999,20.77,20.889999,18.23086,6489600
6,2018-06-12,20.91,21.17,20.9,21.1,18.414131,4685800
7,2018-06-13,21.1,21.120001,20.889999,20.969999,18.300678,3833000
8,2018-06-14,20.889999,21.129999,20.65,20.66,18.194994,4724900
9,2018-06-15,20.639999,20.719999,20.42,20.690001,18.221418,5742800
10,2018-06-18,20.59,20.91,20.59,20.76,18.283064,3977500
11,2018-06-19,20.58,21.040001,20.549999,21.0,18.494427,5695800
12,2018-06-20,21.01,21.370001,21.0,21.18,18.652954,7243500
13,2018-06-21,21.219999,21.370001,21.040001,21.08,18.564886,2932300
14,2018-06-22,21.190001,21.27,21.1,21.139999,18.617729,4130400
15,2018-06-25,21.0,21.02,20.639999,20.780001,18.30068,3934100
16,2018-06-26,20.799999,20.870001,20.610001,20.620001,18.159771,4446900
17,2018-06-27,20.66,20.73,20.299999,20.309999,17.886755,4178100
18,2018-06-28,20.24,20.4,20.120001,20.299999,17.877951,4466900
19,2018-06-29,20.32,20.48,20.24,20.33,17.904371,3382000
20,2018-07-02,20.23,20.450001,20.120001,20.440001,18.001244,3034800
21,2018-07-03,20.5,20.530001,20.09,20.110001,17.710619,2162500
22,2018-07-05,20.16,20.34,19.99,20.299999,17.877951,4133900
23,2018-07-06,20.309999,20.459999,20.209999,20.25,17.833918,3277000
24,2018-07-09,20.26,20.379999,20.17,20.299999,17.877951,3815200
25,2018-07-10,20.280001,20.49,20.26,20.440001,18.001244,3292000
26,2018-07-11,20.379999,20.5,20.299999,20.299999,17.877951,2454400
27,2018-07-12,20.41,20.459999,20.190001,20.41,17.974823,2319700
28,2018-07-13,20.41,20.43,20.25,20.360001,17.930792,2668800
29,2018-07-16,20.370001,20.450001,20.17,20.27,17.851526,2412800
30,2018-07-17,20.040001,20.469999,20.040001,20.4,17.966019,3899700
31,2018-07-18,20.35,20.42,19.99,20.16,17.754654,5118400
32,2018-07-19,20.110001,20.309999,20.09,20.290001,17.869146,3821800
33,2018-07-20,20.280001,20.360001,20.209999,20.280001,17.860334,2744600
34,2018-07-23,20.280001,20.32,20.200001,20.209999,17.798687,2247800
35,2018-07-24,20.280001,20.32,20.09,20.219999,17.807495,4437400
36,2018-07-25,20.18,20.41,20.15,20.389999,17.957212,3464900
37,2018-07-26,20.370001,20.6,20.309999,20.4,17.966019,2441600
38,2018-07-27,20.42,20.51,20.129999,20.26,17.84272,2390700
39,2018-07-30,20.26,20.27,19.92,20.110001,17.710619,3714100
40,2018-07-31,20.139999,20.23,19.969999,20.16,17.754654,5598100
41,2018-08-01,20.15,20.41,19.99,20.15,17.745848,5025400
42,2018-08-02,20.110001,20.799999,20.059999,20.59,18.13335,8278200
43,2018-08-03,19.51,19.84,19.110001,19.4,17.085331,15753900
44,2018-08-06,19.379999,19.450001,18.950001,19.08,16.803511,9558500
45,2018-08-07,19.07,19.35,19.07,19.17,16.882774,7536200
46,2018-08-08,19.190001,19.27,19.120001,19.15,16.865158,5381600
47,2018-08-09,19.15,19.200001,18.889999,18.92,16.662601,3612300
48,2018-08-10,18.799999,18.92,18.73,18.84,16.592148,4367200
49,2018-08-13,18.85,18.85,18.559999,18.75,16.512886,3684200
50,2018-08-14,18.77,18.91,18.719999,18.809999,16.565723,3855900
51,2018-08-15,18.719999,19.030001,18.67,18.9,16.644991,6612500
52,2018-08-16,19.01,19.139999,18.82,18.860001,16.60976,5382400
53,2018-08-17,18.780001,19.200001,18.780001,18.91,16.653795,5583200
54,2018-08-20,18.92,19.1,18.879999,18.969999,16.706636,3985200
55,2018-08-21,18.99,19.08,18.84,18.889999,16.636181,3760600
56,2018-08-22,18.879999,19.120001,18.84,18.969999,16.706636,3214500
57,2018-08-23,19.0,19.059999,18.799999,18.889999,16.636181,3229200
58,2018-08-24,18.93,18.93,18.77,18.82,16.57453,3039500
