,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,37.279999,40.630001,37.220001,39.299999,39.299999,4513000
1,2020-06-04,41.0,43.41,39.57,42.32,42.32,6768600
2,2020-06-05,47.84,48.66,41.810001,42.720001,42.720001,9437000
3,2020-06-08,45.900002,50.810001,45.25,50.240002,50.240002,13224900
4,2020-06-09,48.060001,48.48,44.009998,46.099998,46.099998,7384400
5,2020-06-10,44.259998,44.259998,39.810001,41.48,41.48,8580800
6,2020-06-11,36.110001,38.130001,35.18,35.59,35.59,6825300
7,2020-06-12,39.720001,39.799999,36.330002,38.470001,38.470001,6102200
8,2020-06-15,35.619999,38.57,35.380001,37.77,37.77,5526300
9,2020-06-16,40.509998,40.799999,37.77,38.209999,38.209999,5076300
10,2020-06-17,37.610001,38.169998,36.75,37.41,37.41,2490200
11,2020-06-18,36.580002,37.84,36.130001,37.450001,37.450001,3391200
12,2020-06-19,38.330002,38.349998,35.509998,36.290001,36.290001,3873100
13,2020-06-22,35.5,36.790001,35.23,36.470001,36.470001,2919200
14,2020-06-23,36.869999,37.0,35.630001,36.830002,36.830002,2825100
15,2020-06-24,36.080002,36.34,34.299999,34.389999,34.389999,3475500
16,2020-06-25,33.240002,35.68,33.0,35.48,35.48,3049700
17,2020-06-26,35.450001,35.650002,33.509998,34.299999,34.299999,3578700
18,2020-06-29,34.73,37.119999,34.060001,36.91,36.91,3558300
19,2020-06-30,36.439999,36.810001,35.32,36.259998,36.259998,3098800
20,2020-07-01,37.18,38.290001,35.5,35.700001,35.700001,3146800
21,2020-07-02,37.200001,37.490002,36.27,36.490002,36.490002,2753500
22,2020-07-06,37.34,37.900002,36.029999,37.080002,37.080002,2133100
23,2020-07-07,36.220001,36.549999,35.650002,36.099998,36.099998,2687500
24,2020-07-08,35.599998,36.34,35.169998,36.259998,36.259998,2143200
25,2020-07-09,36.0,36.119999,34.380001,34.439999,34.439999,2178000
26,2020-07-10,34.0,36.040001,33.619999,35.73,35.73,2016300
27,2020-07-13,35.950001,36.130001,34.630001,34.880001,34.880001,2248700
28,2020-07-14,34.27,35.849998,34.130001,35.490002,35.490002,1734500
29,2020-07-15,37.580002,38.939999,36.889999,38.759998,38.759998,3519600
30,2020-07-16,37.77,38.23,36.810001,37.279999,37.279999,1743700
31,2020-07-17,37.25,37.52,36.580002,37.0,37.0,1140700
32,2020-07-20,36.619999,37.32,35.560001,35.889999,35.889999,1892700
33,2020-07-21,35.889999,36.689999,35.75,36.200001,36.200001,1644100
34,2020-07-22,35.919998,37.310001,35.720001,36.299999,36.299999,1781100
35,2020-07-23,36.450001,37.950001,34.849998,36.669998,36.669998,3276500
36,2020-07-24,35.639999,36.380001,34.68,35.060001,35.060001,2781100
37,2020-07-27,35.02,35.439999,33.880001,34.150002,34.150002,2128900
38,2020-07-28,33.93,35.48,33.84,35.0,35.0,2243500
39,2020-07-29,35.119999,35.349998,34.299999,34.759998,34.759998,1521300
40,2020-07-30,34.099998,35.0,33.889999,34.66,34.66,1695100
41,2020-07-31,34.209999,34.59,33.650002,34.439999,34.439999,2226000
42,2020-08-03,34.09,34.610001,33.220001,34.0,34.0,2632900
43,2020-08-04,34.009998,35.02,33.950001,34.299999,34.299999,2277000
44,2020-08-05,35.389999,36.040001,34.41,35.759998,35.759998,3037600
45,2020-08-06,35.75,36.689999,35.330002,36.419998,36.419998,2586200
46,2020-08-07,36.0,36.630001,35.790001,36.610001,36.610001,1588500
47,2020-08-10,36.98,39.470001,36.959999,39.25,39.25,3807200
48,2020-08-11,40.900002,41.049999,38.669998,38.98,38.98,3604100
49,2020-08-12,39.529999,39.740002,37.57,38.459999,38.459999,2185200
50,2020-08-13,37.799999,38.959999,37.549999,37.790001,37.790001,1802700
51,2020-08-14,37.060001,38.049999,36.849998,37.68,37.68,1872000
52,2020-08-17,37.48,37.630001,36.169998,36.259998,36.259998,2085400
53,2020-08-18,36.549999,36.849998,35.830002,36.189999,36.189999,1456800
54,2020-08-19,36.32,37.610001,35.779999,35.849998,35.849998,1966900
55,2020-08-20,35.5,35.990002,35.040001,35.77,35.77,1362800
56,2020-08-21,35.849998,36.25,35.389999,35.43,35.43,1370100
57,2020-08-24,35.77,37.700001,35.439999,37.52,37.52,2584600
58,2020-08-25,38.18,38.48,36.75,37.709999,37.709999,2345200
59,2020-08-26,37.52,37.709999,36.599998,36.689999,36.689999,1617000
60,2020-08-27,37.900002,39.43,37.689999,38.5,38.5,3452600
61,2020-08-28,39.049999,40.740002,38.560001,40.73,40.73,3823800
62,2020-08-31,40.400002,40.650002,38.900002,38.950001,38.950001,2831400
63,2020-09-01,38.099998,40.060001,37.82,39.150002,39.150002,2281500
64,2020-09-02,39.23,40.560001,38.77,40.470001,40.470001,2375600
65,2020-09-03,41.029999,42.389999,39.259998,40.389999,40.389999,3143500
66,2020-09-04,41.32,41.82,39.380001,40.82,40.82,3242200
67,2020-09-08,40.169998,42.57,40.060001,41.599998,41.599998,2915000
68,2020-09-09,40.700001,41.27,39.68,40.669998,40.669998,2248700
69,2020-09-10,41.290001,41.669998,40.810001,40.889999,40.889999,2018800
70,2020-09-11,40.759998,40.880001,39.77,40.330002,40.330002,2445600
71,2020-09-14,40.799999,41.630001,40.439999,41.509998,41.509998,1966800
72,2020-09-15,41.689999,42.470001,41.400002,42.18,42.18,1725100
73,2020-09-16,42.130001,43.939999,41.57,43.119999,43.119999,2406300
74,2020-09-17,42.490002,43.560001,41.93,42.150002,42.150002,1743400
75,2020-09-18,41.619999,41.900002,40.439999,41.040001,41.040001,3010800
76,2020-09-21,39.360001,39.799999,37.540001,37.639999,37.639999,2862500
77,2020-09-22,37.849998,38.470001,37.52,37.880001,37.880001,1853000
78,2020-09-23,38.349998,38.84,36.810001,36.860001,36.860001,2097400
79,2020-09-24,36.540001,36.59,34.830002,35.700001,35.700001,3326000
80,2020-09-25,35.490002,36.900002,35.400002,36.700001,36.700001,1767600
81,2020-09-28,37.59,38.259998,36.740002,37.540001,37.540001,2922800
82,2020-09-29,37.400002,37.419998,36.279999,36.669998,36.669998,1743500
83,2020-09-30,37.59,38.27,36.48,36.630001,36.630001,1922300
84,2020-10-01,37.09,37.209999,36.23,36.91,36.91,1858700
85,2020-10-02,35.599998,38.150002,35.310001,37.52,37.52,3904400
86,2020-10-05,37.919998,38.0,36.869999,37.57,37.57,1987500
87,2020-10-06,38.220001,38.439999,36.060001,36.09,36.09,2041000
88,2020-10-07,37.209999,37.639999,36.799999,37.02,37.02,2102900
89,2020-10-08,37.73,39.459999,37.619999,38.630001,38.630001,3650600
90,2020-10-09,38.23,39.099998,37.919998,38.689999,38.689999,2633500
91,2020-10-12,38.32,38.59,37.82,38.41,38.41,2139600
92,2020-10-13,38.220001,38.650002,37.810001,38.0,38.0,1941000
