,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,76.0,76.139999,75.099998,75.139999,74.077003,1095000
1,2020-06-04,74.800003,75.860001,73.830002,74.269997,73.219315,866800
2,2020-06-05,73.769997,74.400002,72.440002,73.790001,72.746101,1906800
3,2020-06-08,72.879997,74.889999,72.760002,74.75,73.69252,1219800
4,2020-06-09,74.879997,75.440002,74.190002,74.93,73.869972,1076700
5,2020-06-10,75.160004,76.300003,74.699997,75.5,74.431908,1422600
6,2020-06-11,75.5,76.980003,74.400002,74.419998,73.36718,1549900
7,2020-06-12,74.580002,75.080002,72.82,73.080002,72.046143,1173100
8,2020-06-15,72.639999,74.110001,72.029999,73.870003,72.824966,1056300
9,2020-06-16,74.889999,75.209999,73.900002,74.739998,73.682655,927900
10,2020-06-17,75.160004,76.199997,75.120003,75.370003,74.303757,1274800
11,2020-06-18,77.0,78.050003,76.400002,77.82,76.719086,2188000
12,2020-06-19,78.870003,79.089996,77.389999,77.519997,76.423332,2877900
13,2020-06-22,77.370003,77.970001,77.110001,77.550003,76.452911,1031000
14,2020-06-23,77.900002,78.309998,77.059998,77.110001,76.019135,1329100
15,2020-06-24,77.040001,77.110001,75.849998,76.25,75.171303,1337900
16,2020-06-25,76.459999,76.82,75.43,76.739998,75.654366,804000
17,2020-06-26,76.970001,77.480003,76.059998,76.150002,75.072716,2134000
18,2020-06-29,76.739998,76.970001,76.019997,76.720001,75.634651,1159700
19,2020-06-30,76.800003,77.480003,76.400002,77.300003,76.206451,1600700
20,2020-07-01,77.5,78.279999,77.309998,77.900002,76.797966,1308400
21,2020-07-02,78.389999,78.849998,77.82,78.290001,77.182442,1059400
22,2020-07-06,79.0,79.239998,77.57,77.860001,76.758522,1327100
23,2020-07-07,77.639999,79.239998,77.559998,79.050003,77.931694,1258700
24,2020-07-08,78.959999,80.300003,78.82,80.260002,79.124573,1652800
25,2020-07-09,80.279999,81.870003,80.269997,81.730003,80.573776,2166500
26,2020-07-10,81.610001,83.040001,81.099998,82.779999,81.608925,1689000
27,2020-07-13,82.879997,84.790001,81.760002,82.129997,80.968124,2579900
28,2020-07-14,82.059998,84.5,82.059998,84.480003,83.284874,2109200
29,2020-07-15,84.480003,85.309998,83.889999,84.599998,83.403175,1397100
30,2020-07-16,83.389999,84.660004,81.739998,84.199997,83.008835,1851500
31,2020-07-17,84.629997,85.360001,84.209999,84.870003,83.66935,3644900
32,2020-07-20,84.699997,85.07,83.900002,84.290001,83.097549,1189200
33,2020-07-21,84.730003,85.400002,83.730003,84.5,83.304588,1478100
34,2020-07-22,84.900002,85.160004,83.959999,85.139999,83.935539,1232500
35,2020-07-23,85.779999,86.949997,85.699997,86.220001,85.000259,1481300
