,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,24.469999,24.956667,24.333332,24.889999,24.523846,11758500
1,2020-06-04,24.700001,24.826668,24.566668,24.68,24.316935,9408900
2,2020-06-05,25.316668,25.636667,24.976667,25.026667,24.658503,17776200
3,2020-06-08,24.940001,25.33,24.606667,24.776667,24.41218,13896000
4,2020-06-09,24.523333,24.74,24.353333,24.553333,24.192133,10312500
5,2020-06-10,24.553333,24.709999,24.120001,24.43,24.070612,12241500
6,2020-06-11,23.926666,24.133333,22.74,22.763332,22.428465,14913000
7,2020-06-12,23.503332,23.556667,22.686666,23.190001,22.848856,12513600
8,2020-06-15,22.636667,23.52,22.48,23.383333,23.039343,11766900
9,2020-06-16,24.186666,24.190001,23.193333,23.453333,23.108313,11663700
10,2020-06-17,23.690001,23.690001,23.276667,23.299999,22.957237,9175800
11,2020-06-18,23.08,23.373333,23.026667,23.156668,22.816011,8368500
12,2020-06-19,23.466667,23.49,22.583332,22.663334,22.329935,21278100
13,2020-06-22,22.583332,22.889999,22.356667,22.866667,22.530277,9680100
14,2020-06-23,23.106667,23.286667,22.916668,23.143333,22.802874,9317100
15,2020-06-24,22.809999,22.953333,22.48,22.5,22.169004,11214600
16,2020-06-25,22.440001,22.783333,22.136667,22.74,22.405476,8755800
17,2020-06-26,22.666668,22.763332,21.790001,21.969999,21.646799,28192200
18,2020-06-29,22.190001,22.84,22.113333,22.833332,22.497433,10683300
19,2020-06-30,22.719999,23.436666,22.663334,23.246668,22.90469,10864200
20,2020-07-01,23.286667,23.43,22.623333,22.746668,22.412045,9850200
21,2020-07-02,23.053333,23.293333,22.893333,22.953333,22.615669,7629600
22,2020-07-06,23.243334,23.559999,23.23,23.416668,23.072189,8323200
23,2020-07-07,23.143333,23.343332,22.783333,22.84,22.504002,8724000
24,2020-07-08,22.879999,23.083332,22.723333,23.033333,22.69449,8927400
25,2020-07-09,22.763332,23.016666,22.493334,22.620001,22.287239,12826200
26,2020-07-10,22.563334,22.696667,22.386667,22.513332,22.18214,11002500
27,2020-07-13,22.736668,23.323334,22.526667,22.879999,22.543415,12059400
28,2020-07-14,22.686666,23.15,22.6,23.113333,22.773315,11623500
29,2020-07-15,23.5,23.673332,23.126667,23.553333,23.206842,13189500
30,2020-07-16,23.43,23.956667,23.4,23.690001,23.341499,8338800
31,2020-07-17,23.883333,24.15,23.666668,24.053333,23.699486,8843400
32,2020-07-20,23.953333,24.013332,23.626667,23.853333,23.502426,8920500
33,2020-07-21,23.973333,24.196667,23.866667,24.143333,23.788162,7594500
