,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,36.23,39.52,35.669998,38.880001,38.880001,7459100
1,2020-06-04,41.419998,43.84,38.619999,42.939999,42.939999,10120900
2,2020-06-05,46.150002,47.18,42.560001,43.77,43.77,8989100
3,2020-06-08,45.09,45.93,44.139999,44.810001,44.810001,7280300
4,2020-06-09,42.790001,44.189999,41.68,42.529999,42.529999,5167300
5,2020-06-10,41.419998,42.172001,35.810001,39.860001,39.860001,10571700
6,2020-06-11,35.0,37.18,33.0,33.255001,33.255001,10485600
7,2020-06-12,37.470001,37.59,34.145,36.779999,36.779999,6560700
8,2020-06-15,34.0,39.209999,33.650002,38.439999,38.439999,6244000
9,2020-06-16,41.25,42.419998,39.400002,40.790001,40.790001,12386100
10,2020-06-17,41.91,44.950001,41.09,43.130001,43.130001,20334600
11,2020-06-18,42.009998,42.75,40.66,40.77,40.77,7627800
12,2020-06-19,41.41,43.5,40.529999,42.009998,42.009998,13600000
13,2020-06-22,41.799999,41.98,38.910999,41.25,41.25,9744800
14,2020-06-23,42.23,44.57,41.93,43.994999,43.994999,6729300
15,2020-06-24,42.610001,43.380001,40.25,41.16,41.16,11244700
16,2020-06-25,40.029999,41.459999,37.035,38.599998,38.599998,8955900
17,2020-06-26,38.400002,40.0,35.279999,36.150002,36.150002,12518600
18,2020-06-29,36.720001,40.200001,35.25,39.59,39.59,6907100
19,2020-06-30,39.040001,40.419998,38.299999,40.060001,40.060001,4074000
20,2020-07-01,40.650002,43.27,39.450001,40.860001,40.860001,5446900
21,2020-07-02,42.470001,43.07,40.240002,41.200001,41.200001,4848400
22,2020-07-06,42.106998,42.73,39.049999,39.529999,39.529999,4507500
23,2020-07-07,38.82,39.759998,34.669998,38.029999,38.029999,8577500
24,2020-07-08,38.259998,40.439999,36.580002,39.75,39.75,4529400
25,2020-07-09,40.5,41.639999,38.560001,40.950001,40.950001,5043000
26,2020-07-10,40.389999,41.0,39.400002,40.150002,40.150002,5231000
27,2020-07-13,40.630001,41.82,38.77,39.0,39.0,6142000
28,2020-07-14,39.169998,40.679001,38.529999,40.110001,40.110001,4487400
29,2020-07-15,42.5,42.650002,40.870998,42.029999,42.029999,10815900
30,2020-07-16,41.25,41.549999,40.5,40.77,40.77,8689900
31,2020-07-17,39.5,39.599998,37.898998,38.0,38.0,18394000
32,2020-07-20,38.240002,38.689999,35.580002,38.240002,38.240002,15497300
33,2020-07-21,38.900002,39.5,37.66,38.400002,38.400002,7973200
34,2020-07-22,37.509998,38.400002,36.970001,38.240002,38.240002,11085300
35,2020-07-23,37.470001,38.150002,34.759998,36.580002,36.580002,26815500
36,2020-07-24,36.200001,36.200001,33.619999,33.75,33.75,9186700
37,2020-07-27,32.52,32.869999,29.059999,29.74,29.74,15883300
38,2020-07-28,29.559999,31.530001,29.389999,30.27,30.27,8635400
39,2020-07-29,31.929001,33.529999,31.299999,33.52,33.52,7010100
40,2020-07-30,32.689999,34.34,32.310001,33.369999,33.369999,3920600
41,2020-07-31,33.400002,33.639999,30.799999,31.049999,31.049999,5589200
42,2020-08-03,30.67,32.73,30.25,32.220001,32.220001,3588700
43,2020-08-04,32.220001,34.200001,32.16,33.93,33.93,3414100
44,2020-08-05,34.459999,35.630001,33.360001,35.540001,35.540001,3847500
45,2020-08-06,35.400002,38.470001,35.299999,37.75,37.75,6886300
46,2020-08-07,37.799999,38.889999,36.130001,37.07,37.07,6729800
47,2020-08-10,38.75,39.299999,37.75,38.27,38.27,6280000
48,2020-08-11,39.5,40.330002,37.59,37.880001,37.880001,6188600
49,2020-08-12,38.619999,39.009998,36.779999,37.16,37.16,3978000
50,2020-08-13,37.849998,41.040001,37.439999,39.459999,39.459999,7061800
51,2020-08-14,39.200001,41.438999,38.286999,41.32,41.32,5042700
52,2020-08-17,41.32,42.330002,40.009998,41.560001,41.560001,5538200
53,2020-08-18,41.830002,42.919998,41.049999,42.720001,42.720001,3755000
54,2020-08-19,42.779999,44.689999,42.75,44.044998,44.044998,6340900
55,2020-08-20,43.400002,46.154999,43.119999,46.0,46.0,5763700
56,2020-08-21,45.389999,46.57,44.029999,44.700001,44.700001,5738400
57,2020-08-24,45.470001,46.169998,44.029999,44.720001,44.720001,4124100
58,2020-08-25,44.689999,45.310001,43.549999,43.860001,43.860001,2955500
