,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,41.48,42.27,41.07,42.060001,40.581432,3760600
1,2020-06-04,41.919998,42.709999,41.330002,41.700001,40.234081,4377500
2,2020-06-05,42.060001,42.889999,41.779999,42.66,41.160332,6166500
3,2020-06-08,42.380001,43.189999,42.150002,42.880001,41.372604,4388100
4,2020-06-09,42.310001,43.119999,42.220001,42.860001,41.353302,3280300
5,2020-06-10,43.0,43.200001,42.34,42.490002,40.996311,3439500
6,2020-06-11,42.029999,42.09,40.59,40.639999,39.211346,3806000
7,2020-06-12,41.48,41.48,39.349998,40.060001,38.651737,4193300
8,2020-06-15,39.639999,40.73,39.150002,40.709999,39.278889,4988100
9,2020-06-16,41.799999,42.09,40.91,41.810001,40.340218,4664800
10,2020-06-17,42.040001,42.369999,41.700001,42.060001,40.581432,3116600
11,2020-06-18,41.880001,42.290001,41.610001,41.990002,40.513885,3085700
12,2020-06-19,42.41,42.650002,41.290001,41.59,40.127949,7914500
13,2020-06-22,41.5,42.209999,41.07,41.98,40.504238,2648000
14,2020-06-23,42.93,42.93,42.209999,42.23,40.745449,3017600
15,2020-06-24,41.77,42.25,41.290001,41.34,39.886738,3490200
16,2020-06-25,41.330002,41.84,40.900002,41.669998,40.205132,3289600
17,2020-06-26,41.509998,41.779999,40.439999,40.990002,39.549042,4439500
18,2020-06-29,41.27,42.209999,41.25,41.919998,40.446346,3870000
19,2020-06-30,41.700001,43.139999,41.459999,42.84,41.334003,4725400
20,2020-07-01,43.02,43.18,42.619999,43.009998,41.498024,4474000
21,2020-07-02,43.68,44.259998,43.540001,44.040001,42.491821,5302500
22,2020-07-06,44.560001,44.790001,43.860001,44.220001,42.665497,4759900
23,2020-07-07,44.18,44.650002,43.950001,44.060001,42.51112,4744700
24,2020-07-08,44.029999,44.119999,42.57,43.02,41.507679,4721900
25,2020-07-09,42.959999,43.360001,42.66,43.099998,41.584869,5020400
26,2020-07-10,43.02,43.209999,42.380001,43.029999,41.517326,3704300
27,2020-07-13,43.34,44.279999,43.32,43.380001,41.855026,5117900
28,2020-07-14,43.860001,45.0,42.459999,43.400002,41.874325,7453100
29,2020-07-15,43.619999,44.27,42.639999,44.02,42.472523,5838800
30,2020-07-16,44.0,44.150002,43.209999,43.5,41.970802,3860100
31,2020-07-17,43.619999,44.59,43.529999,44.200001,42.646198,4992100
32,2020-07-20,44.130001,45.029999,44.0,44.84,43.263699,2979000
33,2020-07-21,45.110001,45.700001,45.060001,45.540001,43.939091,5431300
34,2020-07-22,45.650002,45.990002,45.41,45.84,44.228542,3435200
35,2020-07-23,45.950001,46.540001,45.700001,45.77,44.161007,4063100
36,2020-07-24,45.73,46.16,45.400002,45.740002,44.132061,3401200
37,2020-07-27,45.580002,46.439999,45.580002,46.220001,44.840267,3618600
38,2020-07-28,45.91,46.009998,45.34,45.369999,44.01564,2654300
39,2020-07-29,45.639999,46.830002,45.450001,46.549999,45.160412,3375200
40,2020-07-30,45.91,47.02,45.720001,46.91,45.50967,3262200
41,2020-07-31,47.060001,47.07,46.150002,47.040001,45.635792,4397300
42,2020-08-03,47.369999,47.959999,47.25,47.459999,46.043251,3547600
43,2020-08-04,47.18,47.59,47.110001,47.529999,46.111164,4427600
44,2020-08-05,47.540001,48.209999,47.490002,48.060001,46.625343,2156200
45,2020-08-06,47.200001,48.02,47.110001,47.939999,46.508923,2772500
46,2020-08-07,47.889999,48.509998,47.650002,48.450001,47.0037,2655400
47,2020-08-10,48.419998,48.59,47.73,47.93,46.499222,2665100
48,2020-08-11,48.18,48.369999,47.259998,47.389999,45.975346,4373600
49,2020-08-12,47.580002,48.48,47.509998,48.139999,46.702953,2949900
50,2020-08-13,48.049999,48.380001,47.82,48.009998,46.576832,2261800
51,2020-08-14,47.759998,48.34,47.650002,47.990002,46.557434,2044600
52,2020-08-17,48.049999,48.48,47.959999,48.240002,46.799965,2258600
53,2020-08-18,48.330002,48.549999,48.049999,48.07,46.635044,2514200
54,2020-08-19,48.23,48.549999,47.889999,48.02,46.586533,2103600
55,2020-08-20,47.799999,48.290001,47.650002,48.200001,46.761162,1854200
