,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,20.9,21.51,20.809999,21.360001,20.148479,8661000
1,2020-06-04,21.309999,22.719999,20.98,22.709999,21.421909,8489700
2,2020-06-05,24.0,24.92,23.280001,23.49,22.157669,11003400
3,2020-06-08,24.469999,24.93,24.129999,24.77,23.36507,12236600
4,2020-06-09,23.83,24.41,23.49,24.08,22.714205,8835800
5,2020-06-10,23.389999,23.67,22.35,22.4,21.12949,19357000
6,2020-06-11,20.57,21.5,19.67,19.75,18.629799,10834700
7,2020-06-12,21.02,21.18,20.059999,20.809999,19.629673,7169200
8,2020-06-15,19.719999,21.639999,19.59,21.459999,20.242805,10503700
9,2020-06-16,22.799999,22.889999,21.41,22.040001,20.789913,7253700
10,2020-06-17,22.08,22.33,21.469999,21.48,20.261673,8114200
11,2020-06-18,21.219999,21.969999,21.049999,21.59,20.365433,8145900
12,2020-06-19,22.059999,22.110001,20.76,20.790001,19.610809,31547000
13,2020-06-22,20.799999,21.35,20.52,21.02,19.827765,9928400
14,2020-06-23,21.5,21.780001,21.07,21.08,19.884361,8007800
15,2020-06-24,20.58,20.65,19.74,19.889999,18.761856,8176000
16,2020-06-25,19.77,20.59,19.629999,20.5,19.337259,6996900
17,2020-06-26,19.959999,20.0,18.68,18.76,17.695951,10954500
18,2020-06-29,18.879999,19.15,18.48,18.74,17.935213,6993400
19,2020-06-30,18.52,19.459999,18.469999,19.280001,18.452024,8561400
20,2020-07-01,19.309999,19.309999,18.4,18.43,17.638527,7287900
21,2020-07-02,19.030001,19.360001,18.51,18.57,17.772512,8235200
22,2020-07-06,19.110001,19.389999,18.610001,18.860001,18.050062,5248900
23,2020-07-07,18.6,18.6,17.969999,18.059999,17.284414,6953600
24,2020-07-08,18.01,18.34,17.719999,18.139999,17.360979,6958000
25,2020-07-09,18.040001,18.1,17.280001,17.389999,16.643188,4676300
26,2020-07-10,17.43,18.42,17.4,18.389999,17.600245,6239600
27,2020-07-13,18.780001,19.049999,18.15,18.700001,17.896931,8050900
28,2020-07-14,18.690001,18.709999,17.969999,18.15,17.37055,7012600
29,2020-07-15,18.780001,19.280001,18.540001,19.17,18.346745,6096100
30,2020-07-16,18.809999,19.559999,18.76,19.16,18.337177,4057100
31,2020-07-17,19.08,19.27,18.74,18.76,17.954355,5026600
32,2020-07-20,18.66,18.809999,18.43,18.450001,17.657667,4655900
33,2020-07-21,18.57,19.4,18.57,19.360001,18.528589,6667900
34,2020-07-22,19.120001,19.5,19.02,19.42,18.58601,7207600
35,2020-07-23,19.01,19.5,18.26,19.41,18.576441,7436200
36,2020-07-24,19.549999,19.879999,19.370001,19.540001,18.700857,6641500
