,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,253.300003,257.140015,250.720001,256.720001,256.720001,1396900
1,2020-06-04,251.729996,257.470001,251.410004,257.309998,257.309998,1089600
2,2020-06-05,265.26001,283.399994,263.660004,282.429993,282.429993,2112500
3,2020-06-08,282.450012,284.209991,273.790009,277.119995,277.119995,1386900
4,2020-06-09,274.809998,278.23999,270.5,276.609985,276.609985,853400
5,2020-06-10,276.769989,276.809998,270.720001,273.269989,273.269989,856500
6,2020-06-11,263.160004,265.209991,255.639999,256.420013,256.420013,1494700
7,2020-06-12,264.640015,266.950012,252.119995,258.98999,258.98999,815200
8,2020-06-15,251.25,259.619995,248.369995,258.730011,258.730011,613200
9,2020-06-16,268.690002,272.420013,259.790009,262.410004,262.410004,608800
10,2020-06-17,262.929993,264.01001,257.170013,258.25,258.25,564800
11,2020-06-18,253.860001,261.959991,251.679993,261.329987,261.329987,986500
12,2020-06-19,266.640015,267.570007,261.850006,264.320007,264.320007,1527600
13,2020-06-22,262.950012,267.630005,260.700012,264.350006,264.350006,606300
14,2020-06-23,266.730011,268.179993,263.320007,263.920013,263.920013,442700
15,2020-06-24,260.700012,261.109985,245.979996,246.389999,246.389999,1058800
16,2020-06-25,245.279999,247.960007,242.970001,246.889999,246.889999,810300
17,2020-06-26,246.029999,247.100006,237.740005,238.520004,238.520004,969200
18,2020-06-29,241.429993,246.270004,237.839996,246.149994,246.149994,496100
19,2020-06-30,245.660004,253.309998,244.5,251.529999,251.529999,779600
20,2020-07-01,251.5,256.079987,249.889999,254.690002,254.690002,609800
21,2020-07-02,257.529999,261.799988,253.910004,254.839996,254.839996,611300
22,2020-07-06,255.679993,262.019989,254.580002,256.190002,256.190002,441300
23,2020-07-07,254.460007,259.609985,251.600006,252.770004,252.770004,597600
24,2020-07-08,253.639999,257.299988,250.619995,253.639999,253.639999,862600
25,2020-07-09,259.769989,261.140015,250.610001,253.330002,253.330002,692300
26,2020-07-10,252.119995,254.119995,249.179993,253.009995,253.009995,445400
27,2020-07-13,255.360001,257.410004,247.789993,248.300003,248.300003,729500
28,2020-07-14,246.710007,249.399994,240.979996,249.100006,249.100006,587200
29,2020-07-15,253.830002,266.570007,252.949997,265.790009,265.790009,708900
30,2020-07-16,263.649994,265.929993,260.01001,260.290009,260.290009,593000
31,2020-07-17,261.429993,262.730011,256.48999,259.070007,259.070007,422200
32,2020-07-20,258.109985,260.890015,256.309998,259.450012,259.450012,368600
33,2020-07-21,261.540009,262.190002,257.25,258.160004,258.160004,438300
34,2020-07-22,258.559998,262.579987,258.440002,262.179993,262.179993,318500
35,2020-07-23,261.980011,264.119995,256.649994,259.339996,259.339996,602800
36,2020-07-24,258.130005,261.429993,255.350006,258.079987,258.079987,421000
37,2020-07-27,258.769989,259.75,256.73999,258.480011,258.480011,335300
38,2020-07-28,258.380005,261.149994,256.149994,256.220001,256.220001,417300
39,2020-07-29,257.75,266.790009,257.720001,264.76001,264.76001,422000
40,2020-07-30,260.630005,260.899994,251.330002,259.48999,259.48999,426800
41,2020-07-31,259.720001,259.720001,254.089996,258.570007,258.570007,332800
42,2020-08-03,258.649994,263.570007,255.5,263.209991,263.209991,476300
43,2020-08-04,260.769989,263.350006,257.769989,258.540009,258.540009,554000
44,2020-08-05,260.799988,268.619995,260.799988,265.290009,265.290009,544800
45,2020-08-06,265.079987,267.48999,261.130005,263.0,263.0,502200
46,2020-08-07,245.399994,248.160004,235.179993,240.610001,240.610001,1809200
47,2020-08-10,239.449997,242.149994,229.669998,236.399994,236.399994,1101300
48,2020-08-11,238.229996,240.339996,234.210007,234.759995,234.759995,1015000
49,2020-08-12,236.240005,236.729996,228.410004,230.570007,230.570007,1038700
50,2020-08-13,229.300003,235.960007,228.110001,234.630005,234.630005,938100
51,2020-08-14,235.139999,240.539993,234.119995,240.279999,240.279999,998500
52,2020-08-17,241.470001,246.660004,241.169998,245.440002,245.440002,1274100
53,2020-08-18,245.279999,246.979996,239.380005,243.699997,243.699997,800100
54,2020-08-19,243.279999,245.839996,243.199997,244.869995,244.869995,510400
55,2020-08-20,242.550003,244.300003,240.990005,241.210007,241.210007,752600
56,2020-08-21,240.279999,241.839996,235.960007,238.669998,238.669998,742000
57,2020-08-24,240.839996,241.020004,237.399994,240.089996,240.089996,586800
58,2020-08-25,241.229996,242.350006,238.0,242.350006,242.350006,518200
59,2020-08-26,242.270004,245.130005,240.149994,244.800003,244.800003,546800
60,2020-08-27,244.729996,248.020004,242.639999,248.0,248.0,682800
61,2020-08-28,248.050003,255.070007,247.679993,255.0,255.0,555400
62,2020-08-31,255.639999,257.109985,251.380005,251.449997,251.449997,808800
63,2020-09-01,251.429993,255.029999,249.679993,249.990005,249.990005,402700
64,2020-09-02,251.410004,254.779999,247.770004,253.649994,253.649994,510300
65,2020-09-03,253.690002,253.690002,241.410004,246.160004,246.160004,804700
66,2020-09-04,248.289993,249.0,237.589996,238.039993,238.039993,693500
67,2020-09-08,232.529999,237.160004,230.809998,231.910004,231.910004,925700
68,2020-09-09,235.479996,237.410004,230.990005,234.960007,234.960007,659300
69,2020-09-10,236.479996,239.630005,232.410004,233.210007,233.210007,499100
70,2020-09-11,234.710007,235.509995,228.009995,231.0,231.0,562100
71,2020-09-14,234.110001,236.309998,232.800003,235.039993,235.039993,1021500
72,2020-09-15,236.960007,239.339996,231.539993,232.320007,232.320007,986600
73,2020-09-16,232.960007,237.029999,232.220001,234.490005,234.490005,586300
74,2020-09-17,230.679993,236.320007,229.130005,235.929993,235.929993,488000
75,2020-09-18,236.550003,243.279999,235.410004,241.860001,241.860001,850800
76,2020-09-21,233.860001,237.570007,230.5,235.440002,235.440002,1109900
77,2020-09-22,236.509995,237.429993,232.600006,236.039993,236.039993,767500
78,2020-09-23,235.399994,237.649994,232.669998,234.0,234.0,762100
79,2020-09-24,232.139999,235.509995,229.440002,233.600006,233.600006,825500
80,2020-09-25,232.830002,237.300003,230.419998,236.910004,236.910004,513000
81,2020-09-28,240.830002,243.449997,239.589996,241.710007,241.710007,531100
82,2020-09-29,242.880005,243.75,240.309998,240.75,240.75,1008500
83,2020-09-30,240.339996,243.130005,235.779999,238.100006,238.100006,628400
84,2020-10-01,241.389999,243.300003,236.619995,237.179993,237.179993,508700
85,2020-10-02,232.880005,236.020004,231.399994,234.460007,234.460007,599400
86,2020-10-05,236.630005,239.139999,234.940002,238.919998,238.919998,617000
87,2020-10-06,241.059998,246.259995,236.839996,238.940002,238.940002,465500
88,2020-10-07,240.929993,241.919998,239.100006,240.899994,240.899994,382400
89,2020-10-08,241.410004,245.860001,241.410004,245.119995,245.119995,410100
90,2020-10-09,247.75,250.220001,245.020004,247.110001,247.110001,548900
91,2020-10-12,249.279999,253.990005,248.360001,251.199997,251.199997,496900
92,2020-10-13,249.990005,251.440002,247.809998,248.759995,248.759995,648800
93,2020-10-14,249.339996,252.229996,247.679993,250.190002,250.190002,525800
94,2020-10-15,246.580002,248.110001,244.669998,246.509995,246.509995,469900
95,2020-10-16,248.600006,250.110001,246.389999,249.589996,249.589996,420300
96,2020-10-19,251.130005,251.179993,239.759995,241.550003,241.550003,689300
97,2020-10-20,243.460007,246.089996,242.630005,242.830002,242.830002,327800
98,2020-10-21,242.490005,249.449997,241.800003,248.279999,248.279999,594400
99,2020-10-22,249.289993,257.799988,246.309998,256.839996,256.839996,741100
100,2020-10-23,258.799988,260.299988,256.450012,259.200012,259.200012,718600
