,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,108.82,110.0,108.32,109.230003,106.722702,2751600
1,2020-06-04,108.690002,109.150002,107.949997,108.720001,106.224403,2102100
2,2020-06-05,110.099998,111.730003,108.760002,111.489998,108.930817,3699500
3,2020-06-08,111.019997,111.989998,110.449997,111.410004,108.852661,2450800
4,2020-06-09,110.75,110.919998,109.690002,110.440002,107.90493,1662800
5,2020-06-10,110.139999,110.830002,109.18,110.120003,107.592262,2228000
6,2020-06-11,108.43,108.43,104.059998,104.230003,101.837471,3343700
7,2020-06-12,106.230003,106.809998,102.260002,104.339996,101.944939,2764900
8,2020-06-15,102.0,106.050003,101.510002,106.0,103.566833,2307100
9,2020-06-16,108.230003,108.720001,106.019997,107.370003,104.905396,2077600
10,2020-06-17,107.480003,109.75,107.410004,108.540001,106.048531,1700400
11,2020-06-18,108.110001,109.120003,107.559998,108.419998,105.931282,1340800
12,2020-06-19,109.900002,109.900002,103.550003,103.580002,101.202393,5040800
13,2020-06-22,103.870003,106.199997,103.75,105.559998,103.136932,1915700
14,2020-06-23,106.879997,107.089996,105.720001,105.760002,103.332344,1394800
15,2020-06-24,105.0,105.690002,103.540001,103.93,101.54435,2004000
16,2020-06-25,103.970001,107.150002,103.169998,106.980003,104.524345,1743900
17,2020-06-26,106.449997,107.489998,104.559998,104.75,102.345535,2585600
18,2020-06-29,105.75,105.75,104.0,105.279999,102.863365,1788400
19,2020-06-30,105.339996,107.839996,104.730003,107.370003,104.905396,1986700
20,2020-07-01,107.489998,108.220001,106.900002,107.529999,105.061722,1594600
21,2020-07-02,108.879997,109.089996,107.389999,107.889999,105.413452,1378700
22,2020-07-06,109.389999,109.720001,107.510002,107.919998,105.442749,1461900
23,2020-07-07,107.599998,108.300003,106.959999,107.349998,104.885841,1697900
24,2020-07-08,107.519997,109.120003,107.099998,109.080002,106.576149,1850400
25,2020-07-09,109.169998,109.260002,106.830002,108.230003,105.745667,940200
26,2020-07-10,108.580002,109.650002,107.889999,109.459999,106.947418,979500
27,2020-07-13,109.779999,110.589996,108.25,108.760002,106.263481,1453700
28,2020-07-14,108.779999,110.349998,108.519997,110.239998,107.709511,1026600
29,2020-07-15,111.669998,112.019997,110.449997,111.580002,109.018761,1134200
30,2020-07-16,111.470001,112.220001,111.139999,111.830002,109.263016,927400
31,2020-07-17,112.510002,113.849998,111.830002,113.690002,111.080322,1658100
32,2020-07-20,113.599998,113.910004,112.919998,113.480003,110.875145,890300
33,2020-07-21,114.620003,114.889999,113.650002,114.400002,111.774017,1247200
34,2020-07-22,113.760002,115.610001,113.760002,115.510002,112.858543,1468300
35,2020-07-23,115.580002,116.559998,114.75,115.279999,112.63382,1293700
36,2020-07-24,114.900002,115.07,114.139999,114.620003,112.442528,1008400
37,2020-07-27,114.599998,114.870003,113.220001,114.610001,112.432724,1392500
38,2020-07-28,114.489998,114.980003,113.730003,114.209999,112.040321,1435800
39,2020-07-29,113.839996,115.580002,113.150002,115.580002,113.3843,1354300
40,2020-07-30,114.220001,117.050003,113.209999,116.709999,114.492828,1721200
41,2020-07-31,118.0,118.0,115.489998,116.599998,114.384911,2093100
42,2020-08-03,116.529999,117.330002,115.68,115.82,113.619728,1723200
43,2020-08-04,115.849998,117.620003,115.650002,117.389999,115.159904,1897500
44,2020-08-05,117.269997,118.910004,117.099998,118.43,116.180145,1553500
45,2020-08-06,118.0,118.809998,117.43,118.769997,116.513687,1345400
46,2020-08-07,118.379997,119.209999,116.949997,117.739998,115.50325,1544200
47,2020-08-10,118.050003,118.120003,116.110001,116.410004,114.198524,1503500
48,2020-08-11,117.18,117.970001,115.779999,116.980003,114.757698,1726700
