,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,119.970001,120.730003,118.339996,119.339996,116.859375,702800
1,2020-06-04,119.099998,119.370003,116.440002,117.93,115.478683,601200
2,2020-06-05,119.540001,120.25,115.330002,119.900002,117.40773,1076100
3,2020-06-08,119.370003,121.610001,119.269997,121.300003,118.778641,959200
4,2020-06-09,120.360001,121.160004,119.150002,120.089996,117.593781,825900
5,2020-06-10,119.57,120.839996,119.379997,120.010002,117.51545,513100
6,2020-06-11,118.489998,118.870003,112.720001,113.25,111.350601,866300
7,2020-06-12,115.459999,115.889999,113.129997,115.150002,113.21875,705500
8,2020-06-15,112.540001,118.360001,112.230003,117.370003,115.401512,781200
9,2020-06-16,118.690002,120.0,116.089996,118.529999,116.542046,755900
10,2020-06-17,119.07,119.669998,117.910004,118.129997,116.148758,593200
11,2020-06-18,117.739998,119.389999,116.709999,119.290001,117.289299,768000
12,2020-06-19,120.279999,122.150002,118.410004,118.830002,116.837021,989600
13,2020-06-22,119.120003,120.449997,118.129997,119.709999,117.702248,506400
14,2020-06-23,120.220001,120.879997,118.290001,118.599998,116.61087,706000
15,2020-06-24,118.230003,118.32,115.07,115.279999,113.34655,626700
16,2020-06-25,115.0,118.989998,114.660004,118.690002,116.699364,554900
17,2020-06-26,118.120003,118.339996,115.410004,115.82,113.87751,1053700
18,2020-06-29,117.400002,117.68,116.18,117.550003,115.578484,749100
19,2020-06-30,116.830002,119.980003,116.449997,119.470001,117.466286,629300
20,2020-07-01,119.599998,121.610001,118.839996,120.760002,118.73465,603000
21,2020-07-02,122.580002,123.120003,120.0,120.059998,118.046387,756600
22,2020-07-06,121.489998,122.5,120.540001,121.080002,119.049278,478800
23,2020-07-07,120.260002,121.790001,119.760002,120.470001,118.449509,463800
24,2020-07-08,120.949997,122.279999,120.459999,121.699997,119.658867,683000
25,2020-07-09,122.269997,122.5,119.209999,120.800003,118.773972,563900
26,2020-07-10,121.300003,123.0,120.169998,122.879997,120.819077,468800
27,2020-07-13,124.019997,126.220001,122.940002,123.0,120.937073,619800
28,2020-07-14,122.989998,124.800003,122.959999,124.800003,122.706886,433600
29,2020-07-15,126.0,127.360001,125.080002,126.839996,124.712677,534400
30,2020-07-16,126.540001,127.269997,126.010002,127.029999,124.899498,308100
31,2020-07-17,127.699997,129.149994,127.220001,128.440002,126.285843,748600
32,2020-07-20,128.330002,131.669998,128.320007,131.300003,129.097885,790100
33,2020-07-21,130.690002,131.850006,129.490005,131.009995,128.812759,933300
34,2020-07-22,133.009995,135.320007,131.550003,134.100006,131.850937,1231200
35,2020-07-23,134.199997,135.509995,131.0,131.410004,129.206039,938100
36,2020-07-24,131.289993,131.389999,129.050003,130.559998,128.370285,898700
37,2020-07-27,130.690002,131.199997,130.119995,130.529999,128.340775,952500
38,2020-07-28,129.559998,129.960007,127.400002,128.149994,126.000694,704600
39,2020-07-29,128.770004,131.539993,128.520004,131.009995,128.812759,791900
40,2020-07-30,129.610001,130.380005,128.669998,129.899994,127.721352,552400
41,2020-07-31,130.699997,131.350006,129.009995,131.309998,129.107697,611900
42,2020-08-03,131.839996,132.389999,129.949997,130.350006,128.163818,508900
43,2020-08-04,130.529999,130.770004,128.789993,129.699997,127.524696,467700
44,2020-08-05,130.300003,130.470001,129.039993,130.360001,128.173645,580600
45,2020-08-06,129.779999,131.259995,129.5,130.699997,128.507935,588900
46,2020-08-07,129.839996,132.880005,129.610001,132.869995,130.641525,727500
47,2020-08-10,133.509995,133.509995,130.570007,131.529999,129.324005,741000
48,2020-08-11,132.0,132.289993,130.119995,130.470001,128.281799,587700
