,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,13.0,13.46,12.85,13.35,13.35,3516600
1,2020-06-04,13.36,13.88,13.23,13.76,13.76,3155100
2,2020-06-05,14.75,15.3,14.6,15.03,15.03,5030900
3,2020-06-08,15.72,16.530001,15.42,16.52,16.52,6380500
4,2020-06-09,15.71,15.78,15.23,15.69,15.69,4405600
5,2020-06-10,15.42,15.46,14.43,14.74,14.74,4946300
6,2020-06-11,13.27,13.63,12.63,12.65,12.65,4322300
7,2020-06-12,13.42,13.42,12.19,12.77,12.77,5390000
8,2020-06-15,12.0,12.87,11.91,12.44,12.44,6310400
9,2020-06-16,13.37,13.54,12.81,12.98,12.98,3981700
10,2020-06-17,12.94,12.94,12.25,12.25,12.25,3852600
11,2020-06-18,12.0,12.52,11.89,12.27,12.27,2907700
12,2020-06-19,12.74,12.79,11.73,11.74,11.74,9147200
13,2020-06-22,11.66,11.87,11.39,11.81,11.81,3549700
14,2020-06-23,11.98,12.22,11.82,12.13,12.13,3827300
15,2020-06-24,11.93,11.93,11.1,11.19,11.19,3557900
16,2020-06-25,11.01,12.41,10.95,12.29,12.29,8485900
17,2020-06-26,12.13,12.2,11.87,12.19,12.19,7687400
18,2020-06-29,12.22,12.52,11.95,12.15,12.15,3621600
19,2020-06-30,12.01,12.38,11.96,12.25,12.25,8599300
20,2020-07-01,12.4,12.42,11.75,11.81,11.81,6195700
21,2020-07-02,12.15,12.49,12.09,12.1,12.1,5061500
22,2020-07-06,12.43,12.53,12.22,12.39,12.39,5748100
23,2020-07-07,12.2,12.22,11.58,11.61,11.61,7075100
24,2020-07-08,11.73,11.96,11.38,11.45,11.45,6131300
25,2020-07-09,11.45,11.55,10.81,10.83,10.83,4933500
26,2020-07-10,10.8,11.24,10.74,11.23,11.23,4596800
27,2020-07-13,11.39,11.39,10.84,11.06,11.06,5295300
28,2020-07-14,10.94,11.58,10.79,11.53,11.53,4531700
29,2020-07-15,11.95,12.03,11.45,11.72,11.72,5031400
30,2020-07-16,11.61,11.78,11.28,11.52,11.52,4225600
