,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,52.799999,53.619999,52.25,53.119999,49.965706,2323300
1,2020-06-04,52.880001,54.619999,52.790001,54.049999,50.840481,2592300
2,2020-06-05,55.0,55.75,54.189999,54.389999,51.16029,2863700
3,2020-06-08,54.880001,55.790001,54.509998,55.630001,52.32666,2929700
4,2020-06-09,54.889999,55.119999,54.099998,54.830002,51.574165,2016200
5,2020-06-10,55.130001,55.709999,54.209999,55.330002,52.044472,2393000
6,2020-06-11,54.0,54.029999,50.900002,51.259998,48.216148,3746200
7,2020-06-12,52.790001,52.830002,49.799999,50.610001,47.604752,4377900
8,2020-06-15,49.860001,50.82,49.259998,50.740002,47.727032,3728000
9,2020-06-16,52.5,52.689999,50.849998,51.68,48.61121,3349000
10,2020-06-17,51.880001,52.220001,50.84,51.02,47.990406,2421100
11,2020-06-18,50.310001,50.52,49.299999,49.639999,46.692348,4329200
12,2020-06-19,50.099998,52.049999,49.709999,52.049999,48.95924,10603400
13,2020-06-22,51.5,51.689999,50.470001,50.91,47.886932,4659600
14,2020-06-23,50.34,50.57,48.779999,48.869999,46.562565,4799600
15,2020-06-24,48.560001,49.099998,47.279999,47.619999,45.371578,3598600
16,2020-06-25,47.630001,47.790001,46.279999,47.73,45.476387,3006100
17,2020-06-26,47.509998,47.720001,46.630001,46.970001,44.75227,3791600
18,2020-06-29,47.240002,47.84,46.950001,47.759998,45.504967,2000900
19,2020-06-30,47.990002,48.880001,47.869999,48.41,46.124283,2618700
20,2020-07-01,48.369999,48.459999,47.25,47.299999,45.066689,2478200
21,2020-07-02,47.959999,48.220001,47.25,47.34,45.104805,2548100
22,2020-07-06,48.0,48.349998,47.779999,48.029999,45.762226,1871600
23,2020-07-07,47.810001,48.029999,47.060001,47.110001,44.88567,2117800
24,2020-07-08,47.119999,47.209999,46.09,46.560001,44.361633,2607900
25,2020-07-09,46.650002,47.02,45.93,46.779999,44.571243,2313800
26,2020-07-10,46.98,47.580002,46.66,47.380001,45.142914,2159700
27,2020-07-13,47.82,48.049999,47.169998,47.330002,45.09528,2757600
28,2020-07-14,46.830002,47.48,46.630001,47.380001,45.142914,3373400
29,2020-07-15,48.0,48.400002,47.52,48.240002,45.962311,2516700
30,2020-07-16,48.369999,48.790001,47.93,48.5,46.210033,2933900
31,2020-07-17,48.68,48.799999,47.900002,48.27,45.990898,1962800
32,2020-07-20,47.919998,48.709999,47.400002,48.59,46.295784,2294500
33,2020-07-21,48.950001,49.529999,48.830002,49.419998,47.086597,4468000
34,2020-07-22,49.549999,49.720001,49.150002,49.470001,47.134235,3152600
35,2020-07-23,49.48,50.82,49.419998,50.0,47.63921,3574100
36,2020-07-24,49.5,49.669998,47.73,48.040001,45.771759,4082000
37,2020-07-27,48.099998,49.59,47.860001,49.580002,47.23904,3403900
38,2020-07-28,49.57,50.07,48.32,48.57,46.27673,4440300
39,2020-07-29,45.040001,45.73,43.529999,44.310001,42.217873,14154300
40,2020-07-30,44.029999,44.459999,43.68,44.400002,42.303619,3771400
41,2020-07-31,44.650002,45.41,44.16,45.220001,43.084904,7369400
42,2020-08-03,45.419998,45.580002,44.66,44.759998,42.646618,3674800
43,2020-08-04,45.099998,45.810001,44.790001,45.389999,43.246872,3177400
44,2020-08-05,45.66,45.799999,44.720001,45.130001,42.999153,3402600
45,2020-08-06,44.5,45.009998,44.169998,44.959999,42.837177,3215400
46,2020-08-07,44.950001,45.529999,44.459999,45.310001,43.17065,2781300
47,2020-08-10,45.400002,46.560001,45.400002,46.07,43.894768,3625200
48,2020-08-11,46.380001,46.799999,45.68,45.779999,43.618462,3529500
49,2020-08-12,45.709999,45.91,45.25,45.639999,43.485073,2515600
50,2020-08-13,45.650002,45.650002,44.549999,44.900002,42.78001,2910300
51,2020-08-14,45.07,45.349998,44.869999,45.07,42.941986,1948700
52,2020-08-17,45.200001,45.439999,44.830002,44.900002,42.78001,1749800
53,2020-08-18,45.0,45.209999,44.540001,45.060001,42.932461,2218800
54,2020-08-19,45.18,46.0,45.110001,45.400002,43.256405,2540100
55,2020-08-20,45.189999,45.259998,44.66,45.040001,42.913403,2159500
56,2020-08-21,44.810001,44.93,44.5,44.84,42.722847,3163500
57,2020-08-24,44.98,45.619999,44.759998,45.610001,43.45649,2051600
58,2020-08-25,45.52,46.209999,45.150002,45.439999,43.294514,1950500
59,2020-08-26,45.43,45.790001,45.150002,45.73,43.57082,2073300
60,2020-08-27,46.049999,46.16,45.310001,45.549999,43.399319,2112800
61,2020-08-28,45.849998,46.889999,45.5,46.599998,44.399742,2181700
62,2020-08-31,47.240002,48.200001,46.639999,47.990002,45.724113,4854300
63,2020-09-01,48.009998,48.040001,46.27,47.07,44.847549,3031000
64,2020-09-02,47.099998,48.849998,47.07,48.59,46.295784,3135800
65,2020-09-03,48.310001,48.5,46.759998,47.09,44.866608,3026700
66,2020-09-04,46.950001,47.73,46.150002,47.009998,44.790379,3193200
67,2020-09-08,45.709999,46.209999,45.25,45.689999,43.532707,4418800
68,2020-09-09,46.610001,46.73,46.060001,46.23,44.047215,2512700
69,2020-09-10,46.73,47.060001,45.790001,45.93,43.761379,2639700
70,2020-09-11,46.029999,46.700001,45.810001,46.540001,44.342579,2835700
71,2020-09-14,46.959999,47.830002,46.869999,47.650002,45.400166,3107800
72,2020-09-15,48.09,48.189999,47.189999,47.34,45.104805,2591500
73,2020-09-16,47.799999,49.27,47.630001,48.669998,46.372009,3208300
74,2020-09-17,47.669998,49.169998,47.560001,49.139999,46.819817,2672500
75,2020-09-18,49.32,49.52,48.25,48.82,46.514923,4722900
76,2020-09-21,48.0,48.330002,47.34,48.23,45.952782,3362900
77,2020-09-22,47.73,47.860001,47.130001,47.709999,46.078335,2304900
78,2020-09-23,47.400002,49.18,47.400002,47.619999,45.991413,3520800
79,2020-09-24,47.110001,47.869999,46.889999,47.419998,45.798252,2110900
80,2020-09-25,47.560001,48.279999,47.060001,48.220001,46.570892,1839700
81,2020-09-28,48.560001,49.799999,48.310001,49.66,47.961647,3549000
82,2020-09-29,49.610001,50.700001,49.48,50.07,48.357624,3538200
83,2020-09-30,49.970001,50.07,49.07,49.27,47.584984,2925100
84,2020-10-01,49.82,49.82,48.830002,49.060001,47.382168,1947500
85,2020-10-02,48.41,49.16,48.080002,48.740002,47.073116,1728200
86,2020-10-05,49.18,49.48,48.740002,49.110001,47.430458,2000000
87,2020-10-06,49.349998,50.41,49.049999,49.599998,47.903698,2669600
88,2020-10-07,49.700001,50.790001,49.650002,50.450001,48.724632,2602900
89,2020-10-08,50.810001,51.380001,50.52,51.330002,49.574535,2403000
90,2020-10-09,51.580002,51.830002,50.740002,50.970001,49.226849,2408700
91,2020-10-12,50.75,51.540001,50.740002,51.290001,49.535904,2120900
92,2020-10-13,51.77,52.490002,51.150002,51.18,49.429665,2463200
93,2020-10-14,51.240002,51.700001,50.93,51.040001,49.294453,2016800
94,2020-10-15,50.59,51.360001,50.259998,51.349998,49.593845,1501300
95,2020-10-16,50.959999,51.77,50.610001,51.439999,49.680771,2304900
96,2020-10-19,51.599998,53.0,51.380001,52.150002,50.366493,3693100
97,2020-10-20,52.490002,52.849998,51.810001,51.889999,50.115379,2299500
98,2020-10-21,52.049999,52.25,51.459999,51.689999,49.922222,3478100
99,2020-10-22,51.299999,52.099998,51.23,51.790001,50.018803,3960300
100,2020-10-23,49.779999,51.560001,48.93,50.740002,49.004711,5912600
101,2020-10-26,50.450001,50.82,48.599998,48.959999,47.285587,4051700
102,2020-10-27,49.07,49.150002,48.459999,48.560001,46.899265,3541300
103,2020-10-28,48.0,48.310001,47.099998,47.740002,46.107311,3618700
104,2020-10-29,47.700001,47.880001,46.919998,47.66,46.030048,3619700
105,2020-10-30,47.330002,47.869999,47.099998,47.82,46.184574,3416300
106,2020-11-02,48.48,48.790001,47.950001,48.57,46.90892,2765500
107,2020-11-03,49.189999,50.639999,48.900002,50.349998,48.628048,2764500
108,2020-11-04,50.639999,51.310001,50.25,50.470001,48.743946,3435500
109,2020-11-05,50.75,52.950001,50.599998,52.75,50.945969,3147500
110,2020-11-06,52.610001,53.790001,52.0,53.490002,51.660667,2880700
111,2020-11-09,54.900002,55.580002,54.110001,54.150002,52.298092,4140900
112,2020-11-10,54.099998,55.209999,54.099998,54.720001,52.848595,3698300
113,2020-11-11,55.0,55.220001,54.27,54.630001,52.761673,2669000
114,2020-11-12,54.57,54.57,52.77,53.189999,51.370922,3013200
115,2020-11-13,53.459999,55.0,53.459999,54.709999,52.838936,2628200
116,2020-11-16,55.0,56.0,54.98,55.939999,54.026871,3242400
117,2020-11-17,55.41,55.889999,55.0,55.509998,53.61158,2207000
118,2020-11-18,55.669998,56.450001,55.240002,55.240002,53.350811,2499700
119,2020-11-19,54.799999,56.080002,54.529999,55.919998,54.007557,1931300
120,2020-11-20,55.810001,56.450001,55.580002,55.610001,53.708164,2174800
121,2020-11-23,56.110001,57.040001,56.009998,56.919998,54.973354,3005400
122,2020-11-24,57.57,58.810001,57.040001,58.549999,56.547607,3521800
123,2020-11-25,58.380001,58.509998,57.549999,58.34,56.344795,2488800
124,2020-11-27,58.689999,59.130001,58.310001,58.48,56.480003,1463300
125,2020-11-30,58.529999,59.34,58.119999,58.810001,56.798721,4122800
126,2020-12-01,59.349998,60.91,58.849998,60.290001,58.228107,3974400
127,2020-12-02,60.200001,61.400002,60.110001,61.200001,59.106987,2433000
128,2020-12-03,61.029999,62.830002,61.009998,62.34,60.207996,3649000
129,2020-12-04,62.0,64.32,62.0,64.07,61.87883,3216500
130,2020-12-07,63.779999,64.410004,63.139999,63.220001,61.057903,3351100
131,2020-12-08,62.669998,64.419998,62.599998,63.860001,61.676014,3160900
132,2020-12-09,64.18,65.32,63.189999,63.529999,61.3573,2886900
133,2020-12-10,62.93,65.050003,62.619999,64.82,62.60318,3195600
134,2020-12-11,64.889999,65.970001,63.549999,64.760002,62.545242,2921200
135,2020-12-14,65.199997,65.760002,64.5,64.639999,62.429333,2752000
136,2020-12-15,65.419998,66.0,64.839996,65.980003,63.723511,2117000
137,2020-12-16,66.0,66.510002,65.800003,66.309998,64.042221,2064600
138,2020-12-17,66.599998,66.690002,65.900002,66.209999,63.945644,2499100
139,2020-12-18,66.440002,66.68,64.599998,64.720001,62.506607,6019000
140,2020-12-21,64.209999,65.089996,63.669998,65.050003,62.825317,2495400
141,2020-12-22,64.510002,64.879997,63.57,63.709999,62.171494,1794300
142,2020-12-23,63.779999,63.869999,63.0,63.029999,61.507908,1457800
143,2020-12-24,63.189999,63.189999,62.400002,62.950001,61.429844,797300
144,2020-12-28,63.860001,63.98,62.189999,62.52,61.010231,1781900
145,2020-12-29,62.169998,62.299999,60.599998,60.759998,59.292728,2520500
146,2020-12-30,60.23,61.34,60.099998,60.599998,59.136593,3258900
147,2020-12-31,60.599998,62.279999,60.259998,62.16,60.658924,3483700
148,2021-01-04,62.290001,62.650002,59.830002,60.080002,58.62915,3266200
149,2021-01-05,59.849998,60.689999,59.849998,60.16,58.707222,3000400
150,2021-01-06,59.919998,60.669998,59.330002,59.869999,58.424221,3192300
151,2021-01-07,60.150002,60.52,59.419998,60.110001,58.658432,3534600
152,2021-01-08,60.709999,60.779999,58.779999,59.0,57.575233,3144300
153,2021-01-11,58.419998,59.189999,58.040001,58.720001,57.301998,4921400
154,2021-01-12,58.939999,59.41,58.700001,59.029999,57.604507,4107700
155,2021-01-13,59.02,60.110001,58.990002,59.889999,58.443741,4296200
156,2021-01-14,60.0,60.689999,59.470001,59.959999,58.512047,3074900
157,2021-01-15,59.75,61.09,59.720001,60.509998,59.048767,6259900
158,2021-01-19,61.200001,61.68,59.939999,61.220001,59.741627,4425200
159,2021-01-20,61.5,62.029999,61.169998,61.419998,59.93679,2795600
160,2021-01-21,61.419998,63.009998,61.150002,62.939999,61.420086,6121800
161,2021-01-22,60.509998,60.75,58.349998,60.0,58.551083,9787600
162,2021-01-25,60.110001,61.82,59.139999,61.189999,59.712345,4524200
163,2021-01-26,61.450001,64.910004,61.450001,64.860001,63.293724,4653700
164,2021-01-27,64.639999,77.07,64.129997,71.720001,69.988068,20290200
165,2021-01-28,70.0,70.459999,66.300003,66.650002,65.040497,7263000
166,2021-01-29,67.360001,68.550003,65.139999,66.120003,64.5233,4117100
167,2021-02-01,65.610001,67.330002,65.449997,66.739998,65.128326,2352700
168,2021-02-02,67.580002,67.610001,65.809998,66.779999,65.167358,2312700
169,2021-02-03,66.510002,68.599998,66.510002,67.459999,65.830933,2215200
170,2021-02-04,67.68,67.919998,66.849998,67.720001,66.084656,2010500
171,2021-02-05,67.839996,69.760002,67.760002,69.440002,67.763123,1831700
172,2021-02-08,69.68,72.0,69.610001,71.410004,69.685547,2307600
173,2021-02-09,71.57,72.5,71.190002,72.360001,70.61261,1820600
174,2021-02-10,72.800003,73.150002,70.720001,70.989998,69.275688,2076800
175,2021-02-11,71.120003,72.489998,70.910004,72.459999,70.71019,1809400
176,2021-02-12,72.309998,73.209999,71.779999,72.209999,70.466225,1496800
177,2021-02-16,72.519997,72.889999,70.940002,71.0,69.285446,2290000
178,2021-02-17,70.550003,71.75,70.050003,71.410004,69.685547,1924000
179,2021-02-18,72.529999,73.849998,71.839996,72.470001,70.719955,2934100
180,2021-02-19,73.360001,73.830002,71.870003,73.139999,71.373772,2491300
181,2021-02-22,72.889999,74.440002,72.5,73.480003,71.705566,2130300
182,2021-02-23,72.199997,72.839996,70.699997,72.209999,70.466225,3031800
183,2021-02-24,72.629997,76.290001,72.18,74.339996,72.544792,4154700
184,2021-02-25,75.360001,75.57,72.760002,72.849998,71.090767,2933900
185,2021-02-26,72.589996,75.470001,72.559998,73.230003,71.461601,3657800
186,2021-03-01,75.290001,75.349998,73.559998,73.809998,72.027588,2539600
187,2021-03-02,73.18,74.190002,72.400002,72.519997,70.768738,2241700
188,2021-03-03,73.68,76.449997,73.419998,75.940002,74.106163,5505500
189,2021-03-04,72.800003,73.449997,70.360001,71.610001,69.880714,8329100
190,2021-03-05,72.879997,74.0,71.190002,73.379997,71.607971,4810500
191,2021-03-08,73.760002,75.32,72.879997,74.559998,72.759483,4064900
192,2021-03-09,75.43,76.209999,74.669998,75.150002,73.335236,3097000
193,2021-03-10,75.82,75.889999,74.529999,74.93,73.120544,2122500
194,2021-03-11,75.769997,78.0,75.519997,77.25,75.384521,2712400
195,2021-03-12,76.989998,77.160004,76.239998,76.779999,74.925873,2614500
196,2021-03-15,77.129997,77.230003,74.25,75.410004,73.588959,2650900
197,2021-03-16,75.089996,75.989998,74.699997,75.480003,73.657265,2454300
198,2021-03-17,76.889999,78.040001,75.440002,77.980003,76.096893,3426700
199,2021-03-18,76.790001,76.889999,73.519997,73.870003,72.086151,4150600
200,2021-03-19,74.230003,75.620003,73.949997,74.629997,72.827789,9605100
201,2021-03-22,75.57,76.589996,75.260002,75.940002,74.106163,3088000
202,2021-03-23,74.669998,75.25,71.68,72.599998,71.477432,2921700
203,2021-03-24,73.050003,73.660004,71.25,71.330002,70.227081,1936800
204,2021-03-25,70.989998,73.32,70.529999,72.980003,71.851563,2680700
205,2021-03-26,72.889999,76.080002,72.589996,76.019997,74.844559,2832600
206,2021-03-29,75.699997,77.129997,75.080002,75.230003,74.066772,2365500
207,2021-03-30,75.080002,75.970001,74.75,75.699997,74.529503,1913600
208,2021-03-31,75.830002,77.529999,75.43,76.75,75.563271,2765200
209,2021-04-01,77.260002,78.5,76.800003,78.489998,77.276367,3178800
210,2021-04-05,79.059998,79.860001,78.760002,79.199997,77.975388,2188700
