,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-03,93.949997,96.0,93.620003,95.389999,94.7742,2864700
1,2020-06-04,95.0,96.599998,94.209999,95.68,95.062332,1831800
2,2020-06-05,96.82,98.169998,95.809998,96.199997,95.578972,3193200
3,2020-06-08,96.419998,97.129997,95.639999,96.540001,95.916779,2036900
4,2020-06-09,95.769997,96.32,94.620003,95.830002,95.211365,1647300
5,2020-06-10,96.150002,96.199997,94.5,95.300003,94.684784,2009600
6,2020-06-11,93.379997,93.379997,89.68,89.739998,89.160683,3356900
7,2020-06-12,91.43,92.910004,88.93,90.699997,90.114471,2617500
8,2020-06-15,88.870003,91.0,88.080002,90.629997,90.04493,2747900
9,2020-06-16,93.760002,95.910004,92.43,93.480003,92.876541,3183300
10,2020-06-17,93.839996,94.169998,93.080002,93.5,92.8964,1878800
11,2020-06-18,92.970001,94.029999,92.639999,93.470001,92.8666,1852900
12,2020-06-19,94.779999,95.480003,92.389999,95.480003,94.863632,6358700
13,2020-06-22,94.529999,95.07,93.099998,94.489998,93.880013,2517200
14,2020-06-23,95.190002,96.690002,95.190002,95.25,94.635109,1980900
15,2020-06-24,94.5,94.849998,92.599998,92.889999,92.290344,2541500
16,2020-06-25,92.650002,93.550003,91.0,93.290001,92.687759,2178400
17,2020-06-26,91.93,92.580002,90.410004,91.019997,90.432411,3279000
18,2020-06-29,91.300003,92.0,90.709999,91.959999,91.366348,2264400
19,2020-06-30,95.68,99.400002,94.209999,98.389999,97.754837,9279500
20,2020-07-01,98.089996,98.400002,93.18,93.269997,92.667885,4051300
21,2020-07-02,94.559998,96.230003,93.910004,95.290001,94.67485,3165200
22,2020-07-06,98.209999,102.290001,97.309998,102.099998,101.440887,5687200
23,2020-07-07,101.5,101.910004,99.010002,99.169998,98.5298,3387900
24,2020-07-08,100.25,100.699997,98.279999,99.279999,98.639091,2633200
25,2020-07-09,99.650002,101.129997,98.349998,100.230003,99.582962,2819800
26,2020-07-10,99.660004,100.059998,98.089996,99.139999,98.499992,2473300
27,2020-07-13,100.120003,101.470001,97.790001,97.910004,97.277946,3679700
28,2020-07-14,97.220001,98.82,96.050003,98.629997,97.993286,2943900
29,2020-07-15,99.459999,99.639999,97.660004,99.309998,98.668892,2010200
30,2020-07-16,98.309998,99.470001,97.410004,99.169998,98.5298,1757500
31,2020-07-17,99.110001,101.440002,98.379997,100.489998,99.841278,2193300
32,2020-07-20,100.290001,103.410004,100.129997,103.029999,102.364883,2013600
33,2020-07-21,103.019997,103.489998,101.75,102.150002,101.49057,1989100
34,2020-07-22,102.639999,103.650002,102.220001,103.050003,102.384758,1688500
35,2020-07-23,103.489998,105.400002,101.959999,103.089996,102.424492,2512600
36,2020-07-24,102.129997,104.620003,101.82,102.660004,101.997276,2275700
37,2020-07-27,103.239998,107.169998,103.239998,106.809998,106.120476,2945500
38,2020-07-28,106.0,106.0,104.260002,104.809998,104.133385,2135900
39,2020-07-29,105.330002,108.300003,105.300003,107.82,107.123962,2514300
40,2020-07-30,107.5,112.169998,107.5,111.870003,111.14782,4840800
41,2020-07-31,106.75,108.32,104.470001,107.349998,106.656998,4922000
42,2020-08-03,107.489998,107.639999,104.440002,106.389999,105.703194,3866000
43,2020-08-04,104.970001,108.139999,104.949997,107.75,107.05442,3434600
44,2020-08-05,107.330002,108.75,105.779999,107.57,106.875572,2009500
45,2020-08-06,107.379997,108.93,106.82,108.660004,107.958542,2461400
46,2020-08-07,108.699997,109.139999,106.589996,107.459999,106.766289,2165000
47,2020-08-10,107.470001,108.0,105.43,106.449997,105.762802,1869700
48,2020-08-11,106.620003,107.669998,104.290001,104.610001,103.934685,2077000
49,2020-08-12,104.669998,106.660004,104.120003,106.040001,105.739555,2070100
50,2020-08-13,106.0,106.489998,104.699997,105.5,105.201088,2291100
51,2020-08-14,105.5,106.290001,104.980003,105.309998,105.01162,995300
52,2020-08-17,106.5,106.529999,104.559998,104.639999,104.343521,1268400
53,2020-08-18,105.0,105.190002,103.0,103.220001,102.927544,2112200
54,2020-08-19,103.459999,103.669998,102.07,102.389999,102.099899,1714000
55,2020-08-20,101.809998,102.0,100.629997,101.379997,101.092758,1883500
56,2020-08-21,101.230003,102.0,100.5,102.0,101.711006,1981900
57,2020-08-24,103.0,103.279999,101.760002,102.470001,102.179672,1723000
58,2020-08-25,102.5,103.5,102.029999,103.389999,103.097061,1351500
59,2020-08-26,103.699997,105.309998,103.559998,104.980003,104.682564,1831500
60,2020-08-27,105.220001,105.300003,103.080002,103.720001,103.426132,1818100
61,2020-08-28,103.629997,105.370003,102.660004,104.910004,104.612762,1860900
62,2020-08-31,104.790001,105.129997,103.610001,104.160004,103.864883,1611000
63,2020-09-01,104.160004,105.370003,103.639999,105.309998,105.01162,1792700
64,2020-09-02,105.550003,109.300003,105.529999,108.860001,108.551567,2370300
65,2020-09-03,107.440002,107.440002,102.540001,103.099998,102.807884,2494700
66,2020-09-04,102.010002,103.610001,99.75,101.639999,101.35202,2561200
67,2020-09-08,98.959999,100.529999,97.639999,97.690002,97.413216,2005800
68,2020-09-09,100.0,101.099998,98.199997,100.389999,100.10556,2894400
69,2020-09-10,100.690002,101.540001,98.410004,98.800003,98.520073,1500700
70,2020-09-11,99.370003,100.419998,97.830002,98.650002,98.370499,1067800
71,2020-09-14,99.900002,102.25,99.519997,101.720001,101.431801,1866400
72,2020-09-15,103.050003,104.43,102.620003,102.830002,102.538651,1628900
73,2020-09-16,103.169998,104.660004,102.199997,102.330002,102.04007,1248300
74,2020-09-17,100.129997,101.889999,99.510002,101.400002,101.112701,1383600
75,2020-09-18,102.050003,102.349998,99.150002,100.720001,100.434631,2669200
76,2020-09-21,99.709999,99.809998,97.470001,99.410004,99.128342,1580000
77,2020-09-22,99.830002,100.129997,98.029999,100.019997,99.73661,1307900
78,2020-09-23,99.360001,100.379997,97.110001,97.290001,97.014351,1698200
79,2020-09-24,97.309998,99.650002,96.709999,99.010002,98.729477,1510900
80,2020-09-25,98.650002,100.639999,97.309998,100.349998,100.065674,1307500
81,2020-09-28,101.639999,103.910004,101.400002,103.800003,103.505905,1437600
82,2020-09-29,103.190002,104.559998,102.970001,103.629997,103.33638,925700
83,2020-09-30,103.360001,105.849998,103.279999,104.239998,103.944656,1982400
84,2020-10-01,105.839996,107.669998,105.370003,105.910004,105.609924,1713600
85,2020-10-02,103.139999,104.300003,101.959999,102.589996,102.299324,1760500
86,2020-10-05,103.339996,104.870003,103.169998,104.739998,104.443237,989700
87,2020-10-06,104.57,105.730003,103.199997,103.940002,103.645508,1386100
88,2020-10-07,104.82,106.290001,104.300003,105.830002,105.530151,1385100
89,2020-10-08,106.400002,106.629997,105.589996,105.989998,105.689697,1082300
90,2020-10-09,122.559998,123.779999,116.519997,120.940002,120.597343,24073800
91,2020-10-12,117.25,120.0,117.25,118.900002,118.563118,4829300
92,2020-10-13,117.349998,118.900002,117.349998,117.919998,117.585892,2457400
93,2020-10-14,117.360001,118.75,116.5,117.75,117.416382,2473200
94,2020-10-15,115.970001,118.900002,115.910004,118.230003,117.89502,2532500
95,2020-10-16,118.5,119.839996,117.949997,118.019997,117.685608,3517900
96,2020-10-19,118.0,118.470001,115.510002,116.379997,116.050255,2689300
97,2020-10-20,116.089996,116.93,114.120003,114.730003,114.404938,3298600
98,2020-10-21,114.940002,115.870003,111.230003,111.300003,110.984657,3781600
99,2020-10-22,113.010002,115.0,112.07,113.040001,112.719727,3089200
100,2020-10-23,113.5,117.110001,113.269997,116.82,116.489014,2829700
101,2020-10-26,115.43,115.599998,112.32,114.550003,114.225449,2563300
102,2020-10-27,129.289993,130.399994,122.57,124.349998,123.997673,32093300
103,2020-10-28,122.989998,124.370003,119.300003,119.760002,119.420685,10568100
104,2020-10-29,119.93,124.919998,119.860001,122.900002,122.551788,7660700
105,2020-10-30,121.519997,122.360001,116.949997,118.690002,118.353714,6824900
106,2020-11-02,119.980003,120.389999,116.760002,118.480003,118.14431,4992900
107,2020-11-03,118.870003,121.660004,118.300003,120.82,120.477676,5052500
108,2020-11-04,126.43,129.149994,124.559998,128.259995,127.896591,8513300
109,2020-11-05,130.149994,131.440002,128.869995,129.929993,129.561859,5462000
110,2020-11-06,130.220001,134.949997,129.610001,134.119995,133.73999,5077300
111,2020-11-09,132.720001,136.5,129.75,130.350006,130.350006,6252600
112,2020-11-10,128.339996,128.850006,121.239998,122.449997,122.449997,4923100
113,2020-11-11,124.370003,127.699997,123.849998,127.059998,127.059998,3050700
114,2020-11-12,127.18,129.740005,125.879997,127.650002,127.650002,2254100
115,2020-11-13,129.089996,130.059998,126.419998,127.650002,127.650002,1752700
116,2020-11-16,127.730003,131.529999,127.07,131.309998,131.309998,3885500
117,2020-11-17,131.25,132.869995,129.929993,130.410004,130.410004,1901300
118,2020-11-18,130.210007,131.5,128.820007,129.080002,129.080002,2305000
119,2020-11-19,128.460007,133.350006,127.970001,132.960007,132.960007,4079000
120,2020-11-20,132.740005,134.0,131.880005,132.380005,132.380005,3402800
121,2020-11-23,133.440002,136.850006,132.309998,133.300003,133.300003,2438200
122,2020-11-24,134.119995,134.570007,130.320007,133.220001,133.220001,1065500
123,2020-11-25,134.0,137.330002,133.919998,135.559998,135.559998,1992500
124,2020-11-27,137.229996,137.800003,135.539993,137.490005,137.490005,962600
125,2020-11-30,137.490005,145.839996,136.649994,145.550003,145.550003,4900000
126,2020-12-01,145.0,147.479996,142.419998,145.800003,145.800003,2743300
127,2020-12-02,145.800003,151.539993,145.589996,147.110001,147.110001,2332300
128,2020-12-03,147.669998,148.5,143.910004,144.389999,144.389999,1895700
129,2020-12-04,144.919998,148.929993,142.279999,147.910004,147.910004,2264600
130,2020-12-07,149.399994,149.399994,146.589996,148.270004,148.270004,1821200
131,2020-12-08,147.970001,149.339996,144.710007,146.190002,146.190002,1682200
132,2020-12-09,145.630005,148.800003,140.539993,141.399994,141.399994,2540000
133,2020-12-10,140.75,144.919998,140.309998,143.860001,143.860001,1969200
134,2020-12-11,143.699997,144.970001,141.460007,143.830002,143.830002,1120900
135,2020-12-14,144.610001,149.970001,144.320007,149.029999,149.029999,2709400
136,2020-12-15,150.979996,154.119995,149.610001,152.110001,152.110001,3142100
137,2020-12-16,151.860001,152.789993,149.889999,151.75,151.75,1564800
138,2020-12-17,152.649994,153.539993,150.850006,151.860001,151.860001,1275400
139,2020-12-18,152.25,153.029999,146.789993,149.190002,149.190002,4584100
140,2020-12-21,146.800003,148.059998,141.699997,145.279999,145.279999,1799300
141,2020-12-22,145.309998,145.470001,141.130005,144.160004,144.160004,1899900
142,2020-12-23,144.050003,144.119995,141.740005,141.990005,141.990005,1766400
143,2020-12-24,143.139999,143.559998,141.440002,141.990005,141.990005,1167500
144,2020-12-28,144.080002,144.339996,140.809998,141.520004,141.520004,1978500
145,2020-12-29,141.949997,143.320007,138.559998,139.899994,139.899994,1489900
146,2020-12-30,140.279999,143.360001,139.529999,142.100006,142.100006,2892600
147,2020-12-31,142.100006,142.589996,140.070007,141.770004,141.770004,1236100
148,2021-01-04,142.229996,149.259995,141.199997,142.429993,142.429993,2416500
149,2021-01-05,142.289993,144.339996,141.270004,144.229996,144.229996,2617500
150,2021-01-06,141.979996,144.729996,138.830002,141.220001,141.220001,3342100
151,2021-01-07,142.660004,150.009995,142.449997,149.710007,149.710007,2597800
152,2021-01-08,150.449997,151.419998,146.809998,147.990005,147.990005,2856600
153,2021-01-11,147.779999,154.929993,146.610001,151.080002,151.080002,4429300
154,2021-01-12,151.940002,153.509995,145.119995,146.669998,146.669998,5917400
155,2021-01-13,143.350006,145.110001,140.080002,141.169998,141.169998,3587400
156,2021-01-14,141.389999,141.770004,138.729996,140.0,140.0,3665200
157,2021-01-15,139.570007,141.259995,136.149994,136.600006,136.600006,2280200
158,2021-01-19,138.360001,139.470001,135.880005,139.360001,139.360001,3309600
159,2021-01-20,140.009995,141.550003,137.850006,138.0,138.0,4637400
160,2021-01-21,138.779999,142.360001,137.509995,141.160004,141.160004,3362800
161,2021-01-22,145.529999,148.320007,141.979996,142.940002,142.940002,3102600
162,2021-01-25,145.229996,148.100006,141.309998,145.139999,145.139999,2500000
163,2021-01-26,146.389999,146.979996,143.820007,144.389999,144.389999,3265700
164,2021-01-27,140.119995,140.119995,130.809998,133.860001,133.860001,3996800
165,2021-01-28,137.050003,137.190002,133.029999,133.570007,133.570007,2457500
166,2021-01-29,132.710007,134.710007,129.570007,130.570007,130.570007,2754100
167,2021-02-01,132.440002,135.639999,130.309998,135.309998,135.309998,2826800
168,2021-02-02,136.699997,137.910004,134.699997,137.309998,137.309998,4443800
169,2021-02-03,137.479996,138.509995,135.110001,135.389999,135.389999,2965200
170,2021-02-04,135.520004,136.660004,134.220001,136.279999,136.279999,1240500
171,2021-02-05,137.0,137.369995,134.830002,136.479996,136.479996,1917800
172,2021-02-08,136.880005,142.800003,136.75,141.429993,141.429993,2662600
173,2021-02-09,141.210007,142.940002,140.25,140.850006,140.850006,1536000
